날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4795.0,하락  295,4740.0,4935.0,4680.0,2318097.0,BNK금융지주,138930
2020-03-16,4585.0,하락  210,4795.0,4930.0,4555.0,1734833.0,BNK금융지주,138930
2020-03-17,4295.0,하락  290,4300.0,4390.0,4200.0,2217662.0,BNK금융지주,138930
2020-03-18,3920.0,하락  375,4240.0,4290.0,3920.0,2653320.0,BNK금융지주,138930
2020-03-19,3830.0,하락  90,3960.0,4115.0,3565.0,3068268.0,BNK금융지주,138930
2020-03-20,3970.0,상승  140,4080.0,4090.0,3600.0,3709491.0,BNK금융지주,138930
2020-03-23,3650.0,하락  320,3700.0,3755.0,3590.0,1516667.0,BNK금융지주,138930
2020-03-24,3830.0,상승  180,3730.0,3900.0,3640.0,2078158.0,BNK금융지주,138930
2020-03-25,4175.0,상승  345,4000.0,4175.0,3930.0,2744519.0,BNK금융지주,138930
2020-03-26,4140.0,하락  35,4135.0,4280.0,4030.0,2922998.0,BNK금융지주,138930
2020-03-27,4300.0,상승  160,4380.0,4450.0,4165.0,2383184.0,BNK금융지주,138930
2020-03-30,4295.0,하락  5,4160.0,4375.0,4045.0,1679935.0,BNK금융지주,138930
2020-03-31,4435.0,상승  140,4365.0,4480.0,4315.0,1549472.0,BNK금융지주,138930
2020-04-01,4355.0,하락  80,4405.0,4550.0,4345.0,1495082.0,BNK금융지주,138930
2020-04-02,4475.0,상승  120,4300.0,4495.0,4255.0,1309457.0,BNK금융지주,138930
2020-04-03,4360.0,하락  115,4400.0,4495.0,4325.0,1251386.0,BNK금융지주,138930
2020-04-06,4595.0,상승  235,4375.0,4600.0,4370.0,1079789.0,BNK금융지주,138930
2020-04-07,4655.0,상승  60,4700.0,4760.0,4605.0,1328030.0,BNK금융지주,138930
2020-04-08,4580.0,하락  75,4600.0,4705.0,4535.0,1135090.0,BNK금융지주,138930
2020-04-09,4650.0,상승  70,4655.0,4680.0,4590.0,920714.0,BNK금융지주,138930
2020-04-10,4810.0,상승  160,4670.0,4840.0,4655.0,1408814.0,BNK금융지주,138930
2020-04-13,4830.0,상승  20,4840.0,4865.0,4735.0,1022181.0,BNK금융지주,138930
2020-04-14,4875.0,상승  45,4845.0,4890.0,4800.0,989117.0,BNK금융지주,138930
2020-04-16,4685.0,하락  190,4800.0,4805.0,4685.0,1765275.0,BNK금융지주,138930
2020-04-17,4800.0,상승  115,4685.0,4890.0,4685.0,1525803.0,BNK금융지주,138930
2020-04-20,4780.0,하락  20,4805.0,4860.0,4755.0,1380941.0,BNK금융지주,138930
2020-04-21,4695.0,하락  85,4780.0,4795.0,4635.0,1260044.0,BNK금융지주,138930
2020-04-22,4675.0,하락  20,4600.0,4680.0,4525.0,1627927.0,BNK금융지주,138930
2020-04-23,4665.0,하락  10,4650.0,4750.0,4635.0,1321081.0,BNK금융지주,138930
2020-04-24,4635.0,하락  30,4650.0,4670.0,4590.0,1234943.0,BNK금융지주,138930
2020-04-27,4875.0,상승  240,4655.0,4890.0,4640.0,2139177.0,BNK금융지주,138930
2020-04-28,4970.0,상승  95,4905.0,5130.0,4900.0,2550377.0,BNK금융지주,138930
2020-04-29,5050.0,상승  80,4950.0,5090.0,4940.0,1992763.0,BNK금융지주,138930
2020-05-04,4845.0,하락  205,4910.0,4970.0,4840.0,2286802.0,BNK금융지주,138930
2020-05-06,4845.0,보합0,4915.0,4995.0,4820.0,1559566.0,BNK금융지주,138930
2020-05-07,4805.0,하락  40,4840.0,4840.0,4770.0,1228298.0,BNK금융지주,138930
2020-05-08,4865.0,상승  60,4840.0,4900.0,4805.0,1119711.0,BNK금융지주,138930
2020-05-11,4785.0,하락  80,4865.0,4880.0,4785.0,1167054.0,BNK금융지주,138930
2020-05-12,4600.0,하락  185,4760.0,4770.0,4600.0,1753228.0,BNK금융지주,138930
