날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,176000.0,"하락  11,000",184500.0,184500.0,173500.0,1763.0,BYC,001460
2020-03-16,168000.0,"하락  8,000",173500.0,174000.0,164000.0,6879.0,BYC,001460
2020-03-17,167500.0,하락  500,162000.0,167500.0,157000.0,759.0,BYC,001460
2020-03-18,168500.0,"상승  1,000",174500.0,174500.0,168500.0,1169.0,BYC,001460
2020-03-19,151000.0,"하락  17,500",166000.0,166000.0,145500.0,2097.0,BYC,001460
2020-03-20,152000.0,"상승  1,000",151500.0,160000.0,148000.0,16755.0,BYC,001460
2020-03-23,135500.0,"하락  16,500",148500.0,148500.0,131500.0,9110.0,BYC,001460
2020-03-24,144000.0,"상승  8,500",136000.0,145000.0,136000.0,1131.0,BYC,001460
2020-03-25,153500.0,"상승  9,500",150000.0,153500.0,143000.0,4526.0,BYC,001460
2020-03-26,158500.0,"상승  5,000",154000.0,162000.0,150000.0,14526.0,BYC,001460
2020-03-27,171500.0,"상승  13,000",160000.0,173000.0,160000.0,3925.0,BYC,001460
2020-03-30,173500.0,"상승  2,000",169000.0,179000.0,164000.0,1003.0,BYC,001460
2020-03-31,190000.0,"상승  16,500",173500.0,194000.0,173500.0,5398.0,BYC,001460
2020-04-01,187000.0,"하락  3,000",190500.0,192500.0,179500.0,1206.0,BYC,001460
2020-04-02,182000.0,"하락  5,000",186500.0,186500.0,179000.0,881.0,BYC,001460
2020-04-03,182500.0,상승  500,182000.0,186000.0,180000.0,329.0,BYC,001460
2020-04-06,184000.0,"상승  1,500",182500.0,184500.0,180000.0,562.0,BYC,001460
2020-04-07,181500.0,"하락  2,500",184500.0,185500.0,180000.0,906.0,BYC,001460
2020-04-08,182000.0,상승  500,181500.0,184000.0,179500.0,310.0,BYC,001460
2020-04-09,181500.0,하락  500,182000.0,190000.0,181500.0,623.0,BYC,001460
2020-04-10,186000.0,"상승  4,500",181500.0,186000.0,181000.0,5854.0,BYC,001460
2020-04-13,188000.0,"상승  2,000",185500.0,192000.0,185500.0,244.0,BYC,001460
2020-04-14,190500.0,"상승  2,500",188000.0,192000.0,187500.0,338.0,BYC,001460
2020-04-16,191500.0,"상승  1,000",191500.0,192000.0,189000.0,417.0,BYC,001460
2020-04-17,193000.0,"상승  1,500",191500.0,195000.0,191500.0,833.0,BYC,001460
2020-04-20,193500.0,상승  500,196000.0,196000.0,192500.0,282.0,BYC,001460
2020-04-21,192000.0,"하락  1,500",191500.0,193500.0,182500.0,5322.0,BYC,001460
2020-04-22,193000.0,"상승  1,000",189500.0,193000.0,186500.0,329.0,BYC,001460
2020-04-23,191500.0,"하락  1,500",193000.0,196000.0,187000.0,1244.0,BYC,001460
2020-04-24,189000.0,"하락  2,500",187000.0,191500.0,187000.0,254.0,BYC,001460
2020-04-27,191000.0,"상승  2,000",188500.0,191500.0,188500.0,462.0,BYC,001460
2020-04-28,191500.0,상승  500,191500.0,192500.0,188500.0,766.0,BYC,001460
2020-04-29,193000.0,"상승  1,500",191500.0,193000.0,191000.0,581.0,BYC,001460
2020-05-04,193500.0,상승  500,193000.0,194500.0,190500.0,624.0,BYC,001460
2020-05-06,197500.0,"상승  4,000",193500.0,200000.0,193500.0,1725.0,BYC,001460
2020-05-07,209500.0,"상승  12,000",197500.0,217000.0,197500.0,1999.0,BYC,001460
2020-05-08,217500.0,"상승  8,000",210500.0,218000.0,210500.0,715.0,BYC,001460
2020-05-11,217500.0,보합0,219000.0,224000.0,217500.0,722.0,BYC,001460
2020-05-12,220500.0,"상승  3,000",217500.0,222500.0,215500.0,592.0,BYC,001460
2020-05-13,217500.0,"하락  3,000",216500.0,220500.0,216000.0,748.0,BYC,001460
2020-05-14,211000.0,"하락  6,500",217500.0,217500.0,207500.0,771.0,BYC,001460
2020-05-15,209500.0,"하락  1,500",211000.0,218000.0,207000.0,1001.0,BYC,001460
2020-05-18,209500.0,보합0,205000.0,209500.0,203500.0,641.0,BYC,001460
2020-05-19,211500.0,"상승  2,000",209500.0,213000.0,209500.0,236.0,BYC,001460
2020-05-20,215000.0,"상승  3,500",214000.0,218000.0,210000.0,1151.0,BYC,001460
2020-05-21,216500.0,"상승  1,500",217500.0,219500.0,214500.0,325.0,BYC,001460
2020-05-22,214500.0,"하락  2,000",216500.0,217500.0,212500.0,395.0,BYC,001460
2020-05-25,211500.0,"하락  3,000",212000.0,214000.0,209000.0,1894.0,BYC,001460
2020-05-26,212000.0,상승  500,211500.0,217000.0,208500.0,316.0,BYC,001460
2020-05-27,210500.0,"하락  1,500",213000.0,215000.0,209500.0,401.0,BYC,001460
2020-05-28,208500.0,"하락  2,000",213000.0,215000.0,206500.0,439.0,BYC,001460
2020-05-29,207000.0,"하락  1,500",209500.0,209500.0,204500.0,289.0,BYC,001460
2020-06-01,209000.0,"상승  2,000",207000.0,210000.0,206000.0,401.0,BYC,001460
2020-06-02,210000.0,"상승  1,000",213000.0,213000.0,206500.0,1784.0,BYC,001460
2020-06-03,209500.0,하락  500,210000.0,213000.0,200000.0,1164.0,BYC,001460
2020-06-04,213000.0,"상승  3,500",212000.0,213500.0,208500.0,828.0,BYC,001460
2020-06-05,212500.0,하락  500,213000.0,213500.0,211500.0,165.0,BYC,001460
2020-06-08,211000.0,"하락  1,500",214500.0,214500.0,210000.0,967.0,BYC,001460
2020-06-09,212500.0,"상승  1,500",213000.0,213000.0,207000.0,1114.0,BYC,001460
2020-06-10,211500.0,"하락  1,000",212000.0,212000.0,208000.0,435.0,BYC,001460
2020-06-11,209000.0,"하락  2,500",208000.0,215000.0,207000.0,1133.0,BYC,001460
2020-06-12,205000.0,"하락  4,000",206500.0,206500.0,200500.0,541.0,BYC,001460
2020-06-15,203500.0,"하락  1,500",209500.0,209500.0,196500.0,1346.0,BYC,001460
2020-06-16,204000.0,상승  500,201000.0,208000.0,201000.0,376.0,BYC,001460
2020-06-17,203500.0,하락  500,203500.0,207000.0,201000.0,654.0,BYC,001460
2020-06-18,207000.0,"상승  3,500",205500.0,215000.0,203500.0,1158.0,BYC,001460
2020-06-19,219000.0,"상승  12,000",207500.0,228000.0,205000.0,3736.0,BYC,001460
2020-06-22,218500.0,하락  500,217000.0,221500.0,212000.0,1223.0,BYC,001460
2020-06-23,217000.0,"하락  1,500",218500.0,222500.0,214000.0,578.0,BYC,001460
2020-06-24,215000.0,"하락  2,000",217000.0,221000.0,213500.0,845.0,BYC,001460
