날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,222000.0,"하락  13,000",218500.0,227500.0,213000.0,108516.0,CJ제일제당,097950
2020-03-16,218000.0,"하락  4,000",224000.0,229000.0,217500.0,55956.0,CJ제일제당,097950
2020-03-17,214000.0,"하락  4,000",210000.0,222000.0,208500.0,51639.0,CJ제일제당,097950
2020-03-18,210000.0,"하락  4,000",214500.0,217000.0,209500.0,66872.0,CJ제일제당,097950
2020-03-19,155000.0,"하락  55,000",210000.0,214000.0,148000.0,263704.0,CJ제일제당,097950
2020-03-20,188000.0,"상승  33,000",163000.0,189500.0,161000.0,191267.0,CJ제일제당,097950
2020-03-23,172500.0,"하락  15,500",171500.0,182000.0,165000.0,84035.0,CJ제일제당,097950
2020-03-24,191000.0,"상승  18,500",178000.0,197500.0,175500.0,97920.0,CJ제일제당,097950
2020-03-25,203000.0,"상승  12,000",202000.0,206000.0,196000.0,98228.0,CJ제일제당,097950
2020-03-26,200000.0,"하락  3,000",203000.0,205500.0,199000.0,69775.0,CJ제일제당,097950
2020-03-27,203500.0,"상승  3,500",209000.0,209000.0,195500.0,61337.0,CJ제일제당,097950
2020-03-30,213500.0,"상승  10,000",202000.0,214500.0,197000.0,65338.0,CJ제일제당,097950
2020-03-31,216000.0,"상승  2,500",216000.0,225000.0,213500.0,73363.0,CJ제일제당,097950
2020-04-01,214000.0,"하락  2,000",220000.0,234000.0,214000.0,108866.0,CJ제일제당,097950
2020-04-02,228000.0,"상승  14,000",217000.0,229000.0,210500.0,80386.0,CJ제일제당,097950
2020-04-03,230500.0,"상승  2,500",225500.0,232500.0,224500.0,55439.0,CJ제일제당,097950
2020-04-06,245500.0,"상승  15,000",235000.0,249000.0,233000.0,83605.0,CJ제일제당,097950
2020-04-07,248000.0,"상승  2,500",257000.0,257000.0,243000.0,87731.0,CJ제일제당,097950
2020-04-08,243500.0,"하락  4,500",247500.0,250000.0,242500.0,67150.0,CJ제일제당,097950
2020-04-09,238500.0,"하락  5,000",249000.0,249000.0,233500.0,103520.0,CJ제일제당,097950
2020-04-10,231500.0,"하락  7,000",239500.0,239500.0,229000.0,102231.0,CJ제일제당,097950
2020-04-13,229000.0,"하락  2,500",229000.0,237000.0,226500.0,71348.0,CJ제일제당,097950
2020-04-14,236000.0,"상승  7,000",230000.0,237000.0,230000.0,52513.0,CJ제일제당,097950
2020-04-16,237000.0,"상승  1,000",233000.0,240500.0,232000.0,66956.0,CJ제일제당,097950
2020-04-17,237000.0,보합0,238000.0,241500.0,236000.0,75134.0,CJ제일제당,097950
2020-04-20,235500.0,"하락  1,500",237000.0,239000.0,234500.0,51991.0,CJ제일제당,097950
2020-04-21,233500.0,"하락  2,000",233000.0,235500.0,227500.0,57790.0,CJ제일제당,097950
2020-04-22,236000.0,"상승  2,500",233000.0,236000.0,228000.0,63289.0,CJ제일제당,097950
2020-04-23,250000.0,"상승  14,000",236500.0,252000.0,236000.0,103721.0,CJ제일제당,097950
2020-04-24,259000.0,"상승  9,000",251000.0,270000.0,245000.0,166536.0,CJ제일제당,097950
2020-04-27,274000.0,"상승  15,000",264500.0,276000.0,264000.0,122239.0,CJ제일제당,097950
2020-04-28,269500.0,"하락  4,500",274000.0,276000.0,266000.0,77212.0,CJ제일제당,097950
2020-04-29,272500.0,"상승  3,000",269500.0,274500.0,268500.0,72019.0,CJ제일제당,097950
2020-05-04,271000.0,"하락  1,500",268000.0,275000.0,260000.0,62449.0,CJ제일제당,097950
2020-05-06,286500.0,"상승  15,500",274500.0,287000.0,272000.0,106384.0,CJ제일제당,097950
2020-05-07,284500.0,"하락  2,000",286500.0,293000.0,282500.0,73423.0,CJ제일제당,097950
2020-05-08,277000.0,"하락  7,500",285500.0,289000.0,276000.0,94497.0,CJ제일제당,097950
2020-05-11,273500.0,"하락  3,500",277500.0,280500.0,273500.0,47980.0,CJ제일제당,097950
2020-05-12,287500.0,"상승  14,000",274500.0,288000.0,274000.0,115839.0,CJ제일제당,097950
2020-05-13,292000.0,"상승  4,500",287500.0,293500.0,284000.0,76455.0,CJ제일제당,097950
2020-05-14,301000.0,"상승  9,000",291000.0,301000.0,286000.0,144145.0,CJ제일제당,097950
2020-05-15,308500.0,"상승  7,500",312000.0,322500.0,308000.0,263558.0,CJ제일제당,097950
2020-05-18,308000.0,하락  500,315500.0,322000.0,305000.0,128313.0,CJ제일제당,097950
2020-05-19,294500.0,"하락  13,500",305500.0,306000.0,294000.0,159699.0,CJ제일제당,097950
2020-05-20,296000.0,"상승  1,500",296500.0,305000.0,294500.0,131278.0,CJ제일제당,097950
2020-05-21,300000.0,"상승  4,000",296500.0,302000.0,290500.0,113048.0,CJ제일제당,097950
2020-05-22,301500.0,"상승  1,500",302000.0,302500.0,297500.0,80322.0,CJ제일제당,097950
2020-05-25,303000.0,"상승  1,500",304000.0,304000.0,295500.0,62267.0,CJ제일제당,097950
2020-05-26,298500.0,"하락  4,500",303500.0,304500.0,298000.0,63891.0,CJ제일제당,097950
2020-05-27,302000.0,"상승  3,500",301000.0,308500.0,300500.0,89616.0,CJ제일제당,097950
2020-05-28,298000.0,"하락  4,000",302000.0,303500.0,294000.0,74989.0,CJ제일제당,097950
2020-05-29,297000.0,"하락  1,000",294000.0,299500.0,294000.0,80710.0,CJ제일제당,097950
2020-06-01,299000.0,"상승  2,000",295000.0,302000.0,295000.0,42750.0,CJ제일제당,097950
2020-06-02,302000.0,"상승  3,000",300500.0,307000.0,299000.0,61739.0,CJ제일제당,097950
2020-06-03,299500.0,"하락  2,500",304000.0,306500.0,296000.0,96388.0,CJ제일제당,097950
2020-06-04,297500.0,"하락  2,000",299000.0,300500.0,296000.0,96244.0,CJ제일제당,097950
2020-06-05,299000.0,"상승  1,500",299000.0,300000.0,296000.0,62754.0,CJ제일제당,097950
2020-06-08,297500.0,"하락  1,500",300500.0,301000.0,296500.0,55673.0,CJ제일제당,097950
2020-06-09,305500.0,"상승  8,000",298500.0,308000.0,297500.0,94024.0,CJ제일제당,097950
2020-06-10,329500.0,"상승  24,000",307000.0,329500.0,307000.0,207335.0,CJ제일제당,097950
2020-06-11,320000.0,"하락  9,500",327500.0,333000.0,317000.0,143966.0,CJ제일제당,097950
2020-06-12,328500.0,"상승  8,500",305500.0,333500.0,304500.0,178247.0,CJ제일제당,097950
2020-06-15,316500.0,"하락  12,000",329500.0,342000.0,316500.0,194015.0,CJ제일제당,097950
2020-06-16,336500.0,"상승  20,000",328000.0,340000.0,326000.0,130120.0,CJ제일제당,097950
2020-06-17,337000.0,상승  500,336500.0,342000.0,331000.0,89020.0,CJ제일제당,097950
2020-06-18,338000.0,"상승  1,000",335000.0,340500.0,332000.0,52581.0,CJ제일제당,097950
2020-06-19,332000.0,"하락  6,000",340000.0,340000.0,327000.0,67834.0,CJ제일제당,097950
2020-06-22,329000.0,"하락  3,000",329000.0,332000.0,327000.0,40462.0,CJ제일제당,097950
2020-06-23,338000.0,"상승  9,000",330000.0,341000.0,327500.0,70173.0,CJ제일제당,097950
2020-06-24,346000.0,"상승  8,000",341000.0,346500.0,338000.0,68032.0,CJ제일제당,097950
2020-06-25,339500.0,"하락  6,500",342500.0,345500.0,338000.0,52744.0,CJ제일제당,097950
2020-06-26,338000.0,"하락  1,500",342000.0,342500.0,334000.0,46777.0,CJ제일제당,097950
2020-06-29,328500.0,"하락  9,500",337500.0,337500.0,328000.0,46185.0,CJ제일제당,097950
2020-06-30,326000.0,"하락  2,500",332000.0,333000.0,324000.0,48346.0,CJ제일제당,097950
2020-07-01,339000.0,"상승  13,000",333000.0,344000.0,329000.0,71848.0,CJ제일제당,097950
2020-07-02,356500.0,"상승  17,500",342000.0,356500.0,341000.0,107583.0,CJ제일제당,097950
2020-07-03,357000.0,상승  500,357500.0,360000.0,352000.0,49630.0,CJ제일제당,097950
2020-07-06,360500.0,"상승  3,500",357500.0,363000.0,351500.0,44473.0,CJ제일제당,097950
2020-07-07,369000.0,"상승  8,500",361000.0,370000.0,356000.0,77365.0,CJ제일제당,097950
2020-07-08,362000.0,"하락  7,000",368500.0,368500.0,361500.0,64227.0,CJ제일제당,097950
2020-07-09,382000.0,"상승  20,000",366500.0,384500.0,364000.0,137719.0,CJ제일제당,097950
2020-07-10,390000.0,"상승  8,000",382000.0,399500.0,377000.0,121447.0,CJ제일제당,097950
2020-07-13,400000.0,"상승  10,000",390000.0,400000.0,384500.0,65825.0,CJ제일제당,097950
2020-07-14,406000.0,"상승  6,000",398000.0,414000.0,395500.0,127633.0,CJ제일제당,097950
2020-07-15,392500.0,"하락  13,500",410000.0,410000.0,391500.0,103449.0,CJ제일제당,097950
2020-07-16,384000.0,"하락  8,500",388500.0,393500.0,379500.0,85788.0,CJ제일제당,097950
2020-07-17,380000.0,"하락  4,000",383000.0,388000.0,375000.0,69815.0,CJ제일제당,097950
2020-07-20,376000.0,"하락  4,000",380000.0,382000.0,368500.0,71177.0,CJ제일제당,097950
2020-07-21,376500.0,상승  500,381000.0,383000.0,374500.0,54558.0,CJ제일제당,097950
2020-07-22,371000.0,"하락  5,500",376000.0,376000.0,369000.0,57919.0,CJ제일제당,097950
2020-07-23,373000.0,"상승  2,000",371000.0,381000.0,370000.0,75587.0,CJ제일제당,097950
2020-07-24,369000.0,"하락  4,000",372000.0,375500.0,366000.0,47447.0,CJ제일제당,097950
2020-07-27,369500.0,상승  500,368500.0,375000.0,362500.0,67295.0,CJ제일제당,097950
2020-07-28,366500.0,"하락  3,000",367000.0,369500.0,363000.0,63561.0,CJ제일제당,097950
2020-07-29,366000.0,하락  500,364000.0,368500.0,363000.0,47229.0,CJ제일제당,097950
2020-07-30,367000.0,"상승  1,000",365000.0,371000.0,364500.0,62059.0,CJ제일제당,097950
2020-07-31,386000.0,"상승  19,000",367000.0,390000.0,366000.0,147404.0,CJ제일제당,097950
2020-08-03,414000.0,"상승  28,000",393000.0,414000.0,390000.0,216845.0,CJ제일제당,097950
2020-08-04,415000.0,"상승  1,000",417500.0,420000.0,403000.0,102043.0,CJ제일제당,097950
2020-08-05,417500.0,"상승  2,500",417000.0,419500.0,408500.0,70042.0,CJ제일제당,097950
2020-08-06,420000.0,"상승  2,500",420000.0,428000.0,413500.0,70190.0,CJ제일제당,097950
2020-08-07,424000.0,"상승  4,000",422000.0,428500.0,413000.0,89595.0,CJ제일제당,097950
2020-08-10,427000.0,"상승  3,000",425500.0,431000.0,422500.0,67787.0,CJ제일제당,097950
2020-08-11,443500.0,"상승  16,500",427000.0,443500.0,407000.0,194475.0,CJ제일제당,097950
2020-08-12,414500.0,"하락  29,000",438500.0,451000.0,413000.0,277899.0,CJ제일제당,097950
2020-08-13,414000.0,하락  500,418500.0,425000.0,405500.0,163946.0,CJ제일제당,097950
2020-08-14,401000.0,"하락  13,000",413000.0,417000.0,397500.0,121448.0,CJ제일제당,097950
2020-08-18,403000.0,"상승  2,000",407000.0,421000.0,398000.0,133759.0,CJ제일제당,097950
2020-08-19,402500.0,하락  500,408000.0,412500.0,402000.0,76931.0,CJ제일제당,097950
2020-08-20,400500.0,"하락  2,000",400000.0,420000.0,399000.0,138623.0,CJ제일제당,097950
2020-08-21,397000.0,"하락  3,500",403000.0,405000.0,387000.0,92889.0,CJ제일제당,097950
2020-08-24,406000.0,"상승  9,000",404000.0,410000.0,401500.0,67976.0,CJ제일제당,097950
2020-08-25,416500.0,"상승  10,500",413000.0,417500.0,405500.0,87109.0,CJ제일제당,097950
2020-08-26,416500.0,보합0,416500.0,420000.0,408000.0,70882.0,CJ제일제당,097950
2020-08-27,418000.0,"상승  1,500",416500.0,419500.0,412000.0,70579.0,CJ제일제당,097950
2020-08-28,416500.0,"하락  1,500",420000.0,422000.0,413000.0,58254.0,CJ제일제당,097950
2020-08-31,407000.0,"하락  9,500",419500.0,419500.0,404500.0,112822.0,CJ제일제당,097950
2020-09-01,403500.0,"하락  3,500",403500.0,409500.0,398500.0,59447.0,CJ제일제당,097950
2020-09-02,401500.0,"하락  2,000",409500.0,409500.0,398500.0,73476.0,CJ제일제당,097950
2020-09-03,401500.0,보합0,401500.0,405000.0,399500.0,57308.0,CJ제일제당,097950
2020-09-04,396500.0,"하락  5,000",394500.0,400000.0,393000.0,69718.0,CJ제일제당,097950
2020-09-07,389500.0,"하락  7,000",399000.0,399500.0,387500.0,72911.0,CJ제일제당,097950
2020-09-08,389500.0,보합0,392500.0,396000.0,389500.0,60046.0,CJ제일제당,097950
