날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,593.0,하락  34,547.0,600.0,547.0,1556744.0,DB,012030
2020-03-16,575.0,하락  18,593.0,639.0,573.0,511654.0,DB,012030
2020-03-17,572.0,하락  3,539.0,584.0,537.0,613421.0,DB,012030
2020-03-18,544.0,하락  28,580.0,598.0,530.0,872671.0,DB,012030
2020-03-19,489.0,하락  55,549.0,550.0,456.0,1057399.0,DB,012030
2020-03-20,507.0,상승  18,485.0,524.0,481.0,983394.0,DB,012030
2020-03-23,476.0,하락  31,472.0,498.0,467.0,557901.0,DB,012030
2020-03-24,515.0,상승  39,477.0,515.0,477.0,675511.0,DB,012030
2020-03-25,541.0,상승  26,532.0,669.0,506.0,1595897.0,DB,012030
2020-03-26,557.0,상승  16,542.0,599.0,535.0,924701.0,DB,012030
2020-03-27,556.0,하락  1,597.0,597.0,533.0,875807.0,DB,012030
2020-03-30,557.0,상승  1,554.0,560.0,531.0,755162.0,DB,012030
2020-03-31,566.0,상승  9,562.0,575.0,556.0,832395.0,DB,012030
2020-04-01,556.0,하락  10,566.0,585.0,553.0,919393.0,DB,012030
2020-04-02,571.0,상승  15,558.0,576.0,541.0,1492359.0,DB,012030
2020-04-03,569.0,하락  2,575.0,577.0,563.0,682833.0,DB,012030
2020-04-06,603.0,상승  34,574.0,607.0,541.0,2072988.0,DB,012030
2020-04-07,650.0,상승  47,630.0,654.0,612.0,1265244.0,DB,012030
2020-04-08,666.0,상승  16,651.0,684.0,638.0,1077307.0,DB,012030
2020-04-09,654.0,하락  12,682.0,682.0,641.0,1273616.0,DB,012030
2020-04-10,645.0,하락  9,653.0,660.0,620.0,921699.0,DB,012030
2020-04-13,624.0,하락  21,645.0,651.0,623.0,653183.0,DB,012030
2020-04-14,684.0,상승  60,627.0,740.0,627.0,3489391.0,DB,012030
2020-04-16,683.0,하락  1,671.0,690.0,635.0,1161901.0,DB,012030
2020-04-17,705.0,상승  22,680.0,711.0,680.0,919551.0,DB,012030
2020-04-20,710.0,상승  5,734.0,734.0,702.0,1105899.0,DB,012030
2020-04-21,705.0,하락  5,699.0,716.0,669.0,1595217.0,DB,012030
2020-04-22,710.0,상승  5,704.0,717.0,668.0,958884.0,DB,012030
2020-04-23,743.0,상승  33,711.0,752.0,702.0,1218292.0,DB,012030
2020-04-24,740.0,하락  3,741.0,750.0,722.0,744560.0,DB,012030
2020-04-27,739.0,하락  1,740.0,748.0,736.0,384558.0,DB,012030
2020-04-28,741.0,상승  2,739.0,750.0,725.0,560958.0,DB,012030
2020-04-29,748.0,상승  7,747.0,760.0,738.0,659930.0,DB,012030
2020-05-04,770.0,상승  22,734.0,779.0,722.0,1201469.0,DB,012030
2020-05-06,801.0,상승  31,788.0,804.0,775.0,1747558.0,DB,012030
2020-05-07,804.0,상승  3,801.0,811.0,788.0,1255651.0,DB,012030
2020-05-08,786.0,하락  18,804.0,808.0,785.0,956298.0,DB,012030
2020-05-11,797.0,상승  11,797.0,804.0,780.0,1095600.0,DB,012030
2020-05-12,793.0,하락  4,799.0,800.0,769.0,705374.0,DB,012030
2020-05-13,790.0,하락  3,795.0,795.0,781.0,570597.0,DB,012030
2020-05-14,784.0,하락  6,790.0,791.0,761.0,509327.0,DB,012030
2020-05-15,781.0,하락  3,815.0,817.0,751.0,3222197.0,DB,012030
2020-05-18,765.0,하락  16,790.0,790.0,755.0,1237755.0,DB,012030
2020-05-19,759.0,하락  6,777.0,778.0,755.0,918215.0,DB,012030
2020-05-20,778.0,상승  19,761.0,781.0,759.0,983340.0,DB,012030
2020-05-21,783.0,상승  5,782.0,820.0,759.0,1710425.0,DB,012030
2020-05-22,755.0,하락  28,785.0,788.0,747.0,1317848.0,DB,012030
2020-05-25,769.0,상승  14,752.0,771.0,750.0,752296.0,DB,012030
2020-05-26,767.0,하락  2,778.0,785.0,761.0,901215.0,DB,012030
2020-05-27,780.0,상승  13,773.0,782.0,758.0,753830.0,DB,012030
2020-05-28,768.0,하락  12,789.0,789.0,751.0,992079.0,DB,012030
2020-05-29,749.0,하락  19,760.0,773.0,743.0,819698.0,DB,012030
2020-06-01,750.0,상승  1,749.0,762.0,746.0,598929.0,DB,012030
2020-06-02,759.0,상승  9,749.0,770.0,749.0,475260.0,DB,012030
2020-06-03,753.0,하락  6,760.0,765.0,737.0,1820464.0,DB,012030
2020-06-04,749.0,하락  4,753.0,757.0,747.0,459825.0,DB,012030
2020-06-05,754.0,상승  5,750.0,754.0,742.0,497260.0,DB,012030
2020-06-08,748.0,하락  6,752.0,757.0,740.0,765218.0,DB,012030
2020-06-09,743.0,하락  5,750.0,751.0,737.0,364274.0,DB,012030
2020-06-10,744.0,상승  1,745.0,753.0,725.0,470116.0,DB,012030
2020-06-11,730.0,하락  14,751.0,751.0,727.0,477762.0,DB,012030
2020-06-12,703.0,하락  27,713.0,713.0,690.0,1245281.0,DB,012030
2020-06-15,673.0,하락  30,703.0,710.0,673.0,815453.0,DB,012030
2020-06-16,707.0,상승  34,695.0,712.0,680.0,646778.0,DB,012030
2020-06-17,706.0,하락  1,707.0,712.0,690.0,308182.0,DB,012030
2020-06-18,711.0,상승  5,702.0,713.0,701.0,527066.0,DB,012030
2020-06-19,707.0,하락  4,708.0,713.0,697.0,603186.0,DB,012030
2020-06-22,701.0,하락  6,700.0,712.0,700.0,657611.0,DB,012030
2020-06-23,698.0,하락  3,709.0,713.0,696.0,402282.0,DB,012030
2020-06-24,702.0,상승  4,698.0,709.0,691.0,662720.0,DB,012030
2020-06-25,694.0,하락  8,691.0,701.0,691.0,246373.0,DB,012030
2020-06-26,700.0,상승  6,704.0,704.0,678.0,828728.0,DB,012030
2020-06-29,680.0,하락  20,690.0,702.0,677.0,463252.0,DB,012030
2020-06-30,691.0,상승  11,687.0,698.0,680.0,390518.0,DB,012030
2020-07-01,678.0,하락  13,701.0,706.0,677.0,1019266.0,DB,012030
2020-07-02,685.0,상승  7,689.0,692.0,678.0,486349.0,DB,012030
2020-07-03,691.0,상승  6,686.0,694.0,685.0,411730.0,DB,012030
2020-07-06,685.0,하락  6,690.0,695.0,681.0,707552.0,DB,012030
2020-07-07,680.0,하락  5,687.0,688.0,673.0,613790.0,DB,012030
2020-07-08,696.0,상승  16,676.0,699.0,676.0,467090.0,DB,012030
2020-07-09,697.0,상승  1,696.0,707.0,687.0,371161.0,DB,012030
2020-07-10,687.0,하락  10,697.0,702.0,677.0,576237.0,DB,012030
2020-07-13,691.0,상승  4,688.0,693.0,687.0,221169.0,DB,012030
2020-07-14,688.0,하락  3,691.0,692.0,676.0,363945.0,DB,012030
2020-07-15,693.0,상승  5,691.0,699.0,683.0,458484.0,DB,012030
2020-07-16,718.0,상승  25,693.0,770.0,693.0,2894502.0,DB,012030
2020-07-17,718.0,보합0,720.0,731.0,714.0,544446.0,DB,012030
2020-07-20,703.0,하락  15,730.0,730.0,702.0,727342.0,DB,012030
2020-07-21,718.0,상승  15,712.0,719.0,703.0,1027725.0,DB,012030
2020-07-22,720.0,상승  2,727.0,727.0,708.0,735962.0,DB,012030
2020-07-23,718.0,하락  2,717.0,721.0,708.0,331527.0,DB,012030
2020-07-24,700.0,하락  18,713.0,718.0,700.0,488883.0,DB,012030
2020-07-27,705.0,상승  5,709.0,715.0,702.0,547848.0,DB,012030
2020-07-28,700.0,하락  5,706.0,710.0,698.0,674016.0,DB,012030
2020-07-29,708.0,상승  8,700.0,708.0,697.0,338957.0,DB,012030
2020-07-30,708.0,보합0,708.0,709.0,700.0,461928.0,DB,012030
2020-07-31,724.0,상승  16,709.0,731.0,705.0,912179.0,DB,012030
2020-08-03,725.0,상승  1,735.0,741.0,724.0,794928.0,DB,012030
2020-08-04,739.0,상승  14,730.0,755.0,727.0,1190197.0,DB,012030
2020-08-05,733.0,하락  6,742.0,747.0,732.0,452289.0,DB,012030
2020-08-06,729.0,하락  4,745.0,745.0,724.0,532749.0,DB,012030
2020-08-07,731.0,상승  2,728.0,735.0,727.0,372909.0,DB,012030
2020-08-10,727.0,하락  4,727.0,732.0,724.0,723843.0,DB,012030
2020-08-11,728.0,상승  1,735.0,735.0,722.0,527037.0,DB,012030
2020-08-12,720.0,하락  8,727.0,728.0,712.0,863599.0,DB,012030
2020-08-13,731.0,상승  11,727.0,740.0,717.0,882160.0,DB,012030
2020-08-14,740.0,상승  9,732.0,751.0,716.0,1621279.0,DB,012030
2020-08-18,720.0,하락  20,740.0,745.0,714.0,1131264.0,DB,012030
2020-08-19,710.0,하락  10,711.0,721.0,700.0,1356079.0,DB,012030
2020-08-20,682.0,하락  28,714.0,714.0,674.0,1725564.0,DB,012030
2020-08-21,684.0,상승  2,689.0,690.0,677.0,362879.0,DB,012030
2020-08-24,690.0,상승  6,682.0,692.0,675.0,290783.0,DB,012030
2020-08-25,692.0,상승  2,690.0,692.0,678.0,1278378.0,DB,012030
2020-08-26,693.0,상승  1,693.0,698.0,683.0,450536.0,DB,012030
2020-08-27,700.0,상승  7,689.0,715.0,689.0,1219873.0,DB,012030
2020-08-28,701.0,상승  1,700.0,704.0,694.0,437540.0,DB,012030
2020-08-31,709.0,상승  8,702.0,711.0,700.0,900673.0,DB,012030
2020-09-01,703.0,하락  6,711.0,711.0,699.0,178030.0,DB,012030
2020-09-02,706.0,상승  3,705.0,718.0,700.0,507109.0,DB,012030
2020-09-03,705.0,하락  1,706.0,711.0,701.0,721630.0,DB,012030
2020-09-04,689.0,하락  16,687.0,703.0,685.0,1100949.0,DB,012030
2020-09-07,700.0,상승  11,691.0,709.0,683.0,683943.0,DB,012030
2020-09-08,711.0,상승  11,700.0,721.0,698.0,1413167.0,DB,012030
2020-09-09,716.0,상승  5,705.0,717.0,701.0,502251.0,DB,012030
2020-09-10,710.0,하락  6,716.0,724.0,703.0,805076.0,DB,012030
2020-09-11,708.0,하락  2,715.0,716.0,703.0,325460.0,DB,012030
2020-09-14,720.0,상승  12,708.0,720.0,705.0,711138.0,DB,012030
2020-09-15,722.0,상승  2,722.0,725.0,716.0,853305.0,DB,012030
2020-09-16,715.0,하락  7,725.0,727.0,709.0,985686.0,DB,012030
2020-09-17,704.0,하락  11,715.0,718.0,697.0,806929.0,DB,012030
2020-09-18,700.0,하락  4,700.0,705.0,696.0,283787.0,DB,012030
2020-09-21,700.0,보합0,708.0,708.0,692.0,732905.0,DB,012030
2020-09-22,690.0,하락  10,697.0,701.0,688.0,887437.0,DB,012030
2020-09-23,694.0,상승  4,697.0,702.0,687.0,627212.0,DB,012030
2020-09-24,668.0,하락  26,691.0,691.0,664.0,1155379.0,DB,012030
2020-09-25,673.0,상승  5,674.0,681.0,668.0,376148.0,DB,012030
2020-09-28,697.0,상승  24,682.0,699.0,678.0,499082.0,DB,012030
2020-09-29,702.0,상승  5,703.0,703.0,696.0,448064.0,DB,012030
2020-10-05,703.0,상승  1,702.0,704.0,694.0,302521.0,DB,012030
2020-10-06,703.0,보합0,704.0,704.0,694.0,276884.0,DB,012030
2020-10-07,699.0,하락  4,702.0,703.0,696.0,257641.0,DB,012030
2020-10-08,707.0,상승  8,704.0,710.0,698.0,916399.0,DB,012030
2020-10-12,705.0,하락  2,717.0,717.0,699.0,526701.0,DB,012030
2020-10-13,708.0,상승  3,710.0,710.0,698.0,319908.0,DB,012030
2020-10-14,696.0,하락  12,708.0,712.0,691.0,849343.0,DB,012030
2020-10-15,696.0,보합0,701.0,701.0,690.0,525856.0,DB,012030
2020-10-16,698.0,상승  2,696.0,699.0,684.0,589209.0,DB,012030
2020-10-19,696.0,하락  2,698.0,701.0,690.0,445503.0,DB,012030
2020-10-20,692.0,하락  4,694.0,694.0,687.0,346102.0,DB,012030
2020-10-21,700.0,상승  8,692.0,700.0,689.0,377499.0,DB,012030
2020-10-22,701.0,상승  1,702.0,703.0,692.0,342432.0,DB,012030
2020-10-23,704.0,상승  3,705.0,708.0,694.0,636169.0,DB,012030
2020-10-26,691.0,하락  13,705.0,705.0,686.0,419855.0,DB,012030
2020-10-27,684.0,하락  7,686.0,693.0,679.0,590178.0,DB,012030
2020-10-28,691.0,상승  7,684.0,693.0,682.0,504032.0,DB,012030
2020-10-29,687.0,하락  4,684.0,687.0,677.0,715744.0,DB,012030
2020-10-30,681.0,하락  6,687.0,688.0,677.0,477178.0,DB,012030
2020-11-02,679.0,하락  2,681.0,688.0,677.0,175832.0,DB,012030
2020-11-03,685.0,상승  6,683.0,690.0,683.0,278606.0,DB,012030
2020-11-04,687.0,상승  2,685.0,689.0,683.0,242085.0,DB,012030
2020-11-05,688.0,상승  1,690.0,692.0,685.0,367002.0,DB,012030
2020-11-06,690.0,상승  2,688.0,694.0,686.0,337456.0,DB,012030
2020-11-09,694.0,상승  4,694.0,695.0,688.0,383080.0,DB,012030
2020-11-10,690.0,하락  4,697.0,700.0,689.0,487784.0,DB,012030
2020-11-11,690.0,보합0,695.0,695.0,687.0,559872.0,DB,012030
2020-11-12,689.0,하락  1,690.0,691.0,679.0,820657.0,DB,012030
2020-11-13,693.0,상승  4,686.0,694.0,682.0,482391.0,DB,012030
2020-11-16,693.0,보합0,692.0,695.0,687.0,577068.0,DB,012030
2020-11-17,689.0,하락  4,694.0,695.0,684.0,1274865.0,DB,012030
2020-11-18,689.0,보합0,690.0,692.0,684.0,525625.0,DB,012030
2020-11-19,688.0,하락  1,689.0,689.0,683.0,485114.0,DB,012030
2020-11-20,689.0,상승  1,690.0,692.0,685.0,586777.0,DB,012030
2020-11-23,697.0,상승  8,693.0,697.0,687.0,841202.0,DB,012030
2020-11-24,719.0,상승  22,699.0,720.0,699.0,2061500.0,DB,012030
2020-11-25,709.0,하락  10,726.0,740.0,706.0,1644061.0,DB,012030
2020-11-26,713.0,상승  4,704.0,718.0,704.0,485781.0,DB,012030
2020-11-27,721.0,상승  8,718.0,732.0,714.0,1553443.0,DB,012030
2020-11-30,735.0,상승  14,729.0,739.0,721.0,1266218.0,DB,012030
2020-12-01,723.0,하락  12,735.0,740.0,718.0,915149.0,DB,012030
2020-12-02,728.0,상승  5,723.0,737.0,722.0,751368.0,DB,012030
2020-12-03,720.0,하락  8,730.0,734.0,714.0,909019.0,DB,012030
2020-12-04,717.0,하락  3,721.0,725.0,713.0,850449.0,DB,012030
2020-12-07,717.0,보합0,717.0,719.0,710.0,660796.0,DB,012030
2020-12-08,712.0,하락  5,714.0,719.0,711.0,464361.0,DB,012030
2020-12-09,713.0,상승  1,716.0,717.0,709.0,605566.0,DB,012030
2020-12-10,712.0,하락  1,713.0,721.0,712.0,495795.0,DB,012030
2020-12-11,720.0,상승  8,716.0,728.0,712.0,979597.0,DB,012030
2020-12-14,718.0,하락  2,723.0,726.0,717.0,620006.0,DB,012030
2020-12-15,717.0,하락  1,720.0,723.0,717.0,461106.0,DB,012030
2020-12-16,722.0,상승  5,720.0,724.0,717.0,431644.0,DB,012030
2020-12-17,718.0,하락  4,725.0,726.0,715.0,624002.0,DB,012030
2020-12-18,724.0,상승  6,720.0,725.0,715.0,604136.0,DB,012030
2020-12-21,722.0,하락  2,724.0,728.0,716.0,604999.0,DB,012030
2020-12-22,714.0,하락  8,722.0,733.0,714.0,1371348.0,DB,012030
2020-12-23,723.0,상승  9,764.0,764.0,720.0,1692121.0,DB,012030
2020-12-24,760.0,상승  37,733.0,869.0,729.0,26974204.0,DB,012030
2020-12-28,775.0,상승  15,778.0,829.0,769.0,15013738.0,DB,012030
2020-12-29,781.0,상승  6,783.0,803.0,771.0,4009049.0,DB,012030
2020-12-30,796.0,상승  15,785.0,801.0,763.0,3124458.0,DB,012030
2021-01-04,831.0,상승  35,815.0,841.0,803.0,4021360.0,DB,012030
2021-01-05,829.0,하락  2,830.0,833.0,811.0,2291897.0,DB,012030
2021-01-06,835.0,상승  6,830.0,860.0,828.0,3485712.0,DB,012030
2021-01-07,860.0,상승  25,838.0,868.0,830.0,3084051.0,DB,012030
2021-01-08,845.0,하락  15,866.0,871.0,841.0,2043433.0,DB,012030
2021-01-11,840.0,하락  5,854.0,859.0,800.0,3083821.0,DB,012030
2021-01-12,836.0,하락  4,820.0,853.0,819.0,1727946.0,DB,012030
2021-01-13,834.0,하락  2,836.0,840.0,826.0,889081.0,DB,012030
2021-01-14,825.0,하락  9,829.0,833.0,822.0,702447.0,DB,012030
2021-01-15,810.0,하락  15,826.0,829.0,810.0,914823.0,DB,012030
2021-01-18,821.0,상승  11,810.0,834.0,803.0,1584464.0,DB,012030
2021-01-19,822.0,상승  1,815.0,831.0,815.0,729724.0,DB,012030
2021-01-20,840.0,상승  18,822.0,870.0,821.0,2833747.0,DB,012030
2021-01-21,842.0,상승  2,840.0,851.0,839.0,732533.0,DB,012030
2021-01-22,871.0,상승  29,844.0,893.0,844.0,3067115.0,DB,012030
2021-01-25,881.0,상승  10,878.0,920.0,871.0,2572938.0,DB,012030
2021-01-26,898.0,상승  17,899.0,900.0,881.0,1742094.0,DB,012030
2021-01-27,980.0,상승  82,914.0,1055.0,905.0,24267801.0,DB,012030
2021-01-28,930.0,하락  50,946.0,991.0,917.0,5982718.0,DB,012030
2021-01-29,856.0,하락  74,937.0,938.0,821.0,4407064.0,DB,012030
2021-02-01,855.0,하락  1,846.0,860.0,829.0,1892093.0,DB,012030
2021-02-02,861.0,상승  6,860.0,897.0,855.0,2168857.0,DB,012030
2021-02-03,898.0,상승  37,864.0,902.0,863.0,2189288.0,DB,012030
2021-02-04,886.0,하락  12,900.0,919.0,880.0,1581145.0,DB,012030
2021-02-05,878.0,하락  8,892.0,894.0,874.0,1242574.0,DB,012030
