날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,25450.0,하락  250,25300.0,26050.0,24900.0,7175.0,DN오토모티브,007340
2020-03-17,25000.0,하락  450,24750.0,25200.0,23500.0,10437.0,DN오토모티브,007340
2020-03-18,23750.0,"하락  1,250",24700.0,25050.0,23750.0,9489.0,DN오토모티브,007340
2020-03-19,21900.0,"하락  1,850",23550.0,24200.0,20700.0,11909.0,DN오토모티브,007340
2020-03-20,22850.0,상승  950,21550.0,22900.0,21250.0,13915.0,DN오토모티브,007340
2020-03-23,22700.0,하락  150,22600.0,22800.0,22150.0,24935.0,DN오토모티브,007340
2020-03-24,22850.0,상승  150,22700.0,23050.0,22450.0,12446.0,DN오토모티브,007340
2020-03-25,25300.0,"상승  2,450",23100.0,25400.0,22800.0,21916.0,DN오토모티브,007340
2020-03-26,25200.0,하락  100,25500.0,25700.0,25100.0,10520.0,DN오토모티브,007340
2020-03-27,25850.0,상승  650,25700.0,25900.0,25050.0,19654.0,DN오토모티브,007340
2020-03-30,25400.0,하락  450,25850.0,25850.0,25300.0,16532.0,DN오토모티브,007340
2020-03-31,25200.0,하락  200,25500.0,25700.0,25000.0,8499.0,DN오토모티브,007340
2020-04-01,25200.0,보합0,25000.0,25550.0,24900.0,9669.0,DN오토모티브,007340
2020-04-02,24750.0,하락  450,24800.0,25200.0,24450.0,6363.0,DN오토모티브,007340
2020-04-03,24300.0,하락  450,24700.0,24950.0,24000.0,7156.0,DN오토모티브,007340
2020-04-06,24250.0,하락  50,24300.0,24450.0,23900.0,10781.0,DN오토모티브,007340
2020-04-07,24500.0,상승  250,24450.0,25450.0,24400.0,17218.0,DN오토모티브,007340
2020-04-08,24500.0,보합0,24800.0,24850.0,24250.0,4529.0,DN오토모티브,007340
2020-04-09,24750.0,상승  250,24500.0,24850.0,24350.0,4993.0,DN오토모티브,007340
2020-04-10,24500.0,하락  250,24750.0,24900.0,24250.0,9997.0,DN오토모티브,007340
2020-04-13,23800.0,하락  700,24500.0,24500.0,23700.0,10871.0,DN오토모티브,007340
2020-04-14,24100.0,상승  300,23800.0,24450.0,23700.0,9931.0,DN오토모티브,007340
2020-04-16,23650.0,하락  450,24000.0,24150.0,23400.0,13169.0,DN오토모티브,007340
2020-04-17,24100.0,상승  450,23950.0,24500.0,23700.0,11227.0,DN오토모티브,007340
2020-04-20,24100.0,보합0,24300.0,24350.0,24000.0,11509.0,DN오토모티브,007340
2020-04-21,24200.0,상승  100,24050.0,24350.0,23250.0,14741.0,DN오토모티브,007340
2020-04-22,24000.0,하락  200,23800.0,24200.0,23600.0,3450.0,DN오토모티브,007340
2020-04-23,24400.0,상승  400,23700.0,24450.0,23700.0,3530.0,DN오토모티브,007340
2020-04-24,24300.0,하락  100,24050.0,24350.0,23700.0,5912.0,DN오토모티브,007340
2020-04-27,24250.0,하락  50,24300.0,24450.0,23950.0,10353.0,DN오토모티브,007340
2020-04-28,24650.0,상승  400,24250.0,24700.0,23950.0,16310.0,DN오토모티브,007340
2020-04-29,25300.0,상승  650,24750.0,25300.0,24750.0,12227.0,DN오토모티브,007340
2020-05-04,24700.0,하락  600,25300.0,25500.0,24700.0,17267.0,DN오토모티브,007340
2020-05-06,24950.0,상승  250,24750.0,25150.0,24550.0,11685.0,DN오토모티브,007340
2020-05-07,25700.0,상승  750,24950.0,25700.0,24750.0,10371.0,DN오토모티브,007340
2020-05-08,25950.0,상승  250,25850.0,26450.0,25300.0,19609.0,DN오토모티브,007340
2020-05-11,25800.0,하락  150,26150.0,26400.0,25350.0,13503.0,DN오토모티브,007340
2020-05-12,24950.0,하락  850,26050.0,26050.0,24900.0,13906.0,DN오토모티브,007340
2020-05-13,25100.0,상승  150,24400.0,25450.0,24300.0,15362.0,DN오토모티브,007340
2020-05-14,24400.0,하락  700,25100.0,25100.0,24150.0,16749.0,DN오토모티브,007340
2020-05-15,24700.0,상승  300,24500.0,24900.0,24250.0,15927.0,DN오토모티브,007340
2020-05-18,24900.0,상승  200,24700.0,24950.0,24150.0,14959.0,DN오토모티브,007340
2020-05-19,25750.0,상승  850,25200.0,25850.0,24850.0,70863.0,DN오토모티브,007340
2020-05-20,25500.0,하락  250,25500.0,25800.0,25350.0,7037.0,DN오토모티브,007340
2020-05-21,25850.0,상승  350,25550.0,25900.0,25350.0,12919.0,DN오토모티브,007340
2020-05-22,25250.0,하락  600,25650.0,25800.0,25000.0,11165.0,DN오토모티브,007340
2020-05-25,25300.0,상승  50,25350.0,25450.0,24950.0,10469.0,DN오토모티브,007340
2020-05-26,25400.0,상승  100,25300.0,25450.0,25100.0,7370.0,DN오토모티브,007340
