날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,2915.0,하락  95,3000.0,3120.0,2900.0,89661.0,DSR,155660
2020-03-17,2990.0,상승  75,2610.0,3025.0,2610.0,46220.0,DSR,155660
2020-03-18,2800.0,하락  190,2975.0,3085.0,2800.0,77049.0,DSR,155660
2020-03-19,2335.0,하락  465,2770.0,2855.0,2250.0,145064.0,DSR,155660
2020-03-20,2460.0,상승  125,2335.0,2465.0,2335.0,83204.0,DSR,155660
2020-03-23,2160.0,하락  300,2225.0,2345.0,2160.0,93818.0,DSR,155660
2020-03-24,2255.0,상승  95,2180.0,2285.0,2165.0,72868.0,DSR,155660
2020-03-25,2430.0,상승  175,2300.0,2460.0,2300.0,88269.0,DSR,155660
2020-03-26,2570.0,상승  140,2435.0,2640.0,2360.0,91745.0,DSR,155660
2020-03-27,2665.0,상승  95,2625.0,2800.0,2580.0,78232.0,DSR,155660
2020-03-30,2680.0,상승  15,2535.0,2720.0,2535.0,31810.0,DSR,155660
2020-03-31,2950.0,상승  270,2730.0,3300.0,2730.0,94109.0,DSR,155660
2020-04-01,3255.0,상승  305,2950.0,3525.0,2945.0,275265.0,DSR,155660
2020-04-02,3320.0,상승  65,3280.0,3335.0,3030.0,80487.0,DSR,155660
2020-04-03,3400.0,상승  80,3260.0,3410.0,3255.0,86903.0,DSR,155660
2020-04-06,3470.0,상승  70,3360.0,3470.0,3310.0,82336.0,DSR,155660
2020-04-07,3630.0,상승  160,3535.0,3635.0,3425.0,111689.0,DSR,155660
2020-04-08,3655.0,상승  25,3625.0,3770.0,3520.0,61895.0,DSR,155660
2020-04-09,3680.0,상승  25,3655.0,3780.0,3655.0,55553.0,DSR,155660
2020-04-10,3565.0,하락  115,3655.0,3730.0,3520.0,104275.0,DSR,155660
2020-04-13,3485.0,하락  80,3565.0,3565.0,3430.0,52000.0,DSR,155660
2020-04-14,3585.0,상승  100,3465.0,3620.0,3465.0,49634.0,DSR,155660
2020-04-16,3565.0,하락  20,3590.0,3620.0,3450.0,33937.0,DSR,155660
2020-04-17,3630.0,상승  65,3580.0,3700.0,3565.0,62427.0,DSR,155660
2020-04-20,3700.0,상승  70,3645.0,3785.0,3595.0,86708.0,DSR,155660
2020-04-21,3670.0,하락  30,3700.0,3730.0,3400.0,93528.0,DSR,155660
2020-04-22,3650.0,하락  20,3585.0,3655.0,3440.0,86899.0,DSR,155660
2020-04-23,3740.0,상승  90,3660.0,3745.0,3605.0,44832.0,DSR,155660
2020-04-24,3665.0,하락  75,3800.0,3800.0,3490.0,50188.0,DSR,155660
2020-04-27,3710.0,상승  45,3665.0,3750.0,3665.0,45143.0,DSR,155660
2020-04-28,3780.0,상승  70,3740.0,3840.0,3690.0,56875.0,DSR,155660
