날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3020.0,하락  340,3000.0,3260.0,2940.0,172844.0,DSR제강,069730
2020-03-16,2950.0,하락  70,3025.0,3150.0,2945.0,116063.0,DSR제강,069730
2020-03-17,2905.0,하락  45,2885.0,2990.0,2630.0,102005.0,DSR제강,069730
2020-03-18,2760.0,하락  145,2880.0,2995.0,2750.0,75892.0,DSR제강,069730
2020-03-19,2300.0,하락  460,2760.0,2820.0,2235.0,234215.0,DSR제강,069730
2020-03-20,2425.0,상승  125,2300.0,2440.0,2300.0,187401.0,DSR제강,069730
2020-03-23,2235.0,하락  190,2285.0,2330.0,2210.0,143047.0,DSR제강,069730
2020-03-24,2365.0,상승  130,2250.0,2390.0,2250.0,130761.0,DSR제강,069730
2020-03-25,2560.0,상승  195,2450.0,2560.0,2450.0,132167.0,DSR제강,069730
2020-03-26,2700.0,상승  140,2585.0,2765.0,2475.0,231211.0,DSR제강,069730
2020-03-27,2755.0,상승  55,2735.0,2815.0,2640.0,117317.0,DSR제강,069730
2020-03-30,2790.0,상승  35,2620.0,2800.0,2620.0,59487.0,DSR제강,069730
2020-03-31,3035.0,상승  245,2855.0,3050.0,2845.0,140250.0,DSR제강,069730
2020-04-01,3060.0,상승  25,2975.0,3310.0,2960.0,171725.0,DSR제강,069730
2020-04-02,3185.0,상승  125,3250.0,3250.0,2930.0,87793.0,DSR제강,069730
2020-04-03,3240.0,상승  55,3185.0,3380.0,3185.0,66410.0,DSR제강,069730
2020-04-06,3350.0,상승  110,3250.0,3375.0,3250.0,54262.0,DSR제강,069730
2020-04-07,3525.0,상승  175,3430.0,3530.0,3315.0,70102.0,DSR제강,069730
2020-04-08,3555.0,상승  30,3600.0,3600.0,3445.0,58171.0,DSR제강,069730
2020-04-09,3615.0,상승  60,3575.0,3630.0,3555.0,46877.0,DSR제강,069730
2020-04-10,3620.0,상승  5,3615.0,3655.0,3450.0,78146.0,DSR제강,069730
2020-04-13,3450.0,하락  170,3620.0,3640.0,3450.0,35471.0,DSR제강,069730
2020-04-14,3540.0,상승  90,3440.0,3590.0,3440.0,63312.0,DSR제강,069730
2020-04-16,3550.0,상승  10,3540.0,3585.0,3370.0,49055.0,DSR제강,069730
2020-04-17,3625.0,상승  75,3630.0,3630.0,3550.0,53006.0,DSR제강,069730
2020-04-20,3675.0,상승  50,3635.0,3760.0,3590.0,76649.0,DSR제강,069730
2020-04-21,3600.0,하락  75,3660.0,3735.0,3300.0,93767.0,DSR제강,069730
2020-04-22,3550.0,하락  50,3560.0,3600.0,3425.0,44619.0,DSR제강,069730
2020-04-23,3630.0,상승  80,3555.0,3695.0,3550.0,44956.0,DSR제강,069730
2020-04-24,3515.0,하락  115,3600.0,3650.0,3490.0,40827.0,DSR제강,069730
2020-04-27,3610.0,상승  95,3535.0,3780.0,3535.0,42064.0,DSR제강,069730
2020-04-28,3635.0,상승  25,3635.0,3735.0,3550.0,77891.0,DSR제강,069730
2020-04-29,3640.0,상승  5,3635.0,3730.0,3610.0,45953.0,DSR제강,069730
2020-05-04,3680.0,상승  40,3640.0,3720.0,3575.0,52187.0,DSR제강,069730
2020-05-06,3715.0,상승  35,3680.0,3755.0,3655.0,44124.0,DSR제강,069730
2020-05-07,3690.0,하락  25,3715.0,3750.0,3600.0,38511.0,DSR제강,069730
2020-05-08,3750.0,상승  60,3690.0,3795.0,3690.0,55878.0,DSR제강,069730
2020-05-11,3600.0,하락  150,3770.0,3790.0,3600.0,45651.0,DSR제강,069730
2020-05-12,3495.0,하락  105,3675.0,3675.0,3465.0,73795.0,DSR제강,069730
2020-05-13,3500.0,상승  5,3490.0,3515.0,3435.0,27307.0,DSR제강,069730
2020-05-14,3420.0,하락  80,3450.0,3510.0,3365.0,66089.0,DSR제강,069730
2020-05-15,3460.0,상승  40,3425.0,3470.0,3390.0,34655.0,DSR제강,069730
2020-05-18,3500.0,상승  40,3465.0,3510.0,3415.0,28416.0,DSR제강,069730
2020-05-19,3605.0,상승  105,3520.0,3635.0,3520.0,50606.0,DSR제강,069730
2020-05-20,3650.0,상승  45,3605.0,3700.0,3595.0,36920.0,DSR제강,069730
2020-05-21,3890.0,상승  240,3725.0,4060.0,3725.0,663229.0,DSR제강,069730
2020-05-22,3795.0,하락  95,3870.0,3890.0,3730.0,88213.0,DSR제강,069730
2020-05-25,3890.0,상승  95,3750.0,3890.0,3750.0,66275.0,DSR제강,069730
2020-05-26,4025.0,상승  135,3900.0,4745.0,3870.0,4789605.0,DSR제강,069730
2020-05-27,4135.0,상승  110,4100.0,4185.0,4040.0,580289.0,DSR제강,069730
2020-05-28,3975.0,하락  160,4140.0,4155.0,3895.0,246624.0,DSR제강,069730
2020-05-29,3970.0,하락  5,3905.0,4020.0,3895.0,81571.0,DSR제강,069730
2020-06-01,3965.0,하락  5,3950.0,4030.0,3950.0,91859.0,DSR제강,069730
2020-06-02,4070.0,상승  105,4080.0,4080.0,3975.0,108330.0,DSR제강,069730
2020-06-03,4235.0,상승  165,4050.0,4700.0,4050.0,3668461.0,DSR제강,069730
2020-06-04,4140.0,하락  95,4290.0,4290.0,4065.0,347128.0,DSR제강,069730
2020-06-05,4230.0,상승  90,4165.0,4305.0,4135.0,360401.0,DSR제강,069730
2020-06-08,4210.0,하락  20,4290.0,4290.0,4165.0,101992.0,DSR제강,069730
2020-06-09,4160.0,하락  50,4190.0,4250.0,4070.0,166905.0,DSR제강,069730
2020-06-10,4085.0,하락  75,4160.0,4180.0,4020.0,85949.0,DSR제강,069730
2020-06-11,4005.0,하락  80,4120.0,4205.0,4005.0,101458.0,DSR제강,069730
2020-06-12,3885.0,하락  120,3890.0,3960.0,3790.0,158096.0,DSR제강,069730
2020-06-15,3640.0,하락  245,3910.0,3945.0,3640.0,137583.0,DSR제강,069730
2020-06-16,3920.0,상승  280,3640.0,3950.0,3640.0,91811.0,DSR제강,069730
2020-06-17,3900.0,하락  20,3920.0,3925.0,3785.0,54992.0,DSR제강,069730
2020-06-18,3950.0,상승  50,3875.0,3955.0,3815.0,50712.0,DSR제강,069730
2020-06-19,3950.0,보합0,3950.0,4005.0,3900.0,50022.0,DSR제강,069730
2020-06-22,3840.0,하락  110,3945.0,4000.0,3840.0,50959.0,DSR제강,069730
2020-06-23,3810.0,하락  30,3835.0,3885.0,3745.0,58373.0,DSR제강,069730
2020-06-24,3940.0,상승  130,3830.0,3940.0,3800.0,102566.0,DSR제강,069730
2020-06-25,3850.0,하락  90,3890.0,3935.0,3780.0,38278.0,DSR제강,069730
2020-06-26,3850.0,보합0,3820.0,3910.0,3735.0,52929.0,DSR제강,069730
2020-06-29,3765.0,하락  85,3800.0,3860.0,3665.0,56454.0,DSR제강,069730
2020-06-30,3805.0,상승  40,3755.0,3845.0,3715.0,41279.0,DSR제강,069730
2020-07-01,3795.0,하락  10,3900.0,3900.0,3775.0,24236.0,DSR제강,069730
2020-07-02,3835.0,상승  40,3795.0,3840.0,3750.0,34687.0,DSR제강,069730
2020-07-03,3865.0,상승  30,3825.0,3890.0,3810.0,30504.0,DSR제강,069730
2020-07-06,3940.0,상승  75,3870.0,4120.0,3830.0,250882.0,DSR제강,069730
2020-07-07,3950.0,상승  10,3960.0,3960.0,3885.0,50717.0,DSR제강,069730
2020-07-08,4085.0,상승  135,4000.0,4085.0,3930.0,197219.0,DSR제강,069730
2020-07-09,4075.0,하락  10,4330.0,4760.0,4075.0,1848512.0,DSR제강,069730
2020-07-10,4130.0,상승  55,4150.0,4170.0,4000.0,200653.0,DSR제강,069730
2020-07-13,4105.0,하락  25,4155.0,4170.0,4060.0,84461.0,DSR제강,069730
2020-07-14,4085.0,하락  20,4115.0,4150.0,4065.0,46818.0,DSR제강,069730
2020-07-15,4085.0,보합0,4110.0,4230.0,4065.0,117664.0,DSR제강,069730
2020-07-16,4175.0,상승  90,4125.0,4200.0,4115.0,63146.0,DSR제강,069730
2020-07-17,4100.0,하락  75,4165.0,4200.0,4065.0,74023.0,DSR제강,069730
2020-07-20,4120.0,상승  20,4100.0,4150.0,4060.0,52444.0,DSR제강,069730
2020-07-21,4500.0,상승  380,4105.0,4500.0,4100.0,416986.0,DSR제강,069730
2020-07-22,4410.0,하락  90,4490.0,4490.0,4325.0,252240.0,DSR제강,069730
2020-07-23,4425.0,상승  15,4405.0,4500.0,4330.0,167322.0,DSR제강,069730
2020-07-24,4465.0,상승  40,4380.0,4570.0,4340.0,277278.0,DSR제강,069730
2020-07-27,4475.0,상승  10,4500.0,4545.0,4415.0,89228.0,DSR제강,069730
2020-07-28,4395.0,하락  80,4475.0,4485.0,4365.0,136393.0,DSR제강,069730
2020-07-29,4395.0,보합0,4390.0,4420.0,4280.0,106313.0,DSR제강,069730
2020-07-30,4350.0,하락  45,4365.0,4420.0,4290.0,121070.0,DSR제강,069730
2020-07-31,4315.0,하락  35,4350.0,4370.0,4310.0,38777.0,DSR제강,069730
2020-08-03,4320.0,상승  5,4340.0,4340.0,4235.0,93222.0,DSR제강,069730
2020-08-04,4400.0,상승  80,4300.0,4415.0,4275.0,59656.0,DSR제강,069730
2020-08-05,4320.0,하락  80,4400.0,4400.0,4320.0,48035.0,DSR제강,069730
2020-08-06,4290.0,하락  30,4330.0,4405.0,4290.0,111770.0,DSR제강,069730
2020-08-07,4225.0,하락  65,4290.0,4330.0,4225.0,47660.0,DSR제강,069730
2020-08-10,4315.0,상승  90,4225.0,4390.0,4180.0,61308.0,DSR제강,069730
2020-08-11,4305.0,하락  10,4315.0,4375.0,4250.0,79812.0,DSR제강,069730
2020-08-12,4255.0,하락  50,4245.0,4300.0,4200.0,64177.0,DSR제강,069730
