날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3435.0,하락  365,3405.0,3670.0,3110.0,191747.0,DYP,092780
2020-03-16,3390.0,하락  45,3450.0,3700.0,3390.0,130420.0,DYP,092780
2020-03-17,3345.0,하락  45,3050.0,3450.0,3050.0,60432.0,DYP,092780
2020-03-18,3180.0,하락  165,3320.0,3600.0,3180.0,80448.0,DYP,092780
2020-03-19,2770.0,하락  410,3190.0,3250.0,2750.0,141030.0,DYP,092780
2020-03-20,2910.0,상승  140,2710.0,2970.0,2710.0,92391.0,DYP,092780
2020-03-23,2605.0,하락  305,2680.0,2790.0,2500.0,89851.0,DYP,092780
2020-03-24,2785.0,상승  180,2610.0,2785.0,2610.0,103662.0,DYP,092780
2020-03-25,3020.0,상승  235,2850.0,3050.0,2850.0,87932.0,DYP,092780
2020-03-26,3105.0,상승  85,3005.0,3150.0,2955.0,95339.0,DYP,092780
2020-03-27,3115.0,상승  10,3390.0,3390.0,3050.0,69917.0,DYP,092780
2020-03-30,3120.0,상승  5,3050.0,3120.0,2965.0,89389.0,DYP,092780
2020-03-31,3200.0,상승  80,3195.0,3265.0,3115.0,114299.0,DYP,092780
2020-04-01,3100.0,하락  100,3200.0,3410.0,3100.0,72592.0,DYP,092780
2020-04-02,3165.0,상승  65,3095.0,3175.0,3000.0,39956.0,DYP,092780
2020-04-03,3200.0,상승  35,3180.0,3265.0,3170.0,30476.0,DYP,092780
2020-04-06,3415.0,상승  215,3280.0,3430.0,3235.0,108427.0,DYP,092780
2020-04-07,3500.0,상승  85,3500.0,3530.0,3365.0,74457.0,DYP,092780
2020-04-08,3505.0,상승  5,3500.0,3580.0,3415.0,64629.0,DYP,092780
2020-04-09,3585.0,상승  80,3530.0,3630.0,3495.0,49953.0,DYP,092780
2020-04-10,3610.0,상승  25,3580.0,3615.0,3450.0,63657.0,DYP,092780
2020-04-13,3495.0,하락  115,3560.0,3565.0,3480.0,42587.0,DYP,092780
2020-04-14,3580.0,상승  85,3495.0,3590.0,3490.0,35331.0,DYP,092780
2020-04-16,3590.0,상승  10,3575.0,3595.0,3475.0,37354.0,DYP,092780
2020-04-17,3745.0,상승  155,3610.0,3875.0,3590.0,235156.0,DYP,092780
2020-04-20,3700.0,하락  45,3790.0,3795.0,3640.0,87747.0,DYP,092780
2020-04-21,3585.0,하락  115,3700.0,3730.0,3400.0,106064.0,DYP,092780
2020-04-22,3500.0,하락  85,3535.0,3565.0,3435.0,70152.0,DYP,092780
2020-04-23,3685.0,상승  185,3585.0,3700.0,3525.0,79326.0,DYP,092780
2020-04-24,3555.0,하락  130,3685.0,3690.0,3540.0,35205.0,DYP,092780
2020-04-27,3580.0,상승  25,3560.0,3620.0,3495.0,36087.0,DYP,092780
2020-04-28,3615.0,상승  35,3580.0,3670.0,3565.0,67029.0,DYP,092780
2020-04-29,3675.0,상승  60,3575.0,3715.0,3575.0,46827.0,DYP,092780
2020-05-04,3635.0,하락  40,3660.0,3685.0,3580.0,49869.0,DYP,092780
2020-05-06,3670.0,상승  35,3695.0,3740.0,3635.0,37603.0,DYP,092780
2020-05-07,3750.0,상승  80,3670.0,3750.0,3665.0,74435.0,DYP,092780
2020-05-08,3835.0,상승  85,3770.0,4200.0,3755.0,501273.0,DYP,092780
2020-05-11,3865.0,상승  30,3895.0,3915.0,3835.0,64789.0,DYP,092780
2020-05-12,3785.0,하락  80,3850.0,3905.0,3620.0,63519.0,DYP,092780
2020-05-13,3820.0,상승  35,3770.0,3820.0,3715.0,48670.0,DYP,092780
2020-05-14,3730.0,하락  90,3820.0,3820.0,3710.0,42659.0,DYP,092780
2020-05-15,3685.0,하락  45,3730.0,3805.0,3675.0,18377.0,DYP,092780
2020-05-18,3660.0,하락  25,3720.0,3720.0,3610.0,37707.0,DYP,092780
2020-05-19,3780.0,상승  120,3705.0,3780.0,3695.0,43982.0,DYP,092780
2020-05-20,3880.0,상승  100,3780.0,3885.0,3720.0,70875.0,DYP,092780
2020-05-21,4000.0,상승  120,3920.0,4115.0,3895.0,136928.0,DYP,092780
2020-05-22,3900.0,하락  100,4030.0,4100.0,3865.0,56928.0,DYP,092780
2020-05-25,4010.0,상승  110,3930.0,4280.0,3930.0,308818.0,DYP,092780
2020-05-26,4085.0,상승  75,4080.0,4100.0,3995.0,74991.0,DYP,092780
2020-05-27,4105.0,상승  20,4110.0,4115.0,4060.0,83900.0,DYP,092780
2020-05-28,4015.0,하락  90,4125.0,4145.0,3900.0,96459.0,DYP,092780
2020-05-29,3985.0,하락  30,3995.0,4055.0,3935.0,35482.0,DYP,092780
2020-06-01,4000.0,상승  15,3985.0,4045.0,3985.0,31682.0,DYP,092780
2020-06-02,4015.0,상승  15,4000.0,4060.0,3990.0,41890.0,DYP,092780
2020-06-03,4090.0,상승  75,4060.0,4125.0,4025.0,85801.0,DYP,092780
2020-06-04,4085.0,하락  5,4120.0,4135.0,4065.0,52446.0,DYP,092780
2020-06-05,4050.0,하락  35,4085.0,4085.0,4000.0,30211.0,DYP,092780
2020-06-08,4120.0,상승  70,4105.0,4180.0,4050.0,65459.0,DYP,092780
2020-06-09,4195.0,상승  75,4110.0,4245.0,4100.0,94711.0,DYP,092780
2020-06-10,4350.0,상승  155,4150.0,4365.0,4130.0,122365.0,DYP,092780
2020-06-11,4400.0,상승  50,4340.0,4560.0,4250.0,308059.0,DYP,092780
2020-06-12,4430.0,상승  30,4240.0,4430.0,3900.0,201642.0,DYP,092780
2020-06-15,4400.0,하락  30,4485.0,4485.0,4250.0,232299.0,DYP,092780
2020-06-16,4860.0,상승  460,4400.0,4900.0,4390.0,932046.0,DYP,092780
2020-06-17,4880.0,상승  20,4890.0,5000.0,4745.0,820109.0,DYP,092780
2020-06-18,4805.0,하락  75,4850.0,4860.0,4735.0,221353.0,DYP,092780
2020-06-19,4800.0,하락  5,4750.0,4800.0,4600.0,205387.0,DYP,092780
2020-06-22,4810.0,상승  10,4750.0,4815.0,4650.0,108173.0,DYP,092780
2020-06-23,4865.0,상승  55,4810.0,4980.0,4720.0,355925.0,DYP,092780
2020-06-24,4910.0,상승  45,4950.0,4955.0,4850.0,225284.0,DYP,092780
2020-06-25,5200.0,상승  290,4850.0,5230.0,4810.0,1541075.0,DYP,092780
2020-06-26,5120.0,하락  80,5200.0,5200.0,5010.0,316894.0,DYP,092780
2020-06-29,4875.0,하락  245,4960.0,5050.0,4865.0,190632.0,DYP,092780
2020-06-30,4930.0,상승  55,4900.0,5190.0,4900.0,376357.0,DYP,092780
2020-07-01,4870.0,하락  60,4935.0,5050.0,4870.0,140965.0,DYP,092780
2020-07-02,4945.0,상승  75,4860.0,4950.0,4860.0,120843.0,DYP,092780
2020-07-03,4915.0,하락  30,4925.0,4985.0,4860.0,101499.0,DYP,092780
