날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1285.0,하락  200,1355.0,1390.0,1195.0,1290410.0,GS글로벌,001250
2020-03-16,1285.0,보합0,1305.0,1370.0,1285.0,715495.0,GS글로벌,001250
2020-03-17,1235.0,하락  50,1175.0,1310.0,1175.0,656262.0,GS글로벌,001250
2020-03-18,1130.0,하락  105,1250.0,1275.0,1130.0,783997.0,GS글로벌,001250
2020-03-19,993.0,하락  137,1190.0,1190.0,987.0,1607844.0,GS글로벌,001250
2020-03-20,1060.0,상승  67,993.0,1070.0,993.0,675062.0,GS글로벌,001250
2020-03-23,993.0,하락  67,998.0,1020.0,989.0,826461.0,GS글로벌,001250
2020-03-24,1030.0,상승  37,1005.0,1030.0,997.0,931846.0,GS글로벌,001250
2020-03-25,1110.0,상승  80,1075.0,1120.0,1065.0,935744.0,GS글로벌,001250
2020-03-26,1145.0,상승  35,1135.0,1185.0,1095.0,831452.0,GS글로벌,001250
2020-03-27,1175.0,상승  30,1190.0,1220.0,1135.0,756603.0,GS글로벌,001250
2020-03-30,1190.0,상승  15,1125.0,1215.0,1120.0,512838.0,GS글로벌,001250
2020-03-31,1250.0,상승  60,1220.0,1285.0,1200.0,742062.0,GS글로벌,001250
2020-04-01,1260.0,상승  10,1260.0,1310.0,1250.0,587698.0,GS글로벌,001250
2020-04-02,1410.0,상승  150,1270.0,1420.0,1255.0,932774.0,GS글로벌,001250
2020-04-03,1415.0,상승  5,1410.0,1480.0,1360.0,708684.0,GS글로벌,001250
2020-04-06,1425.0,상승  10,1435.0,1435.0,1305.0,557069.0,GS글로벌,001250
2020-04-07,1455.0,상승  30,1470.0,1480.0,1410.0,584895.0,GS글로벌,001250
2020-04-08,1480.0,상승  25,1450.0,1510.0,1420.0,354713.0,GS글로벌,001250
2020-04-09,1520.0,상승  40,1495.0,1525.0,1480.0,371593.0,GS글로벌,001250
2020-04-10,1540.0,상승  20,1520.0,1560.0,1455.0,395663.0,GS글로벌,001250
2020-04-13,1460.0,하락  80,1540.0,1540.0,1460.0,372204.0,GS글로벌,001250
2020-04-14,1535.0,상승  75,1470.0,1570.0,1465.0,385829.0,GS글로벌,001250
2020-04-16,1545.0,상승  10,1505.0,1580.0,1490.0,250367.0,GS글로벌,001250
2020-04-17,1605.0,상승  60,1550.0,1645.0,1550.0,576479.0,GS글로벌,001250
2020-04-20,1640.0,상승  35,1620.0,1685.0,1610.0,327378.0,GS글로벌,001250
2020-04-21,1585.0,하락  55,1630.0,1655.0,1500.0,710122.0,GS글로벌,001250
2020-04-22,1585.0,보합0,1545.0,1585.0,1485.0,428077.0,GS글로벌,001250
