날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,8900.0,하락  110,8950.0,9090.0,8850.0,9267.0,HDC랩스,039570
2025-05-16,8790.0,하락  110,9000.0,9000.0,8720.0,12289.0,HDC랩스,039570
2025-05-19,8760.0,하락  30,8940.0,8940.0,8740.0,3293.0,HDC랩스,039570
2025-05-20,8700.0,하락  60,8760.0,8850.0,8670.0,9394.0,HDC랩스,039570
2025-05-21,8820.0,상승  120,8700.0,8870.0,8640.0,11473.0,HDC랩스,039570
2025-05-22,8880.0,상승  60,8820.0,9000.0,8810.0,7803.0,HDC랩스,039570
2025-05-23,9170.0,상승  290,8970.0,9270.0,8970.0,39977.0,HDC랩스,039570
2025-05-26,8900.0,하락  270,9260.0,9260.0,8900.0,16024.0,HDC랩스,039570
2025-05-27,9130.0,상승  230,8990.0,9150.0,8400.0,22872.0,HDC랩스,039570
2025-05-28,9160.0,상승  30,9250.0,9250.0,9110.0,4903.0,HDC랩스,039570
