날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,25300.0,하락  200,25250.0,25500.0,24850.0,82991.0,HDC현대산업개발,294870
2025-05-16,24850.0,하락  450,25300.0,26200.0,22700.0,710830.0,HDC현대산업개발,294870
2025-05-19,24450.0,하락  400,24650.0,25100.0,24050.0,192132.0,HDC현대산업개발,294870
2025-05-20,24400.0,하락  50,24600.0,24700.0,23900.0,207772.0,HDC현대산업개발,294870
2025-05-21,24800.0,상승  400,24200.0,25500.0,24200.0,180978.0,HDC현대산업개발,294870
2025-05-22,24600.0,하락  200,24550.0,24900.0,24150.0,130057.0,HDC현대산업개발,294870
2025-05-23,25650.0,"상승  1,050",24650.0,26200.0,24600.0,367572.0,HDC현대산업개발,294870
2025-05-26,23550.0,"하락  2,100",25750.0,25800.0,23250.0,570339.0,HDC현대산업개발,294870
2025-05-27,23800.0,상승  250,23950.0,24400.0,23350.0,225939.0,HDC현대산업개발,294870
2025-05-28,23750.0,하락  50,24350.0,24500.0,23300.0,303462.0,HDC현대산업개발,294870
