날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,289000.0,"상승  1,000",284500.0,290000.0,280500.0,158439.0,HD한국조선해양,009540
2025-05-16,287000.0,"하락  2,000",289000.0,291500.0,285500.0,136193.0,HD한국조선해양,009540
2025-05-19,288000.0,"상승  1,000",284000.0,292000.0,283000.0,116261.0,HD한국조선해양,009540
2025-05-20,279000.0,"하락  9,000",290000.0,290500.0,277500.0,218359.0,HD한국조선해양,009540
2025-05-21,291500.0,"상승  12,500",282500.0,295000.0,282000.0,240404.0,HD한국조선해양,009540
2025-05-22,288000.0,"하락  3,500",288000.0,291500.0,285500.0,129869.0,HD한국조선해양,009540
2025-05-23,288500.0,상승  500,289000.0,290000.0,282500.0,131668.0,HD한국조선해양,009540
2025-05-26,296500.0,"상승  8,000",286500.0,297000.0,284000.0,166053.0,HD한국조선해양,009540
2025-05-27,296000.0,하락  500,297000.0,299250.0,293000.0,137494.0,HD한국조선해양,009540
2025-05-28,293500.0,"하락  2,500",298000.0,303000.0,293000.0,188193.0,HD한국조선해양,009540
