날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,215000.0,"하락  15,000",202500.0,218500.0,195500.0,160753.0,HD현대,267250
2020-03-16,216500.0,"상승  1,500",216000.0,223500.0,207000.0,60687.0,HD현대,267250
2020-03-17,214500.0,"하락  2,000",199500.0,216000.0,199500.0,70456.0,HD현대,267250
2020-03-18,203000.0,"하락  11,500",210500.0,212000.0,203000.0,75783.0,HD현대,267250
2020-03-19,174500.0,"하락  28,500",205000.0,206000.0,165000.0,133794.0,HD현대,267250
2020-03-20,183000.0,"상승  8,500",177500.0,183000.0,166000.0,118677.0,HD현대,267250
2020-03-23,160500.0,"하락  22,500",165000.0,171000.0,160500.0,75290.0,HD현대,267250
2020-03-24,175500.0,"상승  15,000",164000.0,176000.0,160500.0,82377.0,HD현대,267250
2020-03-25,202000.0,"상승  26,500",184000.0,204000.0,180000.0,94644.0,HD현대,267250
2020-03-26,197500.0,"하락  4,500",209000.0,222000.0,197500.0,125084.0,HD현대,267250
2020-03-27,199500.0,"상승  2,000",208000.0,208500.0,193500.0,83446.0,HD현대,267250
2020-03-30,194000.0,"하락  5,500",192000.0,196500.0,186000.0,89780.0,HD현대,267250
2020-03-31,197500.0,"상승  3,500",194000.0,199500.0,194000.0,89567.0,HD현대,267250
2020-04-01,194500.0,"하락  3,000",193500.0,203000.0,193000.0,54676.0,HD현대,267250
2020-04-02,207500.0,"상승  13,000",195000.0,209000.0,192000.0,67324.0,HD현대,267250
2020-04-03,212000.0,"상승  4,500",213500.0,217500.0,209000.0,76368.0,HD현대,267250
2020-04-06,229500.0,"상승  17,500",218000.0,232000.0,216000.0,85548.0,HD현대,267250
2020-04-07,228000.0,"하락  1,500",231000.0,237500.0,220500.0,60860.0,HD현대,267250
2020-04-08,225000.0,"하락  3,000",222000.0,230000.0,221500.0,50272.0,HD현대,267250
2020-04-09,232000.0,"상승  7,000",231000.0,232000.0,224000.0,53382.0,HD현대,267250
2020-04-10,230500.0,"하락  1,500",228500.0,232500.0,224500.0,57707.0,HD현대,267250
2020-04-13,227000.0,"하락  3,500",230500.0,230500.0,221000.0,38963.0,HD현대,267250
2020-04-14,231500.0,"상승  4,500",227500.0,232500.0,226000.0,36492.0,HD현대,267250
2020-04-16,228500.0,"하락  3,000",226000.0,232500.0,225500.0,46027.0,HD현대,267250
2020-04-17,233500.0,"상승  5,000",228500.0,235000.0,228500.0,40252.0,HD현대,267250
2020-04-20,232000.0,"하락  1,500",231000.0,235000.0,230000.0,38739.0,HD현대,267250
2020-04-21,224500.0,"하락  7,500",229500.0,231500.0,221500.0,78261.0,HD현대,267250
2020-04-22,221000.0,"하락  3,500",221000.0,222500.0,216000.0,63201.0,HD현대,267250
2020-04-23,229500.0,"상승  8,500",222000.0,230000.0,222000.0,42211.0,HD현대,267250
2020-04-24,229000.0,하락  500,227000.0,236000.0,227000.0,40858.0,HD현대,267250
2020-04-27,232500.0,"상승  3,500",228000.0,238500.0,226500.0,36273.0,HD현대,267250
2020-04-28,231000.0,"하락  1,500",230000.0,234000.0,228000.0,53999.0,HD현대,267250
2020-04-29,243000.0,"상승  12,000",232500.0,253500.0,231000.0,94372.0,HD현대,267250
2020-05-04,235000.0,"하락  8,000",234500.0,239500.0,231000.0,50060.0,HD현대,267250
2020-05-06,247500.0,"상승  12,500",246000.0,253500.0,240500.0,76150.0,HD현대,267250
2020-05-07,247000.0,하락  500,245000.0,253000.0,244500.0,34932.0,HD현대,267250
2020-05-08,250000.0,"상승  3,000",254000.0,254500.0,249000.0,34062.0,HD현대,267250
2020-05-11,245500.0,"하락  4,500",249500.0,253500.0,245500.0,27315.0,HD현대,267250
2020-05-12,238500.0,"하락  7,000",245500.0,245500.0,237500.0,50515.0,HD현대,267250
2020-05-13,240000.0,"상승  1,500",236500.0,240000.0,234000.0,36107.0,HD현대,267250
2020-05-14,236500.0,"하락  3,500",241500.0,242000.0,234000.0,38344.0,HD현대,267250
2020-05-15,238000.0,"상승  1,500",241500.0,241500.0,236000.0,31213.0,HD현대,267250
2020-05-18,237000.0,"하락  1,000",241000.0,241500.0,236500.0,21112.0,HD현대,267250
2020-05-19,245000.0,"상승  8,000",242000.0,252500.0,242000.0,66188.0,HD현대,267250
2020-05-20,243500.0,"하락  1,500",245000.0,247000.0,243000.0,35027.0,HD현대,267250
2020-05-21,246500.0,"상승  3,000",245000.0,248500.0,242500.0,31819.0,HD현대,267250
2020-05-22,244500.0,"하락  2,000",250000.0,250000.0,243500.0,32236.0,HD현대,267250
2020-05-25,251500.0,"상승  7,000",249000.0,253500.0,247500.0,47241.0,HD현대,267250
2020-05-26,259500.0,"상승  8,000",254500.0,259500.0,252000.0,31132.0,HD현대,267250
2020-05-27,269500.0,"상승  10,000",258000.0,271000.0,258000.0,69312.0,HD현대,267250
2020-05-28,263500.0,"하락  6,000",270000.0,273500.0,262500.0,58459.0,HD현대,267250
2020-05-29,270500.0,"상승  7,000",264000.0,271000.0,261500.0,55720.0,HD현대,267250
2020-06-01,281000.0,"상승  10,500",271000.0,282000.0,267000.0,40406.0,HD현대,267250
2020-06-02,284000.0,"상승  3,000",311500.0,327500.0,282500.0,286789.0,HD현대,267250
2020-06-03,293500.0,"상승  9,500",290000.0,293500.0,287000.0,86264.0,HD현대,267250
2020-06-04,286000.0,"하락  7,500",297000.0,297000.0,284500.0,59575.0,HD현대,267250
2020-06-05,281000.0,"하락  5,000",285500.0,285500.0,278000.0,46530.0,HD현대,267250
2020-06-08,286000.0,"상승  5,000",289000.0,291000.0,283500.0,41385.0,HD현대,267250
2020-06-09,287000.0,"상승  1,000",286000.0,290500.0,283000.0,45049.0,HD현대,267250
2020-06-10,288500.0,"상승  1,500",287000.0,288500.0,285500.0,30163.0,HD현대,267250
2020-06-11,284000.0,"하락  4,500",285500.0,285500.0,278500.0,55936.0,HD현대,267250
2020-06-12,268000.0,"하락  16,000",274000.0,274000.0,265500.0,59806.0,HD현대,267250
2020-06-15,247500.0,"하락  20,500",262000.0,263500.0,247500.0,69515.0,HD현대,267250
2020-06-16,262000.0,"상승  14,500",251000.0,264500.0,250500.0,48173.0,HD현대,267250
2020-06-17,258000.0,"하락  4,000",258000.0,265500.0,255000.0,50826.0,HD현대,267250
2020-06-18,256000.0,"하락  2,000",254500.0,262000.0,254000.0,39465.0,HD현대,267250
