날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,15250.0,"하락  2,000",15250.0,16000.0,13750.0,671415.0,HD현대건설기계,267270
2020-03-16,14350.0,하락  900,15400.0,15950.0,14350.0,356709.0,HD현대건설기계,267270
2020-03-17,14500.0,상승  150,13150.0,14700.0,13100.0,293589.0,HD현대건설기계,267270
2020-03-18,13100.0,"하락  1,400",14600.0,15300.0,13100.0,259969.0,HD현대건설기계,267270
2020-03-19,10900.0,"하락  2,200",13350.0,13550.0,10750.0,441064.0,HD현대건설기계,267270
2020-03-20,12350.0,"상승  1,450",11150.0,12350.0,10650.0,537986.0,HD현대건설기계,267270
2020-03-23,11250.0,"하락  1,100",11250.0,11750.0,10900.0,229286.0,HD현대건설기계,267270
2020-03-24,12250.0,"상승  1,000",11650.0,12300.0,11450.0,247108.0,HD현대건설기계,267270
2020-03-25,13700.0,"상승  1,450",12900.0,13900.0,12800.0,338336.0,HD현대건설기계,267270
2020-03-26,14250.0,상승  550,14100.0,15000.0,13550.0,436215.0,HD현대건설기계,267270
2020-03-27,14700.0,상승  450,15050.0,15200.0,14050.0,266049.0,HD현대건설기계,267270
2020-03-30,14500.0,하락  200,14100.0,14800.0,13850.0,154785.0,HD현대건설기계,267270
2020-03-31,15000.0,상승  500,14950.0,16050.0,14650.0,332390.0,HD현대건설기계,267270
2020-04-01,15250.0,상승  250,14950.0,17350.0,14600.0,588306.0,HD현대건설기계,267270
2020-04-02,15900.0,상승  650,15000.0,15950.0,14600.0,253638.0,HD현대건설기계,267270
2020-04-03,16300.0,상승  400,16150.0,16900.0,15850.0,307796.0,HD현대건설기계,267270
2020-04-06,17250.0,상승  950,16650.0,17300.0,16500.0,249743.0,HD현대건설기계,267270
2020-04-07,17400.0,상승  150,18050.0,18300.0,17150.0,315065.0,HD현대건설기계,267270
2020-04-08,17050.0,하락  350,16850.0,17300.0,16450.0,270116.0,HD현대건설기계,267270
2020-04-09,16750.0,하락  300,17300.0,17400.0,16450.0,301002.0,HD현대건설기계,267270
2020-04-10,17000.0,상승  250,16750.0,17150.0,16300.0,311578.0,HD현대건설기계,267270
2020-04-13,16850.0,하락  150,16900.0,17300.0,16800.0,210447.0,HD현대건설기계,267270
2020-04-14,17100.0,상승  250,17150.0,17350.0,16750.0,223521.0,HD현대건설기계,267270
2020-04-16,17000.0,하락  100,16950.0,17000.0,16000.0,140450.0,HD현대건설기계,267270
2020-04-17,17700.0,상승  700,17300.0,17950.0,17200.0,287547.0,HD현대건설기계,267270
2020-04-20,18300.0,상승  600,18000.0,18700.0,17600.0,291424.0,HD현대건설기계,267270
2020-04-21,17800.0,하락  500,18250.0,18400.0,17150.0,264564.0,HD현대건설기계,267270
2020-04-22,18150.0,상승  350,17400.0,18250.0,17000.0,182843.0,HD현대건설기계,267270
2020-04-23,18100.0,하락  50,18300.0,18500.0,18000.0,132793.0,HD현대건설기계,267270
2020-04-24,17500.0,하락  600,17900.0,18000.0,17450.0,86029.0,HD현대건설기계,267270
2020-04-27,17900.0,상승  400,17550.0,18000.0,17550.0,94253.0,HD현대건설기계,267270
2020-04-28,17550.0,하락  350,18100.0,18150.0,17500.0,147165.0,HD현대건설기계,267270
2020-04-29,18450.0,상승  900,17600.0,18500.0,17500.0,233936.0,HD현대건설기계,267270
2020-05-04,17700.0,하락  750,18150.0,18200.0,17650.0,161784.0,HD현대건설기계,267270
2020-05-06,17900.0,상승  200,18050.0,18150.0,17650.0,146121.0,HD현대건설기계,267270
2020-05-07,17950.0,상승  50,17750.0,18200.0,17750.0,112333.0,HD현대건설기계,267270
2020-05-08,18050.0,상승  100,18100.0,18300.0,17850.0,121538.0,HD현대건설기계,267270
2020-05-11,18100.0,상승  50,18050.0,18650.0,17600.0,227408.0,HD현대건설기계,267270
2020-05-12,17850.0,하락  250,18150.0,18250.0,17600.0,143070.0,HD현대건설기계,267270
2020-05-13,17850.0,보합0,17500.0,17900.0,17400.0,86908.0,HD현대건설기계,267270
