날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3140.0,하락  300,3010.0,3240.0,2910.0,6505944.0,HD현대인프라코어,042670
2020-03-16,3055.0,하락  85,3260.0,3290.0,3055.0,2716293.0,HD현대인프라코어,042670
2020-03-17,3080.0,상승  25,2810.0,3165.0,2810.0,3182152.0,HD현대인프라코어,042670
2020-03-18,2910.0,하락  170,3205.0,3205.0,2910.0,2282900.0,HD현대인프라코어,042670
2020-03-19,2560.0,하락  350,2920.0,2980.0,2500.0,3725438.0,HD현대인프라코어,042670
2020-03-20,2790.0,상승  230,2575.0,2795.0,2540.0,3660865.0,HD현대인프라코어,042670
2020-03-23,2535.0,하락  255,2580.0,2680.0,2510.0,3332863.0,HD현대인프라코어,042670
2020-03-24,2750.0,상승  215,2610.0,2750.0,2565.0,2703985.0,HD현대인프라코어,042670
2020-03-25,2930.0,상승  180,2880.0,3055.0,2805.0,3558988.0,HD현대인프라코어,042670
2020-03-26,3030.0,상승  100,2935.0,3130.0,2870.0,3851335.0,HD현대인프라코어,042670
2020-03-27,3090.0,상승  60,3410.0,3425.0,2945.0,5552203.0,HD현대인프라코어,042670
2020-03-30,3060.0,하락  30,2985.0,3090.0,2880.0,1893878.0,HD현대인프라코어,042670
2020-03-31,3145.0,상승  85,3125.0,3315.0,3070.0,3268945.0,HD현대인프라코어,042670
2020-04-01,3570.0,상승  425,3175.0,4050.0,3155.0,15531184.0,HD현대인프라코어,042670
2020-04-02,3645.0,상승  75,3600.0,3780.0,3370.0,5480475.0,HD현대인프라코어,042670
2020-04-03,4005.0,상승  360,3715.0,4395.0,3710.0,11779605.0,HD현대인프라코어,042670
2020-04-06,4285.0,상승  280,4190.0,4470.0,4120.0,8411291.0,HD현대인프라코어,042670
2020-04-07,4450.0,상승  165,4520.0,4730.0,4400.0,7436794.0,HD현대인프라코어,042670
2020-04-08,4365.0,하락  85,4450.0,4450.0,4215.0,4080756.0,HD현대인프라코어,042670
2020-04-09,4310.0,하락  55,4435.0,4455.0,4100.0,5439635.0,HD현대인프라코어,042670
2020-04-10,4370.0,상승  60,4340.0,4770.0,4115.0,11906150.0,HD현대인프라코어,042670
2020-04-13,4500.0,상승  130,4450.0,4740.0,4350.0,8934689.0,HD현대인프라코어,042670
2020-04-14,4560.0,상승  60,4680.0,4830.0,4510.0,13558131.0,HD현대인프라코어,042670
2020-04-16,4345.0,하락  215,4420.0,4495.0,4320.0,4476501.0,HD현대인프라코어,042670
2020-04-17,4225.0,하락  120,4345.0,4365.0,4220.0,5377668.0,HD현대인프라코어,042670
2020-04-20,4525.0,상승  300,4255.0,4640.0,4245.0,9560181.0,HD현대인프라코어,042670
2020-04-21,4370.0,하락  155,4500.0,4525.0,4210.0,4565352.0,HD현대인프라코어,042670
2020-04-22,4265.0,하락  105,4370.0,4450.0,4210.0,3074849.0,HD현대인프라코어,042670
2020-04-23,4260.0,하락  5,4315.0,4335.0,4250.0,1821922.0,HD현대인프라코어,042670
2020-04-24,4110.0,하락  150,4260.0,4310.0,4110.0,2563845.0,HD현대인프라코어,042670
2020-04-27,4290.0,상승  180,4130.0,4305.0,4130.0,1753934.0,HD현대인프라코어,042670
2020-04-28,4250.0,하락  40,4455.0,4465.0,4240.0,2660626.0,HD현대인프라코어,042670
2020-04-29,4295.0,상승  45,4250.0,4335.0,4240.0,1929462.0,HD현대인프라코어,042670
2020-05-04,4370.0,상승  75,4355.0,4510.0,4330.0,3852367.0,HD현대인프라코어,042670
2020-05-06,4485.0,상승  115,4530.0,4565.0,4460.0,3060038.0,HD현대인프라코어,042670
2020-05-07,4490.0,상승  5,4500.0,4510.0,4415.0,1841593.0,HD현대인프라코어,042670
2020-05-08,4485.0,하락  5,4490.0,4530.0,4450.0,1704254.0,HD현대인프라코어,042670
2020-05-11,4885.0,상승  400,4505.0,4945.0,4470.0,13258746.0,HD현대인프라코어,042670
2020-05-12,4700.0,하락  185,5020.0,5080.0,4700.0,6957213.0,HD현대인프라코어,042670
2020-05-13,4740.0,상승  40,4665.0,4850.0,4560.0,3636602.0,HD현대인프라코어,042670
