날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3970.0,하락  230,4000.0,4015.0,3610.0,194791.0,HJ중공업,097230
2020-03-16,4015.0,상승  45,3985.0,4150.0,3975.0,90583.0,HJ중공업,097230
2020-03-17,4055.0,상승  40,3955.0,4080.0,3710.0,152670.0,HJ중공업,097230
2020-03-18,4000.0,하락  55,4055.0,4245.0,3930.0,119774.0,HJ중공업,097230
2020-03-19,3890.0,하락  110,3935.0,4070.0,3700.0,196447.0,HJ중공업,097230
2020-03-20,3970.0,상승  80,3980.0,4170.0,3870.0,189238.0,HJ중공업,097230
2020-03-23,3610.0,하락  360,3950.0,3950.0,3610.0,97436.0,HJ중공업,097230
2020-03-24,3660.0,상승  50,3700.0,3700.0,3590.0,215389.0,HJ중공업,097230
2020-03-25,3820.0,상승  160,3685.0,3855.0,3670.0,220872.0,HJ중공업,097230
2020-03-26,3995.0,상승  175,3890.0,4080.0,3800.0,159583.0,HJ중공업,097230
2020-03-27,4080.0,상승  85,4085.0,4270.0,3940.0,210319.0,HJ중공업,097230
2020-03-30,4035.0,하락  45,4075.0,4075.0,3900.0,111183.0,HJ중공업,097230
2020-03-31,4165.0,상승  130,4130.0,4225.0,4000.0,108433.0,HJ중공업,097230
2020-04-01,4390.0,상승  225,4250.0,4645.0,4110.0,297189.0,HJ중공업,097230
2020-04-02,4365.0,하락  25,4500.0,4650.0,4150.0,171737.0,HJ중공업,097230
2020-04-03,4400.0,상승  35,4330.0,4420.0,4280.0,88185.0,HJ중공업,097230
2020-04-06,4435.0,상승  35,4405.0,4480.0,4355.0,86153.0,HJ중공업,097230
2020-04-07,4555.0,상승  120,4500.0,4625.0,4455.0,155271.0,HJ중공업,097230
2020-04-08,4590.0,상승  35,4555.0,4615.0,4460.0,91739.0,HJ중공업,097230
2020-04-09,4575.0,하락  15,4695.0,4695.0,4550.0,70247.0,HJ중공업,097230
2020-04-10,4580.0,상승  5,4575.0,4630.0,4425.0,130882.0,HJ중공업,097230
2020-04-13,4425.0,하락  155,4530.0,4600.0,4200.0,82460.0,HJ중공업,097230
