날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,2110.0,보합0,2110.0,2200.0,2010.0,50973.0,HL D&I,014790
2020-03-17,2105.0,하락  5,2000.0,2170.0,1960.0,115702.0,HL D&I,014790
2020-03-18,2025.0,하락  80,2120.0,2200.0,2000.0,97998.0,HL D&I,014790
2020-03-19,1785.0,하락  240,2000.0,2045.0,1780.0,261014.0,HL D&I,014790
2020-03-20,1970.0,상승  185,1795.0,1980.0,1795.0,124332.0,HL D&I,014790
2020-03-23,1870.0,하락  100,1910.0,1910.0,1790.0,48771.0,HL D&I,014790
2020-03-24,1940.0,상승  70,1870.0,1990.0,1870.0,59225.0,HL D&I,014790
2020-03-25,2030.0,상승  90,1970.0,2085.0,1970.0,79195.0,HL D&I,014790
2020-03-26,2100.0,상승  70,2070.0,2150.0,2030.0,98028.0,HL D&I,014790
2020-03-27,2095.0,하락  5,2145.0,2195.0,1990.0,117180.0,HL D&I,014790
2020-03-30,2120.0,상승  25,2025.0,2140.0,2025.0,42519.0,HL D&I,014790
2020-03-31,2270.0,상승  150,2130.0,2405.0,2130.0,204873.0,HL D&I,014790
2020-04-01,2125.0,하락  145,2275.0,2340.0,2100.0,122552.0,HL D&I,014790
2020-04-02,2250.0,상승  125,2125.0,2250.0,2090.0,164633.0,HL D&I,014790
2020-04-03,2330.0,상승  80,2285.0,2345.0,2250.0,72580.0,HL D&I,014790
2020-04-06,2335.0,상승  5,2330.0,2385.0,2200.0,112004.0,HL D&I,014790
2020-04-07,2365.0,상승  30,2350.0,2420.0,2270.0,105165.0,HL D&I,014790
2020-04-08,2410.0,상승  45,2360.0,2430.0,2320.0,84374.0,HL D&I,014790
2020-04-09,2420.0,상승  10,2410.0,2455.0,2350.0,87810.0,HL D&I,014790
2020-04-10,2415.0,하락  5,2440.0,2445.0,2355.0,40106.0,HL D&I,014790
2020-04-13,2355.0,하락  60,2415.0,2415.0,2325.0,87724.0,HL D&I,014790
2020-04-14,2430.0,상승  75,2355.0,2465.0,2350.0,103031.0,HL D&I,014790
2020-04-16,2570.0,상승  140,2385.0,2670.0,2340.0,154529.0,HL D&I,014790
2020-04-17,2665.0,상승  95,2625.0,2710.0,2615.0,138041.0,HL D&I,014790
2020-04-20,2830.0,상승  165,2690.0,2870.0,2655.0,270088.0,HL D&I,014790
2020-04-21,3220.0,상승  390,2885.0,3660.0,2840.0,6853869.0,HL D&I,014790
2020-04-22,3330.0,상승  110,3185.0,3380.0,2895.0,1384154.0,HL D&I,014790
2020-04-23,3175.0,하락  155,3180.0,3445.0,3050.0,798815.0,HL D&I,014790
2020-04-24,3040.0,하락  135,3155.0,3220.0,3020.0,281889.0,HL D&I,014790
2020-04-27,3110.0,상승  70,3060.0,3275.0,3060.0,284034.0,HL D&I,014790
2020-04-28,3110.0,보합0,3200.0,3270.0,3045.0,320720.0,HL D&I,014790
2020-04-29,3145.0,상승  35,3110.0,3200.0,3095.0,201735.0,HL D&I,014790
2020-05-04,3120.0,하락  25,3175.0,3195.0,3085.0,135860.0,HL D&I,014790
2020-05-06,3215.0,상승  95,3140.0,3215.0,3110.0,171849.0,HL D&I,014790
2020-05-07,3265.0,상승  50,3225.0,3275.0,3190.0,205788.0,HL D&I,014790
2020-05-08,3260.0,하락  5,3265.0,3290.0,3235.0,104699.0,HL D&I,014790
2020-05-11,3150.0,하락  110,3240.0,3260.0,3140.0,173375.0,HL D&I,014790
2020-05-12,3105.0,하락  45,3150.0,3200.0,3050.0,111967.0,HL D&I,014790
2020-05-13,3090.0,하락  15,3095.0,3100.0,3025.0,58874.0,HL D&I,014790
2020-05-14,3025.0,하락  65,3075.0,3075.0,3000.0,99584.0,HL D&I,014790
2020-05-15,3020.0,하락  5,3035.0,3055.0,3000.0,79989.0,HL D&I,014790
2020-05-18,3135.0,상승  115,3150.0,3150.0,3030.0,142752.0,HL D&I,014790
2020-05-19,3210.0,상승  75,3145.0,3215.0,3115.0,151359.0,HL D&I,014790
2020-05-20,3220.0,상승  10,3210.0,3225.0,3170.0,94294.0,HL D&I,014790
2020-05-21,3180.0,하락  40,3250.0,3265.0,3135.0,127005.0,HL D&I,014790
2020-05-22,3115.0,하락  65,3235.0,3235.0,3110.0,114193.0,HL D&I,014790
2020-05-25,3095.0,하락  20,3120.0,3150.0,3065.0,77956.0,HL D&I,014790
2020-05-26,3180.0,상승  85,3105.0,3215.0,3085.0,189110.0,HL D&I,014790
2020-05-27,3205.0,상승  25,3210.0,3215.0,3155.0,124965.0,HL D&I,014790
2020-05-28,3095.0,하락  110,3215.0,3215.0,3065.0,150155.0,HL D&I,014790
2020-05-29,3110.0,상승  15,3115.0,3200.0,3050.0,103150.0,HL D&I,014790
2020-06-01,3130.0,상승  20,3160.0,3160.0,3110.0,54881.0,HL D&I,014790
2020-06-02,3195.0,상승  65,3130.0,3210.0,3115.0,110003.0,HL D&I,014790
2020-06-03,3200.0,상승  5,3220.0,3500.0,3200.0,1206683.0,HL D&I,014790
2020-06-04,3185.0,하락  15,3205.0,3250.0,3165.0,170795.0,HL D&I,014790
2020-06-05,3230.0,상승  45,3215.0,3240.0,3160.0,83631.0,HL D&I,014790
2020-06-08,3180.0,하락  50,3245.0,3245.0,3170.0,96282.0,HL D&I,014790
2020-06-09,3160.0,하락  20,3160.0,3215.0,3120.0,179607.0,HL D&I,014790
2020-06-10,3165.0,상승  5,3185.0,3185.0,3095.0,146621.0,HL D&I,014790
2020-06-11,3075.0,하락  90,3165.0,3170.0,3060.0,187294.0,HL D&I,014790
2020-06-12,3045.0,하락  30,2980.0,3075.0,2715.0,382112.0,HL D&I,014790
2020-06-15,2810.0,하락  235,3045.0,3045.0,2805.0,188030.0,HL D&I,014790
2020-06-16,2965.0,상승  155,2880.0,2980.0,2830.0,169244.0,HL D&I,014790
2020-06-17,2845.0,하락  120,2965.0,2965.0,2840.0,153314.0,HL D&I,014790
2020-06-18,2885.0,상승  40,2845.0,2915.0,2825.0,104359.0,HL D&I,014790
2020-06-19,2965.0,상승  80,2885.0,3000.0,2860.0,167137.0,HL D&I,014790
2020-06-22,2960.0,하락  5,3025.0,3025.0,2930.0,109453.0,HL D&I,014790
2020-06-23,2920.0,하락  40,2980.0,2980.0,2890.0,115706.0,HL D&I,014790
2020-06-24,2920.0,보합0,3010.0,3020.0,2900.0,148799.0,HL D&I,014790
2020-06-25,2820.0,하락  100,2855.0,2890.0,2815.0,104694.0,HL D&I,014790
2020-06-26,2825.0,상승  5,2880.0,2895.0,2810.0,133807.0,HL D&I,014790
2020-06-29,2825.0,보합0,2800.0,2825.0,2715.0,125958.0,HL D&I,014790
2020-06-30,2830.0,상승  5,2825.0,2870.0,2790.0,50283.0,HL D&I,014790
2020-07-01,2840.0,상승  10,2870.0,2885.0,2840.0,23665.0,HL D&I,014790
2020-07-02,2900.0,상승  60,2820.0,2915.0,2820.0,47612.0,HL D&I,014790
2020-07-03,2965.0,상승  65,2940.0,2965.0,2860.0,67850.0,HL D&I,014790
2020-07-06,2945.0,하락  20,2965.0,2985.0,2930.0,91934.0,HL D&I,014790
2020-07-07,3050.0,상승  105,2920.0,3050.0,2920.0,162599.0,HL D&I,014790
2020-07-08,3030.0,하락  20,3050.0,3060.0,3005.0,69252.0,HL D&I,014790
2020-07-09,2980.0,하락  50,3030.0,3055.0,2970.0,55330.0,HL D&I,014790
2020-07-10,2950.0,하락  30,2995.0,3000.0,2915.0,49317.0,HL D&I,014790
2020-07-13,2960.0,상승  10,2950.0,2965.0,2910.0,60069.0,HL D&I,014790
2020-07-14,3000.0,상승  40,2960.0,3020.0,2940.0,64139.0,HL D&I,014790
2020-07-15,3000.0,보합0,3080.0,3080.0,2975.0,66270.0,HL D&I,014790
2020-07-16,2980.0,하락  20,2985.0,3045.0,2930.0,56818.0,HL D&I,014790
2020-07-17,3005.0,상승  25,2980.0,3025.0,2965.0,53759.0,HL D&I,014790
2020-07-20,3000.0,하락  5,3005.0,3015.0,2965.0,32444.0,HL D&I,014790
2020-07-21,3000.0,보합0,3000.0,3015.0,2970.0,80983.0,HL D&I,014790
2020-07-22,3080.0,상승  80,3000.0,3085.0,2980.0,210750.0,HL D&I,014790
2020-07-23,3055.0,하락  25,3095.0,3095.0,3045.0,89085.0,HL D&I,014790
