날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,36450.0,하락  800,36800.0,36850.0,36400.0,152652.0,HL만도,204320
2025-05-16,36100.0,하락  350,36700.0,36700.0,35850.0,167163.0,HL만도,204320
2025-05-19,35100.0,"하락  1,000",35900.0,35950.0,34850.0,273658.0,HL만도,204320
2025-05-20,34250.0,하락  850,35350.0,35450.0,33950.0,230500.0,HL만도,204320
2025-05-21,34100.0,하락  150,34300.0,34400.0,34000.0,136523.0,HL만도,204320
2025-05-22,33250.0,하락  850,34000.0,34100.0,33050.0,249981.0,HL만도,204320
2025-05-23,33250.0,보합0,33300.0,33700.0,33150.0,133148.0,HL만도,204320
2025-05-26,33500.0,상승  250,32850.0,33500.0,32850.0,165887.0,HL만도,204320
2025-05-27,33200.0,하락  300,33200.0,33350.0,32900.0,128634.0,HL만도,204320
2025-05-28,33950.0,상승  750,33300.0,34450.0,33100.0,139545.0,HL만도,204320
