날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3060.0,하락  215,2995.0,3120.0,2905.0,3964328.0,HMM,011200
2020-03-16,2990.0,하락  70,3145.0,3210.0,2975.0,1815097.0,HMM,011200
2020-03-17,3000.0,상승  10,2805.0,3030.0,2805.0,1650696.0,HMM,011200
2020-03-18,2825.0,하락  175,3040.0,3095.0,2825.0,1617712.0,HMM,011200
2020-03-19,2325.0,하락  500,2825.0,2890.0,2250.0,4066380.0,HMM,011200
2020-03-20,2425.0,상승  100,2360.0,2500.0,2245.0,3836779.0,HMM,011200
2020-03-23,2190.0,하락  235,2255.0,2285.0,2120.0,2438506.0,HMM,011200
2020-03-24,2340.0,상승  150,2210.0,2360.0,2210.0,1740696.0,HMM,011200
2020-03-25,2600.0,상승  260,2500.0,2705.0,2480.0,2671935.0,HMM,011200
2020-03-26,2660.0,상승  60,2605.0,2770.0,2510.0,1772977.0,HMM,011200
2020-03-27,2665.0,상승  5,2840.0,2850.0,2620.0,1817584.0,HMM,011200
2020-03-30,2805.0,상승  140,2555.0,2820.0,2515.0,1631441.0,HMM,011200
2020-03-31,3100.0,상승  295,2885.0,3170.0,2825.0,3365384.0,HMM,011200
2020-04-01,3150.0,상승  50,3120.0,3340.0,3015.0,2783750.0,HMM,011200
2020-04-02,3270.0,상승  120,3070.0,3270.0,3000.0,2026781.0,HMM,011200
2020-04-03,3215.0,하락  55,3335.0,3335.0,3165.0,1679240.0,HMM,011200
2020-04-06,3240.0,상승  25,3230.0,3260.0,3180.0,1350717.0,HMM,011200
2020-04-07,3250.0,상승  10,3335.0,3340.0,3180.0,1474044.0,HMM,011200
2020-04-08,3260.0,상승  10,3230.0,3320.0,3190.0,1415468.0,HMM,011200
2020-04-09,3280.0,상승  20,3320.0,3325.0,3265.0,772143.0,HMM,011200
2020-04-10,3290.0,상승  10,3300.0,3345.0,3235.0,1351040.0,HMM,011200
2020-04-13,3460.0,상승  170,3295.0,3475.0,3265.0,2574276.0,HMM,011200
2020-04-14,3585.0,상승  125,3425.0,3595.0,3425.0,2766846.0,HMM,011200
2020-04-16,3705.0,상승  120,3605.0,3765.0,3525.0,3209617.0,HMM,011200
2020-04-17,3655.0,하락  50,3725.0,3985.0,3635.0,5135984.0,HMM,011200
2020-04-20,3750.0,상승  95,3720.0,3810.0,3655.0,2419972.0,HMM,011200
2020-04-21,3685.0,하락  65,3755.0,3830.0,3455.0,3768430.0,HMM,011200
2020-04-22,3650.0,하락  35,3600.0,3650.0,3530.0,1783288.0,HMM,011200
2020-04-23,3680.0,상승  30,3750.0,3780.0,3660.0,2102806.0,HMM,011200
2020-04-24,3710.0,상승  30,3880.0,3910.0,3585.0,5768258.0,HMM,011200
