날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,30900.0,상승  900,29050.0,31950.0,29050.0,4353.0,INVENI,015360
2020-03-17,29250.0,"하락  1,650",30000.0,30000.0,28800.0,3310.0,INVENI,015360
2020-03-18,28800.0,하락  450,29250.0,29350.0,28800.0,1854.0,INVENI,015360
2020-03-19,26500.0,"하락  2,300",28050.0,28550.0,26500.0,5265.0,INVENI,015360
2020-03-20,27150.0,상승  650,26150.0,27250.0,26150.0,2327.0,INVENI,015360
2020-03-23,26300.0,하락  850,26200.0,26400.0,26000.0,5710.0,INVENI,015360
2020-03-24,26500.0,상승  200,26200.0,26500.0,26200.0,1549.0,INVENI,015360
2020-03-25,27050.0,상승  550,27300.0,27300.0,26450.0,4347.0,INVENI,015360
2020-03-26,27500.0,상승  450,27100.0,28300.0,27100.0,6019.0,INVENI,015360
2020-03-27,28200.0,상승  700,28400.0,28400.0,27500.0,2605.0,INVENI,015360
2020-03-30,27850.0,하락  350,29000.0,29000.0,27150.0,1937.0,INVENI,015360
2020-03-31,29300.0,"상승  1,450",29350.0,29350.0,27850.0,846.0,INVENI,015360
2020-04-01,29500.0,상승  200,28700.0,29950.0,28700.0,2217.0,INVENI,015360
2020-04-02,29750.0,상승  250,28700.0,29900.0,28700.0,667.0,INVENI,015360
2020-04-03,30300.0,상승  550,29400.0,30350.0,29400.0,878.0,INVENI,015360
2020-04-06,31800.0,"상승  1,500",30700.0,32450.0,30600.0,1483.0,INVENI,015360
2020-04-07,32550.0,상승  750,32450.0,32550.0,32050.0,811.0,INVENI,015360
2020-04-08,32000.0,하락  550,33000.0,33000.0,31050.0,621.0,INVENI,015360
2020-04-09,31500.0,하락  500,31050.0,31600.0,31050.0,1824.0,INVENI,015360
2020-04-10,31400.0,하락  100,31500.0,31800.0,31300.0,2238.0,INVENI,015360
2020-04-13,31250.0,하락  150,31400.0,31500.0,31200.0,1356.0,INVENI,015360
2020-04-14,32550.0,"상승  1,300",31000.0,32550.0,31000.0,2109.0,INVENI,015360
2020-04-16,32750.0,상승  200,32550.0,32850.0,31850.0,704.0,INVENI,015360
2020-04-17,32550.0,하락  200,33000.0,33250.0,32350.0,1392.0,INVENI,015360
2020-04-20,33700.0,"상승  1,150",32550.0,33900.0,32550.0,1737.0,INVENI,015360
2020-04-21,33600.0,하락  100,33200.0,33600.0,33000.0,1024.0,INVENI,015360
