날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4135.0,하락  260,4010.0,4195.0,3945.0,1187241.0,JB금융지주,175330
2020-03-16,4115.0,하락  20,4135.0,4205.0,4025.0,731523.0,JB금융지주,175330
2020-03-17,3855.0,하락  260,3945.0,3975.0,3750.0,867784.0,JB금융지주,175330
2020-03-18,3740.0,하락  115,3750.0,3885.0,3740.0,1188985.0,JB금융지주,175330
2020-03-19,3375.0,하락  365,3755.0,3815.0,3365.0,1322175.0,JB금융지주,175330
2020-03-20,3820.0,상승  445,3420.0,3820.0,3260.0,1052187.0,JB금융지주,175330
2020-03-23,3480.0,하락  340,3510.0,3565.0,3425.0,627780.0,JB금융지주,175330
2020-03-24,3620.0,상승  140,3610.0,3670.0,3485.0,521168.0,JB금융지주,175330
2020-03-25,3935.0,상승  315,3830.0,3960.0,3735.0,625522.0,JB금융지주,175330
2020-03-26,4125.0,상승  190,3940.0,4140.0,3905.0,854056.0,JB금융지주,175330
2020-03-27,4250.0,상승  125,4250.0,4315.0,4045.0,916216.0,JB금융지주,175330
2020-03-30,4340.0,상승  90,4100.0,4340.0,4085.0,373586.0,JB금융지주,175330
2020-03-31,4475.0,상승  135,4370.0,4560.0,4350.0,678825.0,JB금융지주,175330
2020-04-01,4410.0,하락  65,4470.0,4560.0,4405.0,469742.0,JB금융지주,175330
2020-04-02,4470.0,상승  60,4335.0,4470.0,4205.0,364979.0,JB금융지주,175330
2020-04-03,4380.0,하락  90,4485.0,4510.0,4345.0,344621.0,JB금융지주,175330
2020-04-06,4390.0,상승  10,4330.0,4470.0,4330.0,468766.0,JB금융지주,175330
2020-04-07,4390.0,보합0,4460.0,4495.0,4375.0,316502.0,JB금융지주,175330
2020-04-08,4410.0,상승  20,4390.0,4420.0,4335.0,171341.0,JB금융지주,175330
2020-04-09,4380.0,하락  30,4450.0,4450.0,4375.0,252576.0,JB금융지주,175330
2020-04-10,4480.0,상승  100,4390.0,4480.0,4375.0,311363.0,JB금융지주,175330
2020-04-13,4425.0,하락  55,4490.0,4510.0,4425.0,225104.0,JB금융지주,175330
2020-04-14,4430.0,상승  5,4480.0,4480.0,4415.0,247794.0,JB금융지주,175330
2020-04-16,4345.0,하락  85,4395.0,4395.0,4285.0,380434.0,JB금융지주,175330
2020-04-17,4410.0,상승  65,4390.0,4465.0,4370.0,334654.0,JB금융지주,175330
2020-04-20,4440.0,상승  30,4410.0,4475.0,4410.0,311142.0,JB금융지주,175330
2020-04-21,4370.0,하락  70,4430.0,4430.0,4285.0,275972.0,JB금융지주,175330
2020-04-22,4335.0,하락  35,4330.0,4350.0,4270.0,178792.0,JB금융지주,175330
2020-04-23,4410.0,상승  75,4350.0,4425.0,4350.0,176108.0,JB금융지주,175330
2020-04-24,4365.0,하락  45,4340.0,4410.0,4340.0,151603.0,JB금융지주,175330
2020-04-27,4605.0,상승  240,4375.0,4640.0,4375.0,776746.0,JB금융지주,175330
2020-04-28,4690.0,상승  85,4645.0,4780.0,4585.0,711677.0,JB금융지주,175330
2020-04-29,4835.0,상승  145,4750.0,4995.0,4740.0,1084646.0,JB금융지주,175330
