날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,779.0,하락  26,826.0,860.0,779.0,1456069.0,KIB플러그에너지,015590
2020-03-17,772.0,하락  7,700.0,779.0,699.0,3071393.0,KIB플러그에너지,015590
2020-03-18,716.0,하락  56,784.0,806.0,710.0,1780688.0,KIB플러그에너지,015590
2020-03-19,549.0,하락  167,720.0,733.0,514.0,4307537.0,KIB플러그에너지,015590
2020-03-20,618.0,상승  69,560.0,622.0,560.0,2336704.0,KIB플러그에너지,015590
2020-03-23,585.0,하락  33,603.0,610.0,564.0,1688340.0,KIB플러그에너지,015590
2020-03-24,602.0,상승  17,588.0,612.0,585.0,1601559.0,KIB플러그에너지,015590
2020-03-25,660.0,상승  58,627.0,692.0,627.0,2688628.0,KIB플러그에너지,015590
2020-03-26,717.0,상승  57,667.0,745.0,640.0,2408965.0,KIB플러그에너지,015590
2020-03-27,723.0,상승  6,780.0,780.0,690.0,2136470.0,KIB플러그에너지,015590
2020-03-30,750.0,상승  27,701.0,756.0,656.0,1479947.0,KIB플러그에너지,015590
2020-03-31,830.0,상승  80,769.0,887.0,767.0,3585964.0,KIB플러그에너지,015590
2020-04-01,799.0,하락  31,839.0,905.0,795.0,3310974.0,KIB플러그에너지,015590
2020-04-02,803.0,상승  4,802.0,820.0,729.0,1750102.0,KIB플러그에너지,015590
2020-04-03,801.0,하락  2,815.0,822.0,785.0,1279083.0,KIB플러그에너지,015590
2020-04-06,808.0,상승  7,800.0,811.0,789.0,1744415.0,KIB플러그에너지,015590
2020-04-07,823.0,상승  15,822.0,828.0,803.0,2007623.0,KIB플러그에너지,015590
2020-04-08,820.0,하락  3,823.0,834.0,805.0,1180725.0,KIB플러그에너지,015590
2020-04-09,827.0,상승  7,834.0,840.0,818.0,1070186.0,KIB플러그에너지,015590
2020-04-10,796.0,하락  31,827.0,830.0,780.0,1654082.0,KIB플러그에너지,015590
2020-04-13,795.0,하락  1,796.0,815.0,780.0,1281116.0,KIB플러그에너지,015590
2020-04-14,799.0,상승  4,791.0,810.0,791.0,683606.0,KIB플러그에너지,015590
2020-04-16,805.0,상승  6,792.0,814.0,787.0,1492052.0,KIB플러그에너지,015590
2020-04-17,858.0,상승  53,815.0,865.0,804.0,1842742.0,KIB플러그에너지,015590
2020-04-20,865.0,상승  7,865.0,869.0,850.0,1509692.0,KIB플러그에너지,015590
2020-04-21,833.0,하락  32,865.0,865.0,799.0,1940290.0,KIB플러그에너지,015590
2020-04-22,833.0,보합0,812.0,834.0,803.0,764156.0,KIB플러그에너지,015590
2020-04-23,833.0,보합0,833.0,853.0,820.0,856049.0,KIB플러그에너지,015590
2020-04-24,814.0,하락  19,833.0,837.0,810.0,598412.0,KIB플러그에너지,015590
2020-04-27,843.0,상승  29,820.0,851.0,810.0,922673.0,KIB플러그에너지,015590
2020-04-28,844.0,상승  1,843.0,865.0,837.0,1154544.0,KIB플러그에너지,015590
2020-04-29,864.0,상승  20,850.0,897.0,840.0,1478945.0,KIB플러그에너지,015590
2020-05-04,916.0,상승  52,864.0,927.0,847.0,2478441.0,KIB플러그에너지,015590
2020-05-06,1020.0,상승  104,912.0,1040.0,912.0,6523681.0,KIB플러그에너지,015590
2020-05-07,1030.0,상승  10,1015.0,1100.0,1015.0,3760588.0,KIB플러그에너지,015590
2020-05-08,1045.0,상승  15,1045.0,1060.0,1015.0,1367729.0,KIB플러그에너지,015590
2020-05-11,1030.0,하락  15,1055.0,1055.0,1005.0,1365413.0,KIB플러그에너지,015590
2020-05-12,1000.0,하락  30,1025.0,1025.0,961.0,2016798.0,KIB플러그에너지,015590
2020-05-13,1010.0,상승  10,997.0,1015.0,970.0,1227540.0,KIB플러그에너지,015590
2020-05-14,1000.0,하락  10,999.0,1015.0,989.0,1174337.0,KIB플러그에너지,015590
2020-05-15,1040.0,상승  40,1000.0,1095.0,997.0,3991485.0,KIB플러그에너지,015590
2020-05-18,1060.0,상승  20,1050.0,1070.0,1035.0,1862236.0,KIB플러그에너지,015590
2020-05-19,1045.0,하락  15,1060.0,1065.0,1030.0,1073442.0,KIB플러그에너지,015590
2020-05-20,1135.0,상승  90,1060.0,1150.0,1040.0,5718767.0,KIB플러그에너지,015590
2020-05-21,1135.0,보합0,1155.0,1190.0,1115.0,4114053.0,KIB플러그에너지,015590
2020-05-22,1130.0,하락  5,1125.0,1235.0,1120.0,5957545.0,KIB플러그에너지,015590
2020-05-25,1110.0,하락  20,1130.0,1140.0,1085.0,1661120.0,KIB플러그에너지,015590
2020-05-26,1090.0,하락  20,1110.0,1125.0,1075.0,1789613.0,KIB플러그에너지,015590
2020-05-27,1075.0,하락  15,1095.0,1100.0,1070.0,993079.0,KIB플러그에너지,015590
2020-05-28,1045.0,하락  30,1080.0,1085.0,1005.0,1943862.0,KIB플러그에너지,015590
2020-05-29,1055.0,상승  10,1025.0,1060.0,995.0,2686506.0,KIB플러그에너지,015590
2020-06-01,1070.0,상승  15,1080.0,1095.0,1060.0,1410416.0,KIB플러그에너지,015590
2020-06-02,1070.0,보합0,1070.0,1080.0,1050.0,724479.0,KIB플러그에너지,015590
2020-06-03,1065.0,하락  5,1080.0,1080.0,1060.0,1090567.0,KIB플러그에너지,015590
2020-06-04,1070.0,상승  5,1070.0,1075.0,1060.0,917964.0,KIB플러그에너지,015590
2020-06-05,1050.0,하락  20,1055.0,1060.0,1025.0,1452549.0,KIB플러그에너지,015590
2020-06-08,1050.0,보합0,1050.0,1065.0,1035.0,866390.0,KIB플러그에너지,015590
2020-06-09,1060.0,상승  10,1050.0,1075.0,1035.0,1365285.0,KIB플러그에너지,015590
2020-06-10,1050.0,하락  10,1060.0,1075.0,1035.0,1154471.0,KIB플러그에너지,015590
2020-06-11,1020.0,하락  30,1040.0,1050.0,1015.0,1288627.0,KIB플러그에너지,015590
2020-06-12,1015.0,하락  5,961.0,1015.0,959.0,1667123.0,KIB플러그에너지,015590
2020-06-15,937.0,하락  78,1015.0,1015.0,935.0,1606468.0,KIB플러그에너지,015590
2020-06-16,964.0,상승  27,946.0,983.0,946.0,1301514.0,KIB플러그에너지,015590
2020-06-17,936.0,하락  28,958.0,972.0,931.0,1039109.0,KIB플러그에너지,015590
2020-06-18,985.0,상승  49,927.0,991.0,922.0,2059151.0,KIB플러그에너지,015590
2020-06-19,1020.0,상승  35,1105.0,1105.0,1000.0,6635263.0,KIB플러그에너지,015590
2020-06-22,1010.0,하락  10,1025.0,1025.0,988.0,1485610.0,KIB플러그에너지,015590
2020-06-23,1020.0,상승  10,1015.0,1020.0,998.0,1199896.0,KIB플러그에너지,015590
