날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,40600.0,"하락  1,700",42300.0,42300.0,40500.0,2141.0,KPX홀딩스,092230
2020-03-17,40300.0,하락  300,39750.0,40300.0,39200.0,1332.0,KPX홀딩스,092230
2020-03-18,40700.0,상승  400,40350.0,40850.0,39750.0,1406.0,KPX홀딩스,092230
2020-03-19,38900.0,"하락  1,800",40000.0,40000.0,37000.0,3678.0,KPX홀딩스,092230
2020-03-20,39000.0,상승  100,37750.0,39900.0,37750.0,568.0,KPX홀딩스,092230
2020-03-23,35800.0,"하락  3,200",36600.0,36650.0,35800.0,1711.0,KPX홀딩스,092230
2020-03-24,35850.0,상승  50,35500.0,36150.0,35500.0,1736.0,KPX홀딩스,092230
2020-03-25,37000.0,"상승  1,150",36650.0,40000.0,36300.0,6194.0,KPX홀딩스,092230
2020-03-26,37300.0,상승  300,37500.0,38500.0,37000.0,2210.0,KPX홀딩스,092230
2020-03-27,38600.0,"상승  1,300",38500.0,39550.0,38100.0,2185.0,KPX홀딩스,092230
2020-03-30,38500.0,하락  100,37300.0,38600.0,37300.0,1569.0,KPX홀딩스,092230
2020-03-31,39750.0,"상승  1,250",38650.0,39900.0,38650.0,2359.0,KPX홀딩스,092230
2020-04-01,39750.0,보합0,39750.0,40600.0,39500.0,2250.0,KPX홀딩스,092230
2020-04-02,39950.0,상승  200,39750.0,39950.0,39000.0,536.0,KPX홀딩스,092230
2020-04-03,40400.0,상승  450,39900.0,40500.0,39900.0,300.0,KPX홀딩스,092230
2020-04-06,41900.0,"상승  1,500",40600.0,42000.0,40600.0,2227.0,KPX홀딩스,092230
2020-04-07,43000.0,"상승  1,100",42100.0,43000.0,42100.0,753.0,KPX홀딩스,092230
2020-04-08,43600.0,상승  600,43000.0,43700.0,42800.0,440.0,KPX홀딩스,092230
2020-04-09,44300.0,상승  700,43600.0,44900.0,43600.0,401.0,KPX홀딩스,092230
2020-04-10,44550.0,상승  250,44300.0,44750.0,44200.0,571.0,KPX홀딩스,092230
2020-04-13,44100.0,하락  450,44550.0,44650.0,44050.0,271.0,KPX홀딩스,092230
2020-04-14,44000.0,하락  100,44100.0,45000.0,43800.0,991.0,KPX홀딩스,092230
2020-04-16,43700.0,하락  300,44000.0,44000.0,43050.0,1246.0,KPX홀딩스,092230
2020-04-17,44050.0,상승  350,43800.0,45050.0,43800.0,1164.0,KPX홀딩스,092230
2020-04-20,43800.0,하락  250,44050.0,44400.0,43800.0,1120.0,KPX홀딩스,092230
2020-04-21,43550.0,하락  250,43800.0,44350.0,42450.0,3047.0,KPX홀딩스,092230
2020-04-22,42850.0,하락  700,43550.0,43550.0,42600.0,1095.0,KPX홀딩스,092230
2020-04-23,43550.0,상승  700,42850.0,43750.0,42850.0,551.0,KPX홀딩스,092230
2020-04-24,43100.0,하락  450,43550.0,43750.0,42650.0,450.0,KPX홀딩스,092230
2020-04-27,43050.0,하락  50,43100.0,43550.0,42800.0,1210.0,KPX홀딩스,092230
2020-04-28,43700.0,상승  650,43250.0,44400.0,43150.0,1894.0,KPX홀딩스,092230
2020-04-29,44150.0,상승  450,44000.0,44200.0,43700.0,581.0,KPX홀딩스,092230
2020-05-04,44050.0,하락  100,44050.0,48550.0,43700.0,3751.0,KPX홀딩스,092230
2020-05-06,44700.0,상승  650,44200.0,44700.0,44200.0,843.0,KPX홀딩스,092230
2020-05-07,45000.0,상승  300,44700.0,45500.0,44700.0,956.0,KPX홀딩스,092230
2020-05-08,44550.0,하락  450,45000.0,45300.0,44500.0,2464.0,KPX홀딩스,092230
2020-05-11,44850.0,상승  300,44600.0,45250.0,44600.0,648.0,KPX홀딩스,092230
2020-05-12,44100.0,하락  750,44850.0,44850.0,44000.0,1405.0,KPX홀딩스,092230
2020-05-13,44950.0,상승  850,44100.0,45350.0,43800.0,1100.0,KPX홀딩스,092230
2020-05-14,44150.0,하락  800,44950.0,44950.0,43900.0,731.0,KPX홀딩스,092230
2020-05-15,44100.0,하락  50,44150.0,44150.0,43400.0,1568.0,KPX홀딩스,092230
2020-05-18,43850.0,하락  250,44100.0,44500.0,43750.0,1860.0,KPX홀딩스,092230
2020-05-19,44350.0,상승  500,44200.0,44400.0,43900.0,775.0,KPX홀딩스,092230
2020-05-20,44650.0,상승  300,44350.0,44900.0,44050.0,1785.0,KPX홀딩스,092230
2020-05-21,44000.0,하락  650,44650.0,44950.0,43850.0,3817.0,KPX홀딩스,092230
2020-05-22,43850.0,하락  150,44000.0,44550.0,43850.0,742.0,KPX홀딩스,092230
2020-05-25,44050.0,상승  200,43950.0,44350.0,43850.0,433.0,KPX홀딩스,092230
2020-05-26,44050.0,보합0,44250.0,44550.0,43950.0,1620.0,KPX홀딩스,092230
2020-05-27,43900.0,하락  150,44050.0,44300.0,42000.0,6770.0,KPX홀딩스,092230
2020-05-28,43600.0,하락  300,43900.0,43900.0,43350.0,5136.0,KPX홀딩스,092230
2020-05-29,43900.0,상승  300,43600.0,44000.0,43400.0,498.0,KPX홀딩스,092230
2020-06-01,43900.0,보합0,43900.0,44550.0,43750.0,1564.0,KPX홀딩스,092230
2020-06-02,44100.0,상승  200,43900.0,45000.0,43900.0,1230.0,KPX홀딩스,092230
2020-06-03,44150.0,상승  50,44100.0,44500.0,44000.0,2872.0,KPX홀딩스,092230
2020-06-04,44400.0,상승  250,44150.0,44550.0,44100.0,3238.0,KPX홀딩스,092230
2020-06-05,44250.0,하락  150,44400.0,44450.0,44150.0,1361.0,KPX홀딩스,092230
2020-06-08,44200.0,하락  50,44450.0,44500.0,44050.0,3151.0,KPX홀딩스,092230
2020-06-09,44200.0,보합0,44250.0,44550.0,44000.0,3213.0,KPX홀딩스,092230
2020-06-10,43950.0,하락  250,44350.0,44600.0,43750.0,2863.0,KPX홀딩스,092230
2020-06-11,43650.0,하락  300,44200.0,44200.0,43650.0,2999.0,KPX홀딩스,092230
2020-06-12,43150.0,하락  500,43000.0,43200.0,42350.0,3450.0,KPX홀딩스,092230
2020-06-15,42500.0,하락  650,43150.0,43350.0,42200.0,2788.0,KPX홀딩스,092230
2020-06-16,42550.0,상승  50,42800.0,43000.0,42050.0,3693.0,KPX홀딩스,092230
2020-06-17,42500.0,하락  50,42550.0,42650.0,42050.0,4017.0,KPX홀딩스,092230
2020-06-18,42600.0,상승  100,42500.0,42750.0,42400.0,1238.0,KPX홀딩스,092230
2020-06-19,42750.0,상승  150,42600.0,42950.0,42350.0,1563.0,KPX홀딩스,092230
2020-06-22,42900.0,상승  150,42800.0,43000.0,42550.0,2998.0,KPX홀딩스,092230
2020-06-23,42600.0,하락  300,43000.0,43450.0,42500.0,2375.0,KPX홀딩스,092230
2020-06-24,42700.0,상승  100,42600.0,42900.0,42500.0,2332.0,KPX홀딩스,092230
2020-06-25,42650.0,하락  50,42650.0,42650.0,42400.0,1799.0,KPX홀딩스,092230
2020-06-26,42800.0,상승  150,42650.0,42900.0,42500.0,3366.0,KPX홀딩스,092230
2020-06-29,42400.0,하락  400,42650.0,42700.0,42000.0,1268.0,KPX홀딩스,092230
2020-06-30,42100.0,하락  300,42400.0,42400.0,42050.0,513.0,KPX홀딩스,092230
2020-07-01,42100.0,보합0,42200.0,42500.0,42100.0,1317.0,KPX홀딩스,092230
2020-07-02,42450.0,상승  350,42650.0,42650.0,42150.0,518.0,KPX홀딩스,092230
2020-07-03,42200.0,하락  250,42450.0,42700.0,42150.0,1820.0,KPX홀딩스,092230
2020-07-06,42250.0,상승  50,42500.0,42500.0,42200.0,1027.0,KPX홀딩스,092230
2020-07-07,42300.0,상승  50,42500.0,44400.0,41950.0,7187.0,KPX홀딩스,092230
2020-07-08,42450.0,상승  150,42300.0,42500.0,42200.0,163.0,KPX홀딩스,092230
2020-07-09,42500.0,상승  50,42600.0,42600.0,42300.0,558.0,KPX홀딩스,092230
2020-07-10,42600.0,상승  100,42550.0,43400.0,42250.0,4876.0,KPX홀딩스,092230
2020-07-13,42400.0,하락  200,42600.0,42800.0,42250.0,597.0,KPX홀딩스,092230
2020-07-14,42250.0,하락  150,42350.0,42950.0,42200.0,1492.0,KPX홀딩스,092230
2020-07-15,42200.0,하락  50,42250.0,42600.0,42000.0,8460.0,KPX홀딩스,092230
2020-07-16,42200.0,보합0,42200.0,42350.0,42000.0,2215.0,KPX홀딩스,092230
2020-07-17,42200.0,보합0,42200.0,42300.0,42000.0,934.0,KPX홀딩스,092230
2020-07-20,42100.0,하락  100,42300.0,42300.0,41900.0,1605.0,KPX홀딩스,092230
2020-07-21,42550.0,상승  450,42100.0,42600.0,42000.0,518.0,KPX홀딩스,092230
2020-07-22,42600.0,상승  50,42650.0,42700.0,42450.0,740.0,KPX홀딩스,092230
2020-07-23,42400.0,하락  200,42450.0,42550.0,42100.0,2467.0,KPX홀딩스,092230
2020-07-24,42200.0,하락  200,42100.0,42350.0,42000.0,1299.0,KPX홀딩스,092230
2020-07-27,42200.0,보합0,42150.0,42200.0,42000.0,1591.0,KPX홀딩스,092230
2020-07-28,42150.0,하락  50,42200.0,42200.0,42050.0,758.0,KPX홀딩스,092230
2020-07-29,42050.0,하락  100,42150.0,42150.0,41950.0,1843.0,KPX홀딩스,092230
2020-07-30,42050.0,보합0,42050.0,42300.0,41850.0,2202.0,KPX홀딩스,092230
2020-07-31,41900.0,하락  150,41950.0,42150.0,41900.0,1668.0,KPX홀딩스,092230
2020-08-03,42100.0,상승  200,41900.0,42150.0,41850.0,715.0,KPX홀딩스,092230
2020-08-04,42100.0,보합0,42100.0,42300.0,42000.0,479.0,KPX홀딩스,092230
2020-08-05,42100.0,보합0,42200.0,42200.0,42000.0,644.0,KPX홀딩스,092230
2020-08-06,42100.0,보합0,42200.0,42200.0,42050.0,1125.0,KPX홀딩스,092230
2020-08-07,42750.0,상승  650,42200.0,43050.0,42100.0,3025.0,KPX홀딩스,092230
2020-08-10,42700.0,하락  50,42800.0,43450.0,42600.0,2145.0,KPX홀딩스,092230
2020-08-11,42700.0,보합0,42750.0,43200.0,42550.0,3975.0,KPX홀딩스,092230
2020-08-12,42550.0,하락  150,42800.0,42800.0,42250.0,4122.0,KPX홀딩스,092230
2020-08-13,42600.0,상승  50,42700.0,42750.0,42300.0,8052.0,KPX홀딩스,092230
2020-08-14,42500.0,하락  100,42650.0,42700.0,42300.0,2403.0,KPX홀딩스,092230
2020-08-18,42500.0,보합0,43250.0,43250.0,42300.0,9939.0,KPX홀딩스,092230
2020-08-19,43500.0,"상승  1,000",42650.0,49700.0,42600.0,135580.0,KPX홀딩스,092230
2020-08-20,42150.0,"하락  1,350",43100.0,44500.0,41400.0,33794.0,KPX홀딩스,092230
2020-08-21,41700.0,하락  450,42150.0,42350.0,41100.0,12001.0,KPX홀딩스,092230
2020-08-24,41300.0,하락  400,41500.0,41600.0,41000.0,6225.0,KPX홀딩스,092230
2020-08-25,41650.0,상승  350,41300.0,41750.0,41250.0,6167.0,KPX홀딩스,092230
2020-08-26,41650.0,보합0,41600.0,41900.0,41400.0,7295.0,KPX홀딩스,092230
2020-08-27,41200.0,하락  450,41700.0,41800.0,41000.0,6149.0,KPX홀딩스,092230
2020-08-28,41250.0,상승  50,41200.0,41350.0,41000.0,5621.0,KPX홀딩스,092230
2020-08-31,41150.0,하락  100,41250.0,41500.0,41000.0,5838.0,KPX홀딩스,092230
2020-09-01,41350.0,상승  200,41050.0,41350.0,41000.0,14854.0,KPX홀딩스,092230
2020-09-02,41400.0,상승  50,41150.0,41550.0,41150.0,7108.0,KPX홀딩스,092230
2020-09-03,41550.0,상승  150,41500.0,41850.0,41200.0,12229.0,KPX홀딩스,092230
2020-09-04,41600.0,상승  50,41100.0,41700.0,41100.0,3334.0,KPX홀딩스,092230
2020-09-07,41750.0,상승  150,41600.0,42150.0,41350.0,8176.0,KPX홀딩스,092230
2020-09-08,42550.0,상승  800,42000.0,42650.0,42000.0,6688.0,KPX홀딩스,092230
2020-09-09,42750.0,상승  200,42450.0,42800.0,42050.0,4769.0,KPX홀딩스,092230
2020-09-10,43600.0,상승  850,42750.0,43650.0,42400.0,9255.0,KPX홀딩스,092230
2020-09-11,44600.0,"상승  1,000",43600.0,45800.0,43000.0,23560.0,KPX홀딩스,092230
2020-09-14,45250.0,상승  650,44700.0,45550.0,44600.0,7867.0,KPX홀딩스,092230
2020-09-15,45700.0,상승  450,45350.0,45750.0,44700.0,5905.0,KPX홀딩스,092230
2020-09-16,44850.0,하락  850,45700.0,46150.0,44800.0,5550.0,KPX홀딩스,092230
2020-09-17,44850.0,보합0,44900.0,45200.0,44350.0,3518.0,KPX홀딩스,092230
2020-09-18,44400.0,하락  450,44700.0,44950.0,44150.0,2418.0,KPX홀딩스,092230
2020-09-21,44400.0,보합0,44300.0,45050.0,43500.0,5269.0,KPX홀딩스,092230
2020-09-22,43150.0,"하락  1,250",44350.0,44350.0,43000.0,4211.0,KPX홀딩스,092230
2020-09-23,43450.0,상승  300,43150.0,43550.0,42700.0,3261.0,KPX홀딩스,092230
2020-09-24,42600.0,하락  850,42800.0,43250.0,42450.0,3793.0,KPX홀딩스,092230
2020-09-25,43200.0,상승  600,42750.0,43350.0,42550.0,2321.0,KPX홀딩스,092230
2020-09-28,43500.0,상승  300,43200.0,43900.0,43200.0,1741.0,KPX홀딩스,092230
2020-09-29,44000.0,상승  500,43600.0,44100.0,43500.0,1090.0,KPX홀딩스,092230
2020-10-05,44800.0,상승  800,43800.0,44950.0,43800.0,2114.0,KPX홀딩스,092230
2020-10-06,44950.0,상승  150,44750.0,45350.0,44550.0,1041.0,KPX홀딩스,092230
2020-10-07,44950.0,보합0,45150.0,45150.0,44250.0,2300.0,KPX홀딩스,092230
2020-10-08,45000.0,상승  50,44950.0,45150.0,44650.0,2334.0,KPX홀딩스,092230
2020-10-12,45400.0,상승  400,45100.0,45900.0,45000.0,5559.0,KPX홀딩스,092230
2020-10-13,45300.0,하락  100,45400.0,45800.0,45000.0,5533.0,KPX홀딩스,092230
2020-10-14,45150.0,하락  150,45300.0,45850.0,44900.0,3475.0,KPX홀딩스,092230
2020-10-15,44300.0,하락  850,44800.0,44950.0,43650.0,2857.0,KPX홀딩스,092230
2020-10-16,44000.0,하락  300,44700.0,44700.0,43950.0,2223.0,KPX홀딩스,092230
2020-10-19,49150.0,"상승  5,150",44300.0,55800.0,44000.0,358441.0,KPX홀딩스,092230
2020-10-20,45600.0,"하락  3,550",47650.0,53300.0,45050.0,311031.0,KPX홀딩스,092230
2020-10-21,48750.0,"상승  3,150",46100.0,52800.0,45550.0,409133.0,KPX홀딩스,092230
2020-10-22,47300.0,"하락  1,450",48250.0,50600.0,46600.0,92207.0,KPX홀딩스,092230
2020-10-23,46950.0,하락  350,47150.0,48250.0,46700.0,26871.0,KPX홀딩스,092230
2020-10-26,46600.0,하락  350,46700.0,48450.0,46450.0,12045.0,KPX홀딩스,092230
2020-10-27,46000.0,하락  600,46600.0,46600.0,45600.0,9466.0,KPX홀딩스,092230
2020-10-28,45900.0,하락  100,45700.0,47650.0,45700.0,9542.0,KPX홀딩스,092230
2020-10-29,46500.0,상승  600,45500.0,46600.0,45250.0,5340.0,KPX홀딩스,092230
2020-10-30,46200.0,하락  300,46650.0,47400.0,46050.0,5213.0,KPX홀딩스,092230
2020-11-02,46450.0,상승  250,46250.0,47350.0,45950.0,6157.0,KPX홀딩스,092230
2020-11-03,47150.0,상승  700,46950.0,47150.0,46500.0,4111.0,KPX홀딩스,092230
2020-11-04,47200.0,상승  50,47150.0,47450.0,46500.0,4737.0,KPX홀딩스,092230
2020-11-05,47750.0,상승  550,47000.0,47850.0,47000.0,3061.0,KPX홀딩스,092230
2020-11-06,47300.0,하락  450,47600.0,52500.0,47000.0,135488.0,KPX홀딩스,092230
2020-11-09,48800.0,"상승  1,500",47600.0,49600.0,47250.0,48850.0,KPX홀딩스,092230
2020-11-10,63400.0,"상한가  14,600",60300.0,63400.0,57300.0,379692.0,KPX홀딩스,092230
2020-11-11,82400.0,"상한가  19,000",68700.0,82400.0,65200.0,1184271.0,KPX홀딩스,092230
2020-11-12,107000.0,"상한가  24,600",96800.0,107000.0,95000.0,673106.0,KPX홀딩스,092230
2020-11-13,79000.0,"하락  28,000",98400.0,125000.0,76900.0,2990182.0,KPX홀딩스,092230
2020-11-16,79000.0,보합0,83300.0,91200.0,75000.0,796451.0,KPX홀딩스,092230
2020-11-17,70400.0,"하락  8,600",71600.0,83000.0,66500.0,656384.0,KPX홀딩스,092230
2020-11-18,69000.0,"하락  1,400",70300.0,72100.0,67000.0,171062.0,KPX홀딩스,092230
2020-11-19,69800.0,상승  800,73000.0,78500.0,67600.0,231048.0,KPX홀딩스,092230
2020-11-20,68800.0,"하락  1,000",70800.0,70800.0,66500.0,92878.0,KPX홀딩스,092230
2020-11-23,62400.0,"하락  6,400",69600.0,69600.0,59100.0,185310.0,KPX홀딩스,092230
2020-11-24,61000.0,"하락  1,400",62400.0,62700.0,60000.0,76497.0,KPX홀딩스,092230
2020-11-25,60200.0,하락  800,60700.0,60700.0,58000.0,72353.0,KPX홀딩스,092230
2020-11-26,60500.0,상승  300,60500.0,61200.0,59400.0,32718.0,KPX홀딩스,092230
2020-11-27,62100.0,"상승  1,600",60600.0,64000.0,60000.0,79620.0,KPX홀딩스,092230
2020-11-30,63800.0,"상승  1,700",62700.0,63800.0,61500.0,37290.0,KPX홀딩스,092230
2020-12-01,63500.0,하락  300,64400.0,64600.0,63000.0,26865.0,KPX홀딩스,092230
2020-12-02,65400.0,"상승  1,900",63700.0,65800.0,63400.0,72386.0,KPX홀딩스,092230
2020-12-03,62900.0,"하락  2,500",66000.0,66700.0,62700.0,56791.0,KPX홀딩스,092230
2020-12-04,61500.0,"하락  1,400",62900.0,62900.0,61200.0,30368.0,KPX홀딩스,092230
2020-12-07,62100.0,상승  600,62000.0,62600.0,60200.0,24845.0,KPX홀딩스,092230
2020-12-08,61700.0,하락  400,62500.0,63700.0,61100.0,21368.0,KPX홀딩스,092230
2020-12-09,62000.0,상승  300,62500.0,63000.0,61300.0,12515.0,KPX홀딩스,092230
2020-12-10,62800.0,상승  800,62000.0,63700.0,61500.0,17933.0,KPX홀딩스,092230
2020-12-11,62900.0,상승  100,64000.0,65300.0,62700.0,39463.0,KPX홀딩스,092230
2020-12-14,62500.0,하락  400,63100.0,63500.0,62400.0,16831.0,KPX홀딩스,092230
2020-12-15,61800.0,하락  700,62500.0,62800.0,61500.0,16775.0,KPX홀딩스,092230
2020-12-16,62400.0,상승  600,61600.0,64600.0,61500.0,23213.0,KPX홀딩스,092230
2020-12-17,62500.0,상승  100,63000.0,64500.0,62000.0,17374.0,KPX홀딩스,092230
2020-12-18,64600.0,"상승  2,100",62500.0,71600.0,62400.0,343828.0,KPX홀딩스,092230
2020-12-21,64300.0,하락  300,64600.0,65300.0,63800.0,33282.0,KPX홀딩스,092230
2020-12-22,63500.0,하락  800,64400.0,67700.0,63300.0,93946.0,KPX홀딩스,092230
2020-12-23,62300.0,"하락  1,200",63500.0,64700.0,61300.0,28529.0,KPX홀딩스,092230
2020-12-24,63400.0,"상승  1,100",63200.0,63400.0,61600.0,18427.0,KPX홀딩스,092230
2020-12-28,64000.0,상승  600,62900.0,65300.0,62900.0,31087.0,KPX홀딩스,092230
2020-12-29,60900.0,"하락  3,100",63000.0,63000.0,60000.0,31926.0,KPX홀딩스,092230
2020-12-30,60400.0,하락  500,60300.0,60900.0,60000.0,13664.0,KPX홀딩스,092230
2021-01-04,59300.0,"하락  1,100",60400.0,60400.0,58900.0,22775.0,KPX홀딩스,092230
2021-01-05,59200.0,하락  100,59000.0,59800.0,58600.0,14527.0,KPX홀딩스,092230
2021-01-06,59700.0,상승  500,59000.0,60000.0,59000.0,11716.0,KPX홀딩스,092230
2021-01-07,60000.0,상승  300,59700.0,60300.0,59200.0,13032.0,KPX홀딩스,092230
2021-01-08,59200.0,하락  800,60100.0,60200.0,59100.0,15084.0,KPX홀딩스,092230
2021-01-11,56700.0,"하락  2,500",58600.0,58900.0,56000.0,24009.0,KPX홀딩스,092230
2021-01-12,56800.0,상승  100,56200.0,57700.0,56200.0,7452.0,KPX홀딩스,092230
2021-01-13,57900.0,"상승  1,100",57200.0,57900.0,56600.0,6040.0,KPX홀딩스,092230
2021-01-14,58800.0,상승  900,57900.0,59200.0,57300.0,6959.0,KPX홀딩스,092230
2021-01-15,57300.0,"하락  1,500",58800.0,59300.0,57300.0,4943.0,KPX홀딩스,092230
2021-01-18,56500.0,하락  800,58900.0,59200.0,56500.0,10322.0,KPX홀딩스,092230
2021-01-19,57100.0,상승  600,56500.0,57900.0,56100.0,5664.0,KPX홀딩스,092230
2021-01-20,56700.0,하락  400,57100.0,57300.0,56400.0,8147.0,KPX홀딩스,092230
2021-01-21,57600.0,상승  900,56900.0,58000.0,56600.0,4699.0,KPX홀딩스,092230
2021-01-22,57800.0,상승  200,57700.0,59900.0,57700.0,17403.0,KPX홀딩스,092230
2021-01-25,58100.0,상승  300,58100.0,58300.0,57300.0,5540.0,KPX홀딩스,092230
2021-01-26,57700.0,하락  400,58000.0,58300.0,57600.0,4914.0,KPX홀딩스,092230
2021-01-27,57000.0,하락  700,57800.0,58100.0,57000.0,5738.0,KPX홀딩스,092230
2021-01-28,56500.0,하락  500,56700.0,57200.0,56000.0,9968.0,KPX홀딩스,092230
2021-01-29,56200.0,하락  300,57000.0,57000.0,55900.0,12769.0,KPX홀딩스,092230
2021-02-01,58700.0,"상승  2,500",55900.0,58700.0,55900.0,8016.0,KPX홀딩스,092230
2021-02-02,59900.0,"상승  1,200",58800.0,60000.0,58400.0,11638.0,KPX홀딩스,092230
2021-02-03,59300.0,하락  600,60000.0,60400.0,58900.0,9611.0,KPX홀딩스,092230
2021-02-04,59300.0,보합0,59800.0,60000.0,58300.0,7698.0,KPX홀딩스,092230
2021-02-05,60500.0,"상승  1,200",60800.0,61100.0,59700.0,20423.0,KPX홀딩스,092230
2021-02-08,61400.0,상승  900,60600.0,62600.0,60600.0,16702.0,KPX홀딩스,092230
2021-02-09,62900.0,"상승  1,500",62200.0,62900.0,61600.0,13874.0,KPX홀딩스,092230
2021-02-10,60900.0,"하락  2,000",62800.0,62900.0,60600.0,22066.0,KPX홀딩스,092230
2021-02-15,60900.0,보합0,60900.0,61200.0,60200.0,9385.0,KPX홀딩스,092230
2021-02-16,60000.0,하락  900,60900.0,60900.0,59900.0,10415.0,KPX홀딩스,092230
2021-02-17,59400.0,하락  600,60000.0,60300.0,59200.0,6279.0,KPX홀딩스,092230
2021-02-18,59500.0,상승  100,59400.0,60400.0,58900.0,8775.0,KPX홀딩스,092230
2021-02-19,59600.0,상승  100,59600.0,59800.0,58500.0,5162.0,KPX홀딩스,092230
2021-02-22,58800.0,하락  800,59900.0,60000.0,58600.0,7860.0,KPX홀딩스,092230
2021-02-23,58600.0,하락  200,58300.0,58800.0,58300.0,5260.0,KPX홀딩스,092230
2021-02-24,58000.0,하락  600,59300.0,59400.0,57100.0,7912.0,KPX홀딩스,092230
2021-02-25,58500.0,상승  500,58100.0,58600.0,57600.0,5322.0,KPX홀딩스,092230
2021-02-26,57500.0,"하락  1,000",57900.0,57900.0,56600.0,7274.0,KPX홀딩스,092230
2021-03-02,57500.0,보합0,57800.0,58000.0,57300.0,2980.0,KPX홀딩스,092230
2021-03-03,57200.0,하락  300,57400.0,57700.0,56900.0,3733.0,KPX홀딩스,092230
2021-03-04,56400.0,하락  800,56700.0,57000.0,56000.0,8181.0,KPX홀딩스,092230
2021-03-05,55900.0,하락  500,56000.0,57000.0,55000.0,8023.0,KPX홀딩스,092230
2021-03-08,56300.0,상승  400,56400.0,57000.0,55900.0,4345.0,KPX홀딩스,092230
2021-03-09,55200.0,"하락  1,100",56500.0,56600.0,54900.0,7677.0,KPX홀딩스,092230
2021-03-10,55300.0,상승  100,55700.0,56700.0,54600.0,5983.0,KPX홀딩스,092230
2021-03-11,55300.0,보합0,55000.0,59000.0,55000.0,26961.0,KPX홀딩스,092230
2021-03-12,56100.0,상승  800,55700.0,56600.0,55700.0,5432.0,KPX홀딩스,092230
2021-03-15,57300.0,"상승  1,200",56900.0,57400.0,56100.0,6533.0,KPX홀딩스,092230
2021-03-16,57100.0,하락  200,57300.0,57700.0,56000.0,12471.0,KPX홀딩스,092230
2021-03-17,57300.0,상승  200,57500.0,58400.0,57100.0,9320.0,KPX홀딩스,092230
2021-03-18,57900.0,상승  600,57300.0,58100.0,56800.0,8447.0,KPX홀딩스,092230
2021-03-19,57500.0,하락  400,57800.0,58400.0,57000.0,6531.0,KPX홀딩스,092230
2021-03-22,57700.0,상승  200,57800.0,58000.0,57100.0,8155.0,KPX홀딩스,092230
2021-03-23,58300.0,상승  600,57400.0,59200.0,57300.0,19044.0,KPX홀딩스,092230
2021-03-24,57800.0,하락  500,58800.0,59300.0,57700.0,13092.0,KPX홀딩스,092230
2021-03-25,57800.0,보합0,57800.0,58300.0,57600.0,5099.0,KPX홀딩스,092230
2021-03-26,58200.0,상승  400,58000.0,58400.0,57800.0,9127.0,KPX홀딩스,092230
2021-03-29,60000.0,"상승  1,800",58400.0,60200.0,58300.0,14517.0,KPX홀딩스,092230
2021-03-30,59900.0,하락  100,59500.0,60000.0,59500.0,6163.0,KPX홀딩스,092230
2021-03-31,60200.0,상승  300,59800.0,60700.0,59700.0,9039.0,KPX홀딩스,092230
2021-04-01,61500.0,"상승  1,300",60400.0,61500.0,59000.0,15818.0,KPX홀딩스,092230
2021-04-02,62600.0,"상승  1,100",61600.0,62600.0,61000.0,17668.0,KPX홀딩스,092230
2021-04-05,62300.0,하락  300,63100.0,63200.0,61800.0,13731.0,KPX홀딩스,092230
2021-04-06,62100.0,하락  200,62600.0,62700.0,61900.0,11015.0,KPX홀딩스,092230
2021-04-07,63000.0,상승  900,62100.0,63200.0,62100.0,15862.0,KPX홀딩스,092230
2021-04-08,63000.0,보합0,63300.0,63300.0,62100.0,10583.0,KPX홀딩스,092230
2021-04-09,62900.0,하락  100,63000.0,63100.0,62200.0,7677.0,KPX홀딩스,092230
2021-04-12,63100.0,상승  200,63000.0,63200.0,62500.0,9644.0,KPX홀딩스,092230
2021-04-13,64600.0,"상승  1,500",63100.0,64800.0,63100.0,25539.0,KPX홀딩스,092230
