날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6900.0,하락  360,6700.0,6990.0,6410.0,190104.0,KSS해운,044450
2020-03-16,6650.0,하락  250,7050.0,7050.0,6610.0,72565.0,KSS해운,044450
2020-03-17,6520.0,하락  130,6400.0,6750.0,6300.0,47102.0,KSS해운,044450
2020-03-18,6350.0,하락  170,6480.0,6860.0,6350.0,67450.0,KSS해운,044450
2020-03-19,5680.0,하락  670,6350.0,6370.0,5300.0,128546.0,KSS해운,044450
2020-03-20,5940.0,상승  260,5910.0,5950.0,5500.0,84761.0,KSS해운,044450
2020-03-23,5640.0,하락  300,5510.0,5880.0,5510.0,49897.0,KSS해운,044450
2020-03-24,5880.0,상승  240,5700.0,5900.0,5640.0,95048.0,KSS해운,044450
2020-03-25,6120.0,상승  240,5890.0,6280.0,5890.0,46503.0,KSS해운,044450
2020-03-26,6270.0,상승  150,6230.0,6390.0,6120.0,47586.0,KSS해운,044450
2020-03-27,6370.0,상승  100,6390.0,6450.0,6270.0,57419.0,KSS해운,044450
2020-03-30,6400.0,상승  30,6440.0,6440.0,6190.0,29592.0,KSS해운,044450
2020-03-31,6640.0,상승  240,6500.0,6800.0,6440.0,40504.0,KSS해운,044450
2020-04-01,6650.0,상승  10,6640.0,6760.0,6500.0,28664.0,KSS해운,044450
2020-04-02,6600.0,하락  50,6600.0,6660.0,6510.0,24267.0,KSS해운,044450
2020-04-03,6760.0,상승  160,7050.0,7050.0,6650.0,32222.0,KSS해운,044450
2020-04-06,6890.0,상승  130,6850.0,6990.0,6690.0,49263.0,KSS해운,044450
2020-04-07,7080.0,상승  190,7220.0,7220.0,6750.0,62649.0,KSS해운,044450
2020-04-08,6940.0,하락  140,7080.0,7090.0,6870.0,29840.0,KSS해운,044450
2020-04-09,6970.0,상승  30,6950.0,7010.0,6910.0,31994.0,KSS해운,044450
2020-04-10,7040.0,상승  70,7040.0,7040.0,6870.0,25605.0,KSS해운,044450
2020-04-13,7060.0,상승  20,7040.0,7170.0,6890.0,56673.0,KSS해운,044450
2020-04-14,7140.0,상승  80,7140.0,7190.0,7040.0,35035.0,KSS해운,044450
2020-04-16,7130.0,하락  10,7030.0,7150.0,7030.0,7852.0,KSS해운,044450
2020-04-17,7120.0,하락  10,7130.0,7270.0,7100.0,42332.0,KSS해운,044450
2020-04-20,7030.0,하락  90,7140.0,7210.0,7000.0,35745.0,KSS해운,044450
2020-04-21,6980.0,하락  50,7050.0,7050.0,6790.0,45799.0,KSS해운,044450
2020-04-22,6990.0,상승  10,6900.0,6990.0,6820.0,29898.0,KSS해운,044450
2020-04-23,7100.0,상승  110,7010.0,7150.0,6940.0,44901.0,KSS해운,044450
2020-04-24,6900.0,하락  200,7530.0,8640.0,6900.0,1484482.0,KSS해운,044450
