날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1565.0,하락  30,1615.0,1710.0,1510.0,1574904.0,KTcs,058850
2020-03-17,1450.0,하락  115,1430.0,1520.0,1380.0,2125958.0,KTcs,058850
2020-03-18,1415.0,하락  35,1650.0,1760.0,1400.0,6706639.0,KTcs,058850
2020-03-19,1220.0,하락  195,1420.0,1460.0,1200.0,1441686.0,KTcs,058850
2020-03-20,1275.0,상승  55,1220.0,1285.0,1220.0,1146094.0,KTcs,058850
2020-03-23,1195.0,하락  80,1200.0,1220.0,1160.0,687384.0,KTcs,058850
2020-03-24,1265.0,상승  70,1220.0,1285.0,1220.0,773839.0,KTcs,058850
2020-03-25,1340.0,상승  75,1300.0,1350.0,1290.0,1118106.0,KTcs,058850
2020-03-26,1405.0,상승  65,1360.0,1440.0,1315.0,1931719.0,KTcs,058850
2020-03-27,1420.0,상승  15,1505.0,1515.0,1375.0,1680677.0,KTcs,058850
2020-03-30,1515.0,상승  95,1375.0,1560.0,1360.0,2848407.0,KTcs,058850
2020-03-31,1535.0,상승  20,1530.0,1605.0,1500.0,1836811.0,KTcs,058850
2020-04-01,1555.0,상승  20,1655.0,1695.0,1535.0,2829147.0,KTcs,058850
2020-04-02,1590.0,상승  35,1540.0,1590.0,1475.0,791755.0,KTcs,058850
2020-04-03,1560.0,하락  30,1590.0,1595.0,1530.0,525038.0,KTcs,058850
2020-04-06,1615.0,상승  55,1555.0,1620.0,1540.0,1546160.0,KTcs,058850
2020-04-07,1665.0,상승  50,1775.0,1775.0,1645.0,2523326.0,KTcs,058850
2020-04-08,1660.0,하락  5,1645.0,1685.0,1610.0,817355.0,KTcs,058850
2020-04-09,1675.0,상승  15,1680.0,1690.0,1655.0,508224.0,KTcs,058850
2020-04-10,1650.0,하락  25,1670.0,1710.0,1610.0,596579.0,KTcs,058850
2020-04-13,1620.0,하락  30,1645.0,1660.0,1610.0,401408.0,KTcs,058850
2020-04-14,1750.0,상승  130,1630.0,1755.0,1615.0,2055252.0,KTcs,058850
2020-04-16,1705.0,하락  45,1705.0,1720.0,1670.0,572029.0,KTcs,058850
2020-04-17,1730.0,상승  25,1720.0,1745.0,1715.0,535184.0,KTcs,058850
2020-04-20,1725.0,하락  5,1725.0,1745.0,1710.0,475079.0,KTcs,058850
2020-04-21,1685.0,하락  40,1720.0,1720.0,1620.0,731640.0,KTcs,058850
2020-04-22,1710.0,상승  25,1670.0,1710.0,1645.0,260891.0,KTcs,058850
2020-04-23,1745.0,상승  35,1715.0,1750.0,1700.0,631791.0,KTcs,058850
2020-04-24,1690.0,하락  55,1725.0,1730.0,1680.0,342825.0,KTcs,058850
2020-04-27,1725.0,상승  35,1700.0,1735.0,1690.0,301260.0,KTcs,058850
2020-04-28,1735.0,상승  10,1740.0,1740.0,1700.0,220228.0,KTcs,058850
2020-04-29,1765.0,상승  30,1750.0,1870.0,1725.0,2442884.0,KTcs,058850
2020-05-04,1755.0,하락  10,1740.0,1785.0,1735.0,499830.0,KTcs,058850
2020-05-06,1790.0,상승  35,1780.0,1795.0,1745.0,459301.0,KTcs,058850
2020-05-07,1830.0,상승  40,1785.0,1835.0,1775.0,601324.0,KTcs,058850
2020-05-08,1850.0,상승  20,1840.0,1880.0,1815.0,989803.0,KTcs,058850
2020-05-11,1845.0,하락  5,1860.0,1870.0,1825.0,475864.0,KTcs,058850
2020-05-12,1815.0,하락  30,1845.0,1865.0,1795.0,378111.0,KTcs,058850
2020-05-13,1820.0,상승  5,1790.0,1825.0,1780.0,205756.0,KTcs,058850
2020-05-14,1785.0,하락  35,1815.0,1815.0,1780.0,162284.0,KTcs,058850
2020-05-15,1785.0,보합0,1785.0,1800.0,1765.0,182329.0,KTcs,058850
2020-05-18,1820.0,상승  35,1795.0,1825.0,1785.0,290381.0,KTcs,058850
