날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,10600.0,하락  900,10450.0,10900.0,10100.0,402570.0,LF,093050
2020-03-16,10500.0,하락  100,10500.0,10850.0,10350.0,230558.0,LF,093050
2020-03-17,10500.0,보합0,9970.0,10650.0,9880.0,217446.0,LF,093050
2020-03-18,10100.0,하락  400,10350.0,10550.0,10100.0,171774.0,LF,093050
2020-03-19,8940.0,"하락  1,160",10250.0,10450.0,8900.0,333806.0,LF,093050
2020-03-20,10300.0,"상승  1,360",8860.0,10300.0,8860.0,208538.0,LF,093050
2020-03-23,9250.0,"하락  1,050",9440.0,9680.0,8950.0,199220.0,LF,093050
2020-03-24,9840.0,상승  590,9300.0,9940.0,9240.0,164796.0,LF,093050
2020-03-25,11000.0,"상승  1,160",9950.0,11300.0,9950.0,191681.0,LF,093050
2020-03-26,10400.0,하락  600,10750.0,11450.0,10400.0,236734.0,LF,093050
2020-03-27,10550.0,상승  150,10900.0,10900.0,10250.0,175337.0,LF,093050
2020-03-30,10550.0,보합0,10400.0,10750.0,10050.0,80108.0,LF,093050
2020-03-31,10750.0,상승  200,10700.0,11250.0,10550.0,151160.0,LF,093050
2020-04-01,10600.0,하락  150,10550.0,11100.0,10500.0,143988.0,LF,093050
2020-04-02,11100.0,상승  500,10500.0,11100.0,10350.0,141630.0,LF,093050
2020-04-03,11500.0,상승  400,10850.0,11700.0,10850.0,161636.0,LF,093050
2020-04-06,11700.0,상승  200,11500.0,11850.0,11500.0,159088.0,LF,093050
2020-04-07,12400.0,상승  700,11900.0,12800.0,11850.0,235269.0,LF,093050
2020-04-08,12350.0,하락  50,12300.0,12600.0,12000.0,119840.0,LF,093050
2020-04-09,12500.0,상승  150,12500.0,12700.0,12300.0,134719.0,LF,093050
2020-04-10,12750.0,상승  250,12500.0,12850.0,12000.0,188162.0,LF,093050
2020-04-13,12300.0,하락  450,12800.0,12800.0,12200.0,80413.0,LF,093050
2020-04-14,12550.0,상승  250,12450.0,12700.0,12350.0,74946.0,LF,093050
2020-04-16,12350.0,하락  200,12400.0,12600.0,12000.0,100197.0,LF,093050
2020-04-17,12700.0,상승  350,12400.0,13400.0,12400.0,212362.0,LF,093050
2020-04-20,12650.0,하락  50,12750.0,13000.0,12550.0,116455.0,LF,093050
2020-04-21,12100.0,하락  550,12500.0,12600.0,11950.0,190468.0,LF,093050
2020-04-22,11950.0,하락  150,11900.0,12000.0,11650.0,133612.0,LF,093050
2020-04-23,12400.0,상승  450,11950.0,12400.0,11900.0,123710.0,LF,093050
2020-04-24,12050.0,하락  350,12400.0,12500.0,11850.0,105401.0,LF,093050
2020-04-27,12850.0,상승  800,12100.0,12950.0,12100.0,173644.0,LF,093050
