날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,11850.0,하락  500,11550.0,12150.0,11100.0,3319611.0,LG유플러스,032640
2020-03-16,11500.0,하락  350,11900.0,12200.0,11350.0,1665304.0,LG유플러스,032640
2020-03-17,11050.0,하락  450,10750.0,11300.0,10750.0,1764657.0,LG유플러스,032640
2020-03-18,10300.0,하락  750,11000.0,11150.0,10200.0,2309109.0,LG유플러스,032640
2020-03-19,9430.0,하락  870,10200.0,10450.0,9310.0,3128963.0,LG유플러스,032640
2020-03-20,9800.0,상승  370,9570.0,9880.0,9500.0,2583759.0,LG유플러스,032640
2020-03-23,9470.0,하락  330,9350.0,9790.0,9210.0,2419664.0,LG유플러스,032640
2020-03-24,9850.0,상승  380,9580.0,9850.0,9370.0,2870350.0,LG유플러스,032640
2020-03-25,10250.0,상승  400,10100.0,10300.0,9910.0,3263266.0,LG유플러스,032640
2020-03-26,10450.0,상승  200,10350.0,10850.0,10200.0,3091020.0,LG유플러스,032640
2020-03-27,10450.0,보합0,10850.0,10950.0,10350.0,2793237.0,LG유플러스,032640
2020-03-30,10450.0,보합0,10200.0,10550.0,10100.0,2462844.0,LG유플러스,032640
2020-03-31,10800.0,상승  350,10600.0,10850.0,10500.0,2699633.0,LG유플러스,032640
2020-04-01,10550.0,하락  250,10700.0,11000.0,10500.0,2266095.0,LG유플러스,032640
2020-04-02,11350.0,상승  800,10900.0,11550.0,10500.0,3139243.0,LG유플러스,032640
2020-04-03,11250.0,하락  100,11500.0,11700.0,11000.0,1926154.0,LG유플러스,032640
2020-04-06,12250.0,"상승  1,000",11400.0,12300.0,11300.0,3006547.0,LG유플러스,032640
2020-04-07,12050.0,하락  200,12400.0,12550.0,11800.0,3024409.0,LG유플러스,032640
2020-04-08,11950.0,하락  100,12050.0,12350.0,11750.0,2024905.0,LG유플러스,032640
2020-04-09,12050.0,상승  100,12200.0,12250.0,11950.0,1617904.0,LG유플러스,032640
2020-04-10,11950.0,하락  100,12050.0,12100.0,11800.0,1925549.0,LG유플러스,032640
2020-04-13,11650.0,하락  300,11950.0,12000.0,11550.0,1882273.0,LG유플러스,032640
2020-04-14,12300.0,상승  650,11800.0,12300.0,11700.0,1987722.0,LG유플러스,032640
2020-04-16,12150.0,하락  150,12000.0,12200.0,11800.0,1958525.0,LG유플러스,032640
2020-04-17,12150.0,보합0,12350.0,12400.0,12150.0,2162381.0,LG유플러스,032640
2020-04-20,12400.0,상승  250,12200.0,12700.0,12200.0,2437088.0,LG유플러스,032640
2020-04-21,12350.0,하락  50,12300.0,12550.0,12100.0,2257924.0,LG유플러스,032640
2020-04-22,12650.0,상승  300,12300.0,12950.0,12200.0,3430791.0,LG유플러스,032640
2020-04-23,12950.0,상승  300,12700.0,13150.0,12700.0,2088963.0,LG유플러스,032640
2020-04-24,12750.0,하락  200,12950.0,13050.0,12700.0,1606398.0,LG유플러스,032640
2020-04-27,13200.0,상승  450,12850.0,13300.0,12700.0,1433740.0,LG유플러스,032640
2020-04-28,13050.0,하락  150,13100.0,13300.0,12950.0,1600645.0,LG유플러스,032640
2020-04-29,13350.0,상승  300,13100.0,13350.0,13050.0,1690838.0,LG유플러스,032640
2020-05-04,12750.0,하락  600,13100.0,13200.0,12750.0,2183559.0,LG유플러스,032640
2020-05-06,12700.0,하락  50,12850.0,12950.0,12550.0,1989007.0,LG유플러스,032640
2020-05-07,13100.0,상승  400,12700.0,13250.0,12550.0,2387208.0,LG유플러스,032640
2020-05-08,13100.0,보합0,13200.0,13600.0,13100.0,2211679.0,LG유플러스,032640
2020-05-11,13450.0,상승  350,13150.0,13600.0,13150.0,2446433.0,LG유플러스,032640
2020-05-12,13850.0,상승  400,13450.0,14100.0,13450.0,3398007.0,LG유플러스,032640
2020-05-13,14200.0,상승  350,13900.0,14250.0,13850.0,1853301.0,LG유플러스,032640
2020-05-14,14000.0,하락  200,14250.0,14250.0,13850.0,2082929.0,LG유플러스,032640
2020-05-15,13850.0,하락  150,14050.0,14100.0,13750.0,1694826.0,LG유플러스,032640
2020-05-18,13650.0,하락  200,13900.0,14050.0,13500.0,2467603.0,LG유플러스,032640
2020-05-19,13600.0,하락  50,13750.0,13850.0,13500.0,1985962.0,LG유플러스,032640
2020-05-20,13550.0,하락  50,13600.0,13750.0,13450.0,2072518.0,LG유플러스,032640
2020-05-21,13350.0,하락  200,13650.0,13650.0,13250.0,2716514.0,LG유플러스,032640
2020-05-22,13150.0,하락  200,13300.0,13450.0,13050.0,1930122.0,LG유플러스,032640
2020-05-25,13250.0,상승  100,13300.0,13450.0,13150.0,1560940.0,LG유플러스,032640
2020-05-26,13300.0,상승  50,13300.0,13300.0,13100.0,1894666.0,LG유플러스,032640
2020-05-27,13150.0,하락  150,13250.0,13350.0,13050.0,2148099.0,LG유플러스,032640
2020-05-28,13000.0,하락  150,13100.0,13150.0,12900.0,2238184.0,LG유플러스,032640
2020-05-29,13150.0,상승  150,12950.0,13150.0,12850.0,2933185.0,LG유플러스,032640
