날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,52500.0,"하락  3,000",51100.0,54500.0,50600.0,1968749.0,LG전자,066570
2020-03-16,50400.0,"하락  2,100",53100.0,54200.0,50400.0,948845.0,LG전자,066570
2020-03-17,49450.0,하락  950,48000.0,52000.0,48000.0,1004008.0,LG전자,066570
2020-03-18,48000.0,"하락  1,450",50200.0,50800.0,47700.0,886739.0,LG전자,066570
2020-03-19,43650.0,"하락  4,350",48900.0,49600.0,43650.0,1601945.0,LG전자,066570
2020-03-20,45100.0,"상승  1,450",44600.0,45700.0,43550.0,1539670.0,LG전자,066570
2020-03-23,41850.0,"하락  3,250",42350.0,42850.0,41600.0,1186795.0,LG전자,066570
2020-03-24,44400.0,"상승  2,550",42700.0,44450.0,42200.0,1316623.0,LG전자,066570
2020-03-25,48500.0,"상승  4,100",48400.0,48850.0,46800.0,1506779.0,LG전자,066570
2020-03-26,49000.0,상승  500,49450.0,51300.0,48600.0,1377158.0,LG전자,066570
2020-03-27,49400.0,상승  400,51300.0,51500.0,48000.0,1110394.0,LG전자,066570
2020-03-30,48500.0,하락  900,48400.0,49200.0,47100.0,937027.0,LG전자,066570
2020-03-31,48200.0,하락  300,49100.0,49500.0,47600.0,1106424.0,LG전자,066570
2020-04-01,48100.0,하락  100,48250.0,50800.0,47850.0,1298461.0,LG전자,066570
2020-04-02,49300.0,"상승  1,200",49100.0,50000.0,48500.0,1071663.0,LG전자,066570
2020-04-03,49850.0,상승  550,50100.0,51200.0,49200.0,963015.0,LG전자,066570
2020-04-06,51100.0,"상승  1,250",50400.0,51100.0,49900.0,868309.0,LG전자,066570
2020-04-07,54500.0,"상승  3,400",52500.0,55600.0,50900.0,2123508.0,LG전자,066570
2020-04-08,53300.0,"하락  1,200",54800.0,54800.0,53300.0,1593974.0,LG전자,066570
2020-04-09,54200.0,상승  900,54200.0,54300.0,53300.0,926771.0,LG전자,066570
2020-04-10,53800.0,하락  400,54100.0,54100.0,53300.0,687486.0,LG전자,066570
2020-04-13,53200.0,하락  600,53800.0,54100.0,52800.0,626957.0,LG전자,066570
2020-04-14,53600.0,상승  400,53600.0,53900.0,53000.0,922591.0,LG전자,066570
2020-04-16,53500.0,하락  100,53100.0,53600.0,52500.0,788724.0,LG전자,066570
2020-04-17,54500.0,"상승  1,000",54300.0,55900.0,53900.0,1414373.0,LG전자,066570
2020-04-20,53800.0,하락  700,54700.0,54800.0,53500.0,809110.0,LG전자,066570
2020-04-21,52600.0,"하락  1,200",53400.0,53500.0,51700.0,1029388.0,LG전자,066570
2020-04-22,52400.0,하락  200,52000.0,52400.0,51300.0,727548.0,LG전자,066570
2020-04-23,53300.0,상승  900,52700.0,53500.0,52500.0,702412.0,LG전자,066570
2020-04-24,52600.0,하락  700,52800.0,53200.0,52300.0,529035.0,LG전자,066570
2020-04-27,53400.0,상승  800,52800.0,53800.0,52700.0,561740.0,LG전자,066570
2020-04-28,53600.0,상승  200,53800.0,54500.0,53100.0,712240.0,LG전자,066570
2020-04-29,54900.0,"상승  1,300",53900.0,55100.0,53600.0,1017067.0,LG전자,066570
2020-05-04,55200.0,상승  300,54000.0,55800.0,53400.0,1119161.0,LG전자,066570
2020-05-06,55500.0,상승  300,56300.0,56400.0,55200.0,805783.0,LG전자,066570
2020-05-07,54700.0,하락  800,55100.0,55100.0,54100.0,754248.0,LG전자,066570
2020-05-08,55200.0,상승  500,55000.0,55500.0,54900.0,632501.0,LG전자,066570
2020-05-11,54500.0,하락  700,55400.0,55700.0,54300.0,536547.0,LG전자,066570
2020-05-12,54500.0,보합0,54600.0,55400.0,54000.0,707739.0,LG전자,066570
2020-05-13,55000.0,상승  500,53800.0,55000.0,53600.0,577061.0,LG전자,066570
2020-05-14,54200.0,하락  800,54500.0,54900.0,53900.0,593689.0,LG전자,066570
2020-05-15,54400.0,상승  200,54200.0,54500.0,53400.0,504474.0,LG전자,066570
2020-05-18,56400.0,"상승  2,000",54800.0,56400.0,54400.0,1005066.0,LG전자,066570
2020-05-19,58200.0,"상승  1,800",57800.0,58600.0,57200.0,1138915.0,LG전자,066570
2020-05-20,58000.0,하락  200,57700.0,58000.0,57100.0,552137.0,LG전자,066570
2020-05-21,57200.0,하락  800,58000.0,58300.0,57000.0,709139.0,LG전자,066570
2020-05-22,56300.0,하락  900,57200.0,57300.0,55900.0,518452.0,LG전자,066570
2020-05-25,56100.0,하락  200,56600.0,56600.0,55400.0,478311.0,LG전자,066570
2020-05-26,57100.0,"상승  1,000",56300.0,57800.0,56200.0,674912.0,LG전자,066570
2020-05-27,59500.0,"상승  2,400",57500.0,60000.0,57400.0,1707086.0,LG전자,066570
2020-05-28,58500.0,"하락  1,000",59700.0,59800.0,57400.0,1094166.0,LG전자,066570
2020-05-29,59300.0,상승  800,57900.0,59300.0,57500.0,900113.0,LG전자,066570
2020-06-01,59200.0,하락  100,59000.0,59500.0,58500.0,550906.0,LG전자,066570
2020-06-02,60000.0,상승  800,59200.0,61000.0,59200.0,846026.0,LG전자,066570
2020-06-03,62100.0,"상승  2,100",60500.0,62400.0,60500.0,1433963.0,LG전자,066570
2020-06-04,62200.0,상승  100,62800.0,63100.0,61200.0,934862.0,LG전자,066570
2020-06-05,63000.0,상승  800,62200.0,63000.0,61700.0,860924.0,LG전자,066570
2020-06-08,64000.0,"상승  1,000",64500.0,64500.0,63000.0,975466.0,LG전자,066570
2020-06-09,66600.0,"상승  2,600",64800.0,67100.0,64500.0,1897513.0,LG전자,066570
2020-06-10,70100.0,"상승  3,500",67400.0,70400.0,66600.0,2744224.0,LG전자,066570
2020-06-11,69000.0,"하락  1,100",69500.0,70800.0,67500.0,1942350.0,LG전자,066570
2020-06-12,67800.0,"하락  1,200",65300.0,68900.0,65200.0,1689624.0,LG전자,066570
2020-06-15,62900.0,"하락  4,900",67000.0,67100.0,62800.0,1545344.0,LG전자,066570
2020-06-16,65200.0,"상승  2,300",65100.0,66100.0,64400.0,1220699.0,LG전자,066570
2020-06-17,68200.0,"상승  3,000",64700.0,68300.0,64600.0,1576915.0,LG전자,066570
2020-06-18,67800.0,하락  400,68000.0,69200.0,66900.0,946224.0,LG전자,066570
2020-06-19,68800.0,"상승  1,000",68500.0,68800.0,65900.0,861053.0,LG전자,066570
2020-06-22,67500.0,"하락  1,300",67900.0,68500.0,67300.0,632910.0,LG전자,066570
2020-06-23,66600.0,하락  900,68100.0,68100.0,65000.0,849668.0,LG전자,066570
2020-06-24,67000.0,상승  400,66400.0,68000.0,66200.0,622511.0,LG전자,066570
2020-06-25,64700.0,"하락  2,300",65600.0,66000.0,64600.0,798688.0,LG전자,066570
2020-06-26,64700.0,보합0,65500.0,65500.0,64500.0,528872.0,LG전자,066570
2020-06-29,63500.0,"하락  1,200",63800.0,64000.0,62500.0,756841.0,LG전자,066570
2020-06-30,63200.0,하락  300,64000.0,64500.0,63200.0,648411.0,LG전자,066570
2020-07-01,64400.0,"상승  1,200",64000.0,65400.0,63600.0,564319.0,LG전자,066570
2020-07-02,64600.0,상승  200,64500.0,65200.0,64000.0,451291.0,LG전자,066570
2020-07-03,65000.0,상승  400,65000.0,65400.0,64100.0,494161.0,LG전자,066570
2020-07-06,68100.0,"상승  3,100",65500.0,68800.0,65000.0,1461414.0,LG전자,066570
