날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,340500.0,"하락  1,000",315000.0,343500.0,313000.0,899561.0,LG화학,051910
2020-03-16,312500.0,"하락  28,000",343000.0,348000.0,312500.0,747892.0,LG화학,051910
2020-03-17,306500.0,"하락  6,000",295000.0,315500.0,294500.0,819960.0,LG화학,051910
2020-03-18,280000.0,"하락  26,500",307500.0,312000.0,280000.0,946373.0,LG화학,051910
2020-03-19,230000.0,"하락  50,000",284500.0,285500.0,230000.0,1394682.0,LG화학,051910
2020-03-20,272500.0,"상승  42,500",246000.0,273000.0,242000.0,1306067.0,LG화학,051910
2020-03-23,268000.0,"하락  4,500",249500.0,286500.0,248500.0,947838.0,LG화학,051910
2020-03-24,288000.0,"상승  20,000",283500.0,297500.0,274000.0,966345.0,LG화학,051910
2020-03-25,307500.0,"상승  19,500",310000.0,316500.0,296500.0,803831.0,LG화학,051910
2020-03-26,299500.0,"하락  8,000",309500.0,314000.0,297500.0,720792.0,LG화학,051910
2020-03-27,303500.0,"상승  4,000",313000.0,314500.0,292500.0,648602.0,LG화학,051910
2020-03-30,303000.0,하락  500,291000.0,307000.0,289500.0,473701.0,LG화학,051910
2020-03-31,305000.0,"상승  2,000",306500.0,309500.0,298500.0,492967.0,LG화학,051910
2020-04-01,292000.0,"하락  13,000",305000.0,307000.0,292000.0,599459.0,LG화학,051910
2020-04-02,291000.0,"하락  1,000",292000.0,294500.0,280000.0,688886.0,LG화학,051910
2020-04-03,290500.0,하락  500,300000.0,304500.0,285500.0,540101.0,LG화학,051910
2020-04-06,296500.0,"상승  6,000",295000.0,297000.0,290500.0,494846.0,LG화학,051910
2020-04-07,309000.0,"상승  12,500",307000.0,309500.0,301000.0,717617.0,LG화학,051910
2020-04-08,313000.0,"상승  4,000",308500.0,319500.0,306500.0,616801.0,LG화학,051910
2020-04-09,324500.0,"상승  11,500",319000.0,324500.0,317000.0,470177.0,LG화학,051910
2020-04-10,324000.0,하락  500,324500.0,326000.0,318500.0,313697.0,LG화학,051910
2020-04-13,315000.0,"하락  9,000",325500.0,325500.0,314000.0,298575.0,LG화학,051910
2020-04-14,326500.0,"상승  11,500",327500.0,329000.0,321000.0,436161.0,LG화학,051910
2020-04-16,343000.0,"상승  16,500",327500.0,345000.0,327000.0,621763.0,LG화학,051910
2020-04-17,362500.0,"상승  19,500",352500.0,376000.0,352000.0,753764.0,LG화학,051910
2020-04-20,351500.0,"하락  11,000",362500.0,369500.0,351000.0,504864.0,LG화학,051910
2020-04-21,354000.0,"상승  2,500",348000.0,359500.0,343500.0,710608.0,LG화학,051910
2020-04-22,355000.0,"상승  1,000",346500.0,357000.0,345500.0,362008.0,LG화학,051910
2020-04-23,361000.0,"상승  6,000",360000.0,361500.0,356500.0,343123.0,LG화학,051910
2020-04-24,353500.0,"하락  7,500",358000.0,358500.0,350000.0,270535.0,LG화학,051910
2020-04-27,353500.0,보합0,353500.0,357000.0,348000.0,445576.0,LG화학,051910
2020-04-28,362500.0,"상승  9,000",365000.0,371500.0,354000.0,582497.0,LG화학,051910
2020-04-29,376500.0,"상승  14,000",368000.0,376500.0,365000.0,566265.0,LG화학,051910
2020-05-04,360000.0,"하락  16,500",361000.0,366000.0,358000.0,669179.0,LG화학,051910
2020-05-06,361000.0,"상승  1,000",366500.0,366500.0,356500.0,344167.0,LG화학,051910
2020-05-07,354000.0,"하락  7,000",358000.0,361000.0,352500.0,431374.0,LG화학,051910
2020-05-08,352500.0,"하락  1,500",349000.0,356500.0,346500.0,678484.0,LG화학,051910
2020-05-11,346500.0,"하락  6,000",351500.0,354000.0,345000.0,629395.0,LG화학,051910
2020-05-12,338000.0,"하락  8,500",346000.0,346000.0,336500.0,554982.0,LG화학,051910
2020-05-13,352000.0,"상승  14,000",330000.0,352500.0,330000.0,861294.0,LG화학,051910
2020-05-14,344500.0,"하락  7,500",348000.0,351000.0,341000.0,399418.0,LG화학,051910
2020-05-15,346500.0,"상승  2,000",348500.0,349500.0,343000.0,364374.0,LG화학,051910
2020-05-18,354000.0,"상승  7,500",349500.0,356000.0,346000.0,408948.0,LG화학,051910
2020-05-19,357000.0,"상승  3,000",363500.0,364000.0,356500.0,395494.0,LG화학,051910
2020-05-20,362500.0,"상승  5,500",352500.0,362500.0,351500.0,358098.0,LG화학,051910
2020-05-21,377500.0,"상승  15,000",367000.0,385000.0,365000.0,1033430.0,LG화학,051910
