날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,3650.0,하락  65,3740.0,3740.0,3625.0,324130.0,LS네트웍스,000680
2025-05-16,3630.0,하락  20,3660.0,3660.0,3525.0,370990.0,LS네트웍스,000680
2025-05-19,3425.0,하락  205,3595.0,3605.0,3390.0,397543.0,LS네트웍스,000680
2025-05-20,3550.0,상승  125,3450.0,3585.0,3450.0,324937.0,LS네트웍스,000680
2025-05-21,3555.0,상승  5,3515.0,3575.0,3510.0,165648.0,LS네트웍스,000680
2025-05-22,3485.0,하락  70,3540.0,3730.0,3460.0,405076.0,LS네트웍스,000680
2025-05-23,3510.0,상승  25,3470.0,3550.0,3455.0,160059.0,LS네트웍스,000680
2025-05-26,3550.0,상승  40,3495.0,3585.0,3480.0,200386.0,LS네트웍스,000680
2025-05-27,3465.0,하락  85,3550.0,3555.0,3405.0,312309.0,LS네트웍스,000680
2025-05-28,3480.0,상승  15,3465.0,3535.0,3460.0,203307.0,LS네트웍스,000680
