날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,29350.0,"하락  1,600",31700.0,32250.0,29350.0,109330.0,LX세미콘,108320
2020-03-17,31250.0,"상승  1,900",26900.0,31300.0,26900.0,200895.0,LX세미콘,108320
2020-03-18,27000.0,"하락  4,250",31300.0,31300.0,27000.0,232082.0,LX세미콘,108320
2020-03-19,24000.0,"하락  3,000",27650.0,28000.0,23550.0,307080.0,LX세미콘,108320
2020-03-20,28400.0,"상승  4,400",24100.0,28450.0,24050.0,231059.0,LX세미콘,108320
2020-03-23,25150.0,"하락  3,250",26100.0,26650.0,24350.0,213429.0,LX세미콘,108320
2020-03-24,28250.0,"상승  3,100",26800.0,28250.0,25150.0,250320.0,LX세미콘,108320
2020-03-25,28200.0,하락  50,29000.0,29400.0,27550.0,270548.0,LX세미콘,108320
2020-03-26,27300.0,하락  900,28250.0,28850.0,27250.0,285712.0,LX세미콘,108320
2020-03-27,27500.0,상승  200,28400.0,28800.0,27200.0,220292.0,LX세미콘,108320
2020-03-30,27000.0,하락  500,26600.0,27250.0,26150.0,184195.0,LX세미콘,108320
2020-03-31,27550.0,상승  550,27300.0,28250.0,27000.0,195642.0,LX세미콘,108320
2020-04-01,26950.0,하락  600,27100.0,28350.0,26700.0,246589.0,LX세미콘,108320
2020-04-02,27900.0,상승  950,27100.0,27900.0,26950.0,125798.0,LX세미콘,108320
2020-04-03,27950.0,상승  50,27850.0,28250.0,27500.0,105455.0,LX세미콘,108320
2020-04-06,29600.0,"상승  1,650",28100.0,29650.0,27700.0,149451.0,LX세미콘,108320
2020-04-07,30300.0,상승  700,30500.0,30900.0,29600.0,157667.0,LX세미콘,108320
2020-04-08,30050.0,하락  250,30100.0,30500.0,29600.0,124823.0,LX세미콘,108320
2020-04-09,29800.0,하락  250,30650.0,30800.0,29550.0,141602.0,LX세미콘,108320
2020-04-10,29750.0,하락  50,30000.0,30100.0,29000.0,152750.0,LX세미콘,108320
2020-04-13,28400.0,"하락  1,350",29600.0,29600.0,28400.0,125840.0,LX세미콘,108320
2020-04-14,28950.0,상승  550,28900.0,29300.0,28650.0,100117.0,LX세미콘,108320
2020-04-16,29200.0,상승  250,28600.0,29350.0,28250.0,128505.0,LX세미콘,108320
2020-04-17,30650.0,"상승  1,450",30000.0,30750.0,29700.0,262512.0,LX세미콘,108320
2020-04-20,30250.0,하락  400,30900.0,30950.0,29900.0,183667.0,LX세미콘,108320
2020-04-21,29700.0,하락  550,30350.0,30350.0,28850.0,158389.0,LX세미콘,108320
2020-04-22,28850.0,하락  850,29050.0,29150.0,28350.0,206894.0,LX세미콘,108320
2020-04-23,29250.0,상승  400,29150.0,29500.0,29000.0,152113.0,LX세미콘,108320
2020-04-24,28750.0,하락  500,28800.0,29700.0,28400.0,188652.0,LX세미콘,108320
2020-04-27,29450.0,상승  700,28950.0,29700.0,28950.0,97495.0,LX세미콘,108320
2020-04-28,29750.0,상승  300,29600.0,30050.0,29100.0,126003.0,LX세미콘,108320
2020-04-29,30150.0,상승  400,29850.0,30350.0,29650.0,132272.0,LX세미콘,108320
2020-05-04,29600.0,하락  550,29750.0,30250.0,29400.0,100495.0,LX세미콘,108320
2020-05-06,30350.0,상승  750,30000.0,30350.0,29700.0,115087.0,LX세미콘,108320
2020-05-07,31050.0,상승  700,30350.0,31200.0,30150.0,161285.0,LX세미콘,108320
2020-05-08,32100.0,"상승  1,050",31200.0,32150.0,31050.0,168346.0,LX세미콘,108320
2020-05-11,31250.0,하락  850,32300.0,32400.0,31250.0,152510.0,LX세미콘,108320
2020-05-12,30450.0,하락  800,31100.0,31450.0,30250.0,113172.0,LX세미콘,108320
2020-05-13,30500.0,상승  50,29850.0,30800.0,29700.0,95740.0,LX세미콘,108320
2020-05-14,29950.0,하락  550,30150.0,30350.0,29750.0,86818.0,LX세미콘,108320
2020-05-15,32250.0,"상승  2,300",30250.0,32250.0,30100.0,266766.0,LX세미콘,108320
2020-05-18,34900.0,"상승  2,650",33150.0,35400.0,32200.0,688519.0,LX세미콘,108320
2020-05-19,36500.0,"상승  1,600",35650.0,36700.0,34750.0,373670.0,LX세미콘,108320
2020-05-20,37200.0,상승  700,36450.0,38200.0,36000.0,328072.0,LX세미콘,108320
2020-05-21,37200.0,보합0,37500.0,38450.0,36950.0,271653.0,LX세미콘,108320
2020-05-22,35900.0,"하락  1,300",36850.0,36950.0,35500.0,216772.0,LX세미콘,108320
2020-05-25,37850.0,"상승  1,950",36350.0,38500.0,36350.0,328316.0,LX세미콘,108320
2020-05-26,38150.0,상승  300,38050.0,38350.0,37600.0,181016.0,LX세미콘,108320
2020-05-27,38250.0,상승  100,38200.0,38450.0,37800.0,149030.0,LX세미콘,108320
2020-05-28,37500.0,하락  750,38600.0,39650.0,37000.0,327428.0,LX세미콘,108320
2020-05-29,36950.0,하락  550,37000.0,38100.0,36750.0,163849.0,LX세미콘,108320
2020-06-01,40950.0,"상승  4,000",37650.0,41350.0,37550.0,609521.0,LX세미콘,108320
2020-06-02,40450.0,하락  500,40500.0,41150.0,39900.0,224499.0,LX세미콘,108320
2020-06-03,40150.0,하락  300,40750.0,40800.0,39100.0,218055.0,LX세미콘,108320
2020-06-04,39600.0,하락  550,40000.0,40200.0,39150.0,146094.0,LX세미콘,108320
2020-06-05,40850.0,"상승  1,250",39650.0,41550.0,39650.0,325839.0,LX세미콘,108320
2020-06-08,41800.0,상승  950,41300.0,41800.0,40200.0,215045.0,LX세미콘,108320
2020-06-09,41800.0,보합0,42300.0,43150.0,41350.0,228614.0,LX세미콘,108320
2020-06-10,41350.0,하락  450,42000.0,42050.0,41350.0,95498.0,LX세미콘,108320
2020-06-11,40050.0,"하락  1,300",41500.0,41500.0,39700.0,280300.0,LX세미콘,108320
2020-06-12,39450.0,하락  600,38000.0,39750.0,37500.0,253097.0,LX세미콘,108320
2020-06-15,36200.0,"하락  3,250",38800.0,39200.0,36200.0,284619.0,LX세미콘,108320
2020-06-16,37700.0,"상승  1,500",37450.0,38200.0,36900.0,168092.0,LX세미콘,108320
2020-06-17,38000.0,상승  300,37300.0,38650.0,37200.0,103801.0,LX세미콘,108320
2020-06-18,38200.0,상승  200,38000.0,39600.0,37350.0,176283.0,LX세미콘,108320
2020-06-19,37200.0,"하락  1,000",38950.0,39200.0,37200.0,443520.0,LX세미콘,108320
2020-06-22,37500.0,상승  300,37450.0,37900.0,36350.0,199752.0,LX세미콘,108320
2020-06-23,38050.0,상승  550,38000.0,39000.0,37100.0,199988.0,LX세미콘,108320
2020-06-24,38450.0,상승  400,38200.0,39000.0,37900.0,199515.0,LX세미콘,108320
2020-06-25,37750.0,하락  700,37850.0,38450.0,37300.0,130680.0,LX세미콘,108320
2020-06-26,37900.0,상승  150,38250.0,38700.0,37550.0,142138.0,LX세미콘,108320
2020-06-29,37050.0,하락  850,37400.0,37700.0,36700.0,164760.0,LX세미콘,108320
2020-06-30,38600.0,"상승  1,550",38100.0,39700.0,37750.0,314372.0,LX세미콘,108320
2020-07-01,40550.0,"상승  1,950",39500.0,41550.0,39250.0,448430.0,LX세미콘,108320
2020-07-02,40700.0,상승  150,40550.0,41200.0,39650.0,178063.0,LX세미콘,108320
2020-07-03,42200.0,"상승  1,500",41000.0,42400.0,40550.0,298851.0,LX세미콘,108320
2020-07-06,45450.0,"상승  3,250",42650.0,45900.0,42600.0,546797.0,LX세미콘,108320
2020-07-07,44850.0,하락  600,45450.0,46300.0,43850.0,289353.0,LX세미콘,108320
2020-07-08,44600.0,하락  250,44450.0,45250.0,44000.0,142683.0,LX세미콘,108320
2020-07-09,44750.0,상승  150,44650.0,45150.0,44100.0,175002.0,LX세미콘,108320
2020-07-10,43750.0,"하락  1,000",44750.0,44750.0,42900.0,204906.0,LX세미콘,108320
2020-07-13,45400.0,"상승  1,650",44550.0,46850.0,44300.0,471630.0,LX세미콘,108320
2020-07-14,46650.0,"상승  1,250",45350.0,46850.0,44450.0,269122.0,LX세미콘,108320
2020-07-15,46700.0,상승  50,47050.0,47500.0,45900.0,201130.0,LX세미콘,108320
2020-07-16,44900.0,"하락  1,800",46550.0,46700.0,44550.0,162541.0,LX세미콘,108320
2020-07-17,47100.0,"상승  2,200",44600.0,47500.0,44600.0,250628.0,LX세미콘,108320
2020-07-20,46850.0,하락  250,47200.0,47450.0,46050.0,164312.0,LX세미콘,108320
2020-07-21,46750.0,하락  100,47100.0,47650.0,46500.0,211447.0,LX세미콘,108320
2020-07-22,45550.0,"하락  1,200",46500.0,47100.0,45400.0,172306.0,LX세미콘,108320
2020-07-23,45950.0,상승  400,45500.0,46200.0,44900.0,131457.0,LX세미콘,108320
2020-07-24,44250.0,"하락  1,700",45450.0,45550.0,44100.0,175195.0,LX세미콘,108320
2020-07-27,44900.0,상승  650,44250.0,45350.0,44100.0,113231.0,LX세미콘,108320
2020-07-28,47700.0,"상승  2,800",46400.0,48150.0,46000.0,391009.0,LX세미콘,108320
2020-07-29,49600.0,"상승  1,900",48150.0,49800.0,47400.0,274033.0,LX세미콘,108320
2020-07-30,48500.0,"하락  1,100",50000.0,50000.0,48400.0,129739.0,LX세미콘,108320
2020-07-31,48000.0,하락  500,48200.0,49000.0,47250.0,137434.0,LX세미콘,108320
2020-08-03,47900.0,하락  100,48050.0,49300.0,47200.0,82596.0,LX세미콘,108320
2020-08-04,47450.0,하락  450,48000.0,48750.0,47300.0,99487.0,LX세미콘,108320
2020-08-05,48200.0,상승  750,47650.0,48750.0,47650.0,140650.0,LX세미콘,108320
2020-08-06,47700.0,하락  500,48550.0,48550.0,47450.0,99936.0,LX세미콘,108320
2020-08-07,47000.0,하락  700,47700.0,48200.0,46750.0,137548.0,LX세미콘,108320
2020-08-10,46550.0,하락  450,47000.0,47350.0,46300.0,183426.0,LX세미콘,108320
2020-08-11,45300.0,"하락  1,250",46600.0,46800.0,44900.0,247376.0,LX세미콘,108320
2020-08-12,45150.0,하락  150,45050.0,45150.0,43550.0,224691.0,LX세미콘,108320
2020-08-13,44550.0,하락  600,45650.0,45700.0,44450.0,148777.0,LX세미콘,108320
2020-08-14,43200.0,"하락  1,350",44650.0,45100.0,43200.0,232797.0,LX세미콘,108320
2020-08-18,41300.0,"하락  1,900",43950.0,44300.0,40700.0,306331.0,LX세미콘,108320
2020-08-19,42400.0,"상승  1,100",42600.0,42600.0,40650.0,220146.0,LX세미콘,108320
2020-08-20,42500.0,상승  100,42650.0,45000.0,41900.0,437765.0,LX세미콘,108320
2020-08-21,45300.0,"상승  2,800",43900.0,46100.0,43400.0,390534.0,LX세미콘,108320
2020-08-24,47100.0,"상승  1,800",45000.0,47650.0,44500.0,389200.0,LX세미콘,108320
2020-08-25,47900.0,상승  800,47950.0,48450.0,47050.0,270406.0,LX세미콘,108320
2020-08-26,46300.0,"하락  1,600",47450.0,47450.0,45850.0,273555.0,LX세미콘,108320
2020-08-27,45450.0,하락  850,46600.0,46600.0,45050.0,199462.0,LX세미콘,108320
2020-08-28,46150.0,상승  700,45900.0,46650.0,44900.0,181582.0,LX세미콘,108320
2020-08-31,45100.0,"하락  1,050",46950.0,46950.0,44600.0,180042.0,LX세미콘,108320
2020-09-01,46400.0,"상승  1,300",46000.0,47350.0,45300.0,340371.0,LX세미콘,108320
2020-09-02,50400.0,"상승  4,000",48550.0,51800.0,47550.0,891280.0,LX세미콘,108320
2020-09-03,50100.0,하락  300,50300.0,50600.0,49600.0,220815.0,LX세미콘,108320
2020-09-04,48150.0,"하락  1,950",47700.0,48450.0,47150.0,315990.0,LX세미콘,108320
2020-09-07,48150.0,보합0,48150.0,48850.0,47300.0,167767.0,LX세미콘,108320
2020-09-08,48050.0,하락  100,48250.0,48750.0,47550.0,153641.0,LX세미콘,108320
2020-09-09,46300.0,"하락  1,750",47150.0,47550.0,46250.0,216061.0,LX세미콘,108320
2020-09-10,48250.0,"상승  1,950",47900.0,50500.0,47850.0,576060.0,LX세미콘,108320
2020-09-11,48550.0,상승  300,48250.0,49000.0,47650.0,153338.0,LX세미콘,108320
2020-09-14,48100.0,하락  450,49000.0,49000.0,48000.0,116809.0,LX세미콘,108320
2020-09-15,47950.0,하락  150,48250.0,48300.0,47100.0,163213.0,LX세미콘,108320
2020-09-16,47250.0,하락  700,48150.0,48150.0,47050.0,135384.0,LX세미콘,108320
