날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,36450.0,"하락  1,850",30350.0,36500.0,30350.0,116861.0,LX하우시스,108670
2020-03-16,35300.0,"하락  1,150",36050.0,37050.0,34200.0,46905.0,LX하우시스,108670
2020-03-17,36650.0,"상승  1,350",32100.0,36650.0,32100.0,44354.0,LX하우시스,108670
2020-03-18,35250.0,"하락  1,400",36000.0,36550.0,34750.0,39370.0,LX하우시스,108670
2020-03-19,31450.0,"하락  3,800",35600.0,36200.0,31050.0,82369.0,LX하우시스,108670
2020-03-20,36750.0,"상승  5,300",31450.0,36750.0,30400.0,64513.0,LX하우시스,108670
2020-03-23,33550.0,"하락  3,200",33000.0,35200.0,32000.0,52556.0,LX하우시스,108670
2020-03-24,33600.0,상승  50,35000.0,35150.0,32900.0,91459.0,LX하우시스,108670
2020-03-25,34500.0,상승  900,34200.0,34850.0,33800.0,63816.0,LX하우시스,108670
2020-03-26,35550.0,"상승  1,050",34600.0,36700.0,34550.0,85012.0,LX하우시스,108670
2020-03-27,36200.0,상승  650,36800.0,37400.0,35000.0,52445.0,LX하우시스,108670
2020-03-30,35150.0,"하락  1,050",35200.0,35800.0,34000.0,41284.0,LX하우시스,108670
2020-03-31,35250.0,상승  100,35400.0,36250.0,34600.0,43261.0,LX하우시스,108670
2020-04-01,35600.0,상승  350,34800.0,36450.0,34500.0,49278.0,LX하우시스,108670
2020-04-02,35450.0,하락  150,35200.0,35900.0,34600.0,43861.0,LX하우시스,108670
2020-04-03,34700.0,하락  750,35200.0,35900.0,34200.0,59620.0,LX하우시스,108670
2020-04-06,35850.0,"상승  1,150",35000.0,36350.0,34950.0,59359.0,LX하우시스,108670
2020-04-07,37450.0,"상승  1,600",36800.0,37800.0,36500.0,104871.0,LX하우시스,108670
2020-04-08,37650.0,상승  200,37450.0,38450.0,37100.0,56447.0,LX하우시스,108670
2020-04-09,39150.0,"상승  1,500",38500.0,39500.0,38200.0,67950.0,LX하우시스,108670
2020-04-10,39400.0,상승  250,39250.0,39550.0,38300.0,44393.0,LX하우시스,108670
2020-04-13,38400.0,"하락  1,000",39150.0,39350.0,38350.0,37365.0,LX하우시스,108670
2020-04-14,40000.0,"상승  1,600",38950.0,41000.0,38650.0,72166.0,LX하우시스,108670
2020-04-16,38800.0,"하락  1,200",40000.0,40000.0,37850.0,64774.0,LX하우시스,108670
2020-04-17,39500.0,상승  700,39250.0,39750.0,39200.0,53340.0,LX하우시스,108670
2020-04-20,40000.0,상승  500,39500.0,40600.0,39100.0,46989.0,LX하우시스,108670
2020-04-21,39100.0,하락  900,39900.0,40000.0,38150.0,53655.0,LX하우시스,108670
2020-04-22,39200.0,상승  100,38950.0,39450.0,37750.0,37499.0,LX하우시스,108670
2020-04-23,41800.0,"상승  2,600",39250.0,41800.0,39250.0,145786.0,LX하우시스,108670
