날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,189200.0,"하락  2,000",189800.0,190300.0,188200.0,355097.0,NAVER,035420
2025-05-16,187800.0,"하락  1,400",189100.0,189700.0,187500.0,285272.0,NAVER,035420
2025-05-19,185400.0,"하락  2,400",187600.0,188200.0,184500.0,262018.0,NAVER,035420
2025-05-20,185000.0,하락  400,185800.0,186500.0,184000.0,293512.0,NAVER,035420
2025-05-21,184800.0,하락  200,185900.0,186500.0,184600.0,382117.0,NAVER,035420
2025-05-22,183200.0,"하락  1,600",183200.0,184500.0,181100.0,469433.0,NAVER,035420
2025-05-23,183100.0,하락  100,184100.0,185300.0,182800.0,257074.0,NAVER,035420
2025-05-26,188000.0,"상승  4,900",183100.0,188000.0,181800.0,472314.0,NAVER,035420
2025-05-27,183800.0,"하락  4,200",186200.0,186900.0,183000.0,668670.0,NAVER,035420
2025-05-28,188400.0,"상승  4,600",184600.0,189000.0,184100.0,536464.0,NAVER,035420
