날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4780.0,하락  300,4900.0,5000.0,4580.0,382699.0,NH프라임리츠,338100
2020-03-16,4915.0,상승  135,4780.0,5030.0,4780.0,172359.0,NH프라임리츠,338100
2020-03-17,4950.0,상승  35,4800.0,4950.0,4760.0,112778.0,NH프라임리츠,338100
2020-03-18,4900.0,하락  50,4900.0,5010.0,4885.0,73163.0,NH프라임리츠,338100
2020-03-19,4885.0,하락  15,4850.0,4920.0,4100.0,313995.0,NH프라임리츠,338100
2020-03-20,4880.0,하락  5,5000.0,5000.0,4700.0,108536.0,NH프라임리츠,338100
2020-03-23,4545.0,하락  335,4535.0,4750.0,4490.0,110490.0,NH프라임리츠,338100
2020-03-24,4465.0,하락  80,4560.0,4630.0,4375.0,143749.0,NH프라임리츠,338100
2020-03-25,4580.0,상승  115,4510.0,4620.0,4510.0,104925.0,NH프라임리츠,338100
2020-03-26,4605.0,상승  25,4665.0,4670.0,4565.0,154663.0,NH프라임리츠,338100
2020-03-27,4760.0,상승  155,4725.0,4835.0,4610.0,262766.0,NH프라임리츠,338100
2020-03-30,4820.0,상승  60,4725.0,4820.0,4610.0,111038.0,NH프라임리츠,338100
2020-03-31,4800.0,하락  20,4800.0,4875.0,4775.0,114701.0,NH프라임리츠,338100
2020-04-01,4740.0,하락  60,4810.0,4810.0,4720.0,64958.0,NH프라임리츠,338100
2020-04-02,4665.0,하락  75,4740.0,4740.0,4635.0,72038.0,NH프라임리츠,338100
2020-04-03,4675.0,상승  10,4665.0,4715.0,4655.0,44680.0,NH프라임리츠,338100
2020-04-06,4690.0,상승  15,4675.0,4725.0,4650.0,58847.0,NH프라임리츠,338100
2020-04-07,4740.0,상승  50,4760.0,4760.0,4690.0,46467.0,NH프라임리츠,338100
2020-04-08,4700.0,하락  40,4665.0,4725.0,4665.0,39144.0,NH프라임리츠,338100
2020-04-09,4705.0,상승  5,4755.0,4755.0,4690.0,35597.0,NH프라임리츠,338100
2020-04-10,4700.0,하락  5,4725.0,4730.0,4500.0,48278.0,NH프라임리츠,338100
2020-04-13,4690.0,하락  10,4780.0,4780.0,4680.0,40328.0,NH프라임리츠,338100
