날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,37450.0,"하락  3,800",36500.0,39150.0,35450.0,500873.0,OCI홀딩스,010060
2020-03-16,36700.0,하락  750,37700.0,38750.0,36650.0,259375.0,OCI홀딩스,010060
2020-03-17,36250.0,하락  450,34800.0,36350.0,34750.0,307272.0,OCI홀딩스,010060
2020-03-18,33700.0,"하락  2,550",36400.0,36750.0,33700.0,268644.0,OCI홀딩스,010060
2020-03-19,26600.0,"하락  7,100",33800.0,35000.0,26450.0,613687.0,OCI홀딩스,010060
2020-03-20,30300.0,"상승  3,700",27000.0,30300.0,26600.0,441636.0,OCI홀딩스,010060
2020-03-23,27100.0,"하락  3,200",27600.0,28300.0,26500.0,265349.0,OCI홀딩스,010060
2020-03-24,30150.0,"상승  3,050",28000.0,30150.0,27700.0,286104.0,OCI홀딩스,010060
2020-03-25,33400.0,"상승  3,250",31350.0,33400.0,31100.0,381662.0,OCI홀딩스,010060
2020-03-26,33600.0,상승  200,33600.0,34900.0,32350.0,321872.0,OCI홀딩스,010060
2020-03-27,34200.0,상승  600,35000.0,35350.0,32750.0,269880.0,OCI홀딩스,010060
2020-03-30,33950.0,하락  250,33000.0,34200.0,31900.0,186915.0,OCI홀딩스,010060
2020-03-31,34800.0,상승  850,34500.0,35100.0,33700.0,232298.0,OCI홀딩스,010060
2020-04-01,33450.0,"하락  1,350",34800.0,36150.0,33150.0,240273.0,OCI홀딩스,010060
2020-04-02,34700.0,"상승  1,250",33450.0,35050.0,32550.0,148233.0,OCI홀딩스,010060
2020-04-03,34650.0,하락  50,35100.0,35900.0,33700.0,173183.0,OCI홀딩스,010060
2020-04-06,36200.0,"상승  1,550",34700.0,36200.0,34650.0,186350.0,OCI홀딩스,010060
2020-04-07,37200.0,"상승  1,000",37000.0,37750.0,36350.0,204280.0,OCI홀딩스,010060
2020-04-08,36750.0,하락  450,36650.0,38300.0,36350.0,189641.0,OCI홀딩스,010060
2020-04-09,38500.0,"상승  1,750",37500.0,38500.0,37500.0,217027.0,OCI홀딩스,010060
2020-04-10,38500.0,보합0,38400.0,39100.0,37200.0,212211.0,OCI홀딩스,010060
2020-04-13,37300.0,"하락  1,200",38700.0,38750.0,37200.0,148613.0,OCI홀딩스,010060
2020-04-14,38700.0,"상승  1,400",37550.0,38900.0,37350.0,150756.0,OCI홀딩스,010060
2020-04-16,38550.0,하락  150,37850.0,39000.0,37550.0,147161.0,OCI홀딩스,010060
2020-04-17,39550.0,"상승  1,000",39050.0,40450.0,39050.0,182180.0,OCI홀딩스,010060
2020-04-20,39750.0,상승  200,39400.0,40300.0,39200.0,172224.0,OCI홀딩스,010060
2020-04-21,39150.0,하락  600,39550.0,39900.0,37900.0,189211.0,OCI홀딩스,010060
2020-04-22,39100.0,하락  50,37900.0,39150.0,37650.0,152227.0,OCI홀딩스,010060
2020-04-23,39250.0,상승  150,39200.0,39300.0,38750.0,128204.0,OCI홀딩스,010060
2020-04-24,37800.0,"하락  1,450",38750.0,39200.0,37450.0,155126.0,OCI홀딩스,010060
2020-04-27,39800.0,"상승  2,000",38000.0,40900.0,37850.0,209235.0,OCI홀딩스,010060
2020-04-28,39300.0,하락  500,40000.0,40550.0,38500.0,176791.0,OCI홀딩스,010060
2020-04-29,39950.0,상승  650,39300.0,41350.0,39300.0,194403.0,OCI홀딩스,010060
2020-05-04,38450.0,"하락  1,500",38600.0,39200.0,38350.0,189963.0,OCI홀딩스,010060
2020-05-06,38650.0,상승  200,38900.0,39200.0,38450.0,105367.0,OCI홀딩스,010060
2020-05-07,38800.0,상승  150,38550.0,38900.0,38200.0,109186.0,OCI홀딩스,010060
2020-05-08,41000.0,"상승  2,200",38850.0,41200.0,38850.0,254570.0,OCI홀딩스,010060
2020-05-11,39350.0,"하락  1,650",41000.0,41700.0,39350.0,220940.0,OCI홀딩스,010060
2020-05-12,38500.0,하락  850,39500.0,39750.0,38250.0,208856.0,OCI홀딩스,010060
2020-05-13,37900.0,하락  600,38050.0,38200.0,37300.0,265060.0,OCI홀딩스,010060
2020-05-14,37800.0,하락  100,37150.0,37800.0,37000.0,181398.0,OCI홀딩스,010060
2020-05-15,37800.0,보합0,37800.0,38000.0,37350.0,94560.0,OCI홀딩스,010060
2020-05-18,37800.0,보합0,38500.0,38650.0,37800.0,97729.0,OCI홀딩스,010060
2020-05-19,38900.0,"상승  1,100",38550.0,39550.0,38250.0,224336.0,OCI홀딩스,010060
2020-05-20,39650.0,상승  750,38900.0,40350.0,38600.0,169611.0,OCI홀딩스,010060
2020-05-21,43300.0,"상승  3,650",40900.0,48050.0,40400.0,1666180.0,OCI홀딩스,010060
2020-05-22,41100.0,"하락  2,200",43300.0,43300.0,40800.0,414590.0,OCI홀딩스,010060
2020-05-25,41200.0,상승  100,41650.0,41650.0,40100.0,184423.0,OCI홀딩스,010060
2020-05-26,44200.0,"상승  3,000",41300.0,44200.0,41300.0,510138.0,OCI홀딩스,010060
2020-05-27,44800.0,상승  600,44650.0,46700.0,44300.0,572579.0,OCI홀딩스,010060
2020-05-28,43350.0,"하락  1,450",45150.0,45600.0,42650.0,299047.0,OCI홀딩스,010060
2020-05-29,39400.0,"하락  3,950",42900.0,42900.0,39400.0,1911489.0,OCI홀딩스,010060
2020-06-01,39400.0,보합0,39850.0,40950.0,39100.0,677107.0,OCI홀딩스,010060
2020-06-02,39550.0,상승  150,39850.0,40450.0,39500.0,449330.0,OCI홀딩스,010060
2020-06-03,41350.0,"상승  1,800",40100.0,41650.0,39850.0,677117.0,OCI홀딩스,010060
2020-06-04,40850.0,하락  500,42100.0,42800.0,40600.0,433445.0,OCI홀딩스,010060
2020-06-05,41950.0,"상승  1,100",40650.0,42000.0,40250.0,393591.0,OCI홀딩스,010060
2020-06-08,42750.0,상승  800,42700.0,44450.0,42400.0,596130.0,OCI홀딩스,010060
2020-06-09,42350.0,하락  400,43100.0,43900.0,41850.0,409229.0,OCI홀딩스,010060
2020-06-10,42000.0,하락  350,41900.0,42400.0,41400.0,242042.0,OCI홀딩스,010060
