날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2410.0,하락  430,2600.0,2700.0,2230.0,4756516.0,PKC,001340
2020-03-16,2270.0,하락  140,2405.0,2510.0,2265.0,2933807.0,PKC,001340
2020-03-17,2185.0,하락  85,2090.0,2270.0,2080.0,3047721.0,PKC,001340
2020-03-18,2155.0,하락  30,2215.0,2350.0,2130.0,2473970.0,PKC,001340
2020-03-19,1750.0,하락  405,2190.0,2220.0,1720.0,3168390.0,PKC,001340
2020-03-20,1855.0,상승  105,1820.0,1870.0,1735.0,2412512.0,PKC,001340
2020-03-23,1745.0,하락  110,1715.0,1830.0,1715.0,1712810.0,PKC,001340
2020-03-24,1860.0,상승  115,1795.0,1970.0,1765.0,3647191.0,PKC,001340
2020-03-25,1965.0,상승  105,1915.0,2020.0,1890.0,3407500.0,PKC,001340
2020-03-26,2000.0,상승  35,1985.0,2110.0,1955.0,3994016.0,PKC,001340
2020-03-27,2115.0,상승  115,2120.0,2280.0,1970.0,6199869.0,PKC,001340
2020-03-30,2240.0,상승  125,2180.0,2240.0,2085.0,3171799.0,PKC,001340
2020-03-31,2295.0,상승  55,2300.0,2320.0,2195.0,3025635.0,PKC,001340
2020-04-01,2295.0,보합0,2295.0,2430.0,2245.0,3355047.0,PKC,001340
2020-04-02,2450.0,상승  155,2345.0,2460.0,2240.0,3655427.0,PKC,001340
2020-04-03,2575.0,상승  125,2990.0,2990.0,2540.0,15195324.0,PKC,001340
2020-04-06,2685.0,상승  110,2605.0,2780.0,2575.0,5820707.0,PKC,001340
2020-04-07,2720.0,상승  35,2740.0,2785.0,2620.0,3480442.0,PKC,001340
2020-04-08,2685.0,하락  35,2730.0,2880.0,2660.0,4470858.0,PKC,001340
2020-04-09,2795.0,상승  110,2700.0,2795.0,2695.0,4591657.0,PKC,001340
2020-04-10,2665.0,하락  130,2775.0,2790.0,2535.0,2350255.0,PKC,001340
2020-04-13,2585.0,하락  80,2600.0,2670.0,2575.0,1378525.0,PKC,001340
2020-04-14,2670.0,상승  85,2590.0,2710.0,2590.0,1577020.0,PKC,001340
2020-04-16,2695.0,상승  25,2620.0,2730.0,2620.0,1198428.0,PKC,001340
2020-04-17,2760.0,상승  65,2705.0,2800.0,2695.0,2517762.0,PKC,001340
2020-04-20,2750.0,하락  10,2760.0,2795.0,2735.0,1838713.0,PKC,001340
2020-04-21,2710.0,하락  40,2750.0,2805.0,2460.0,2420979.0,PKC,001340
2020-04-22,2695.0,하락  15,2640.0,2705.0,2610.0,1028146.0,PKC,001340
2020-04-23,2760.0,상승  65,2705.0,2790.0,2695.0,2284659.0,PKC,001340
2020-04-24,2685.0,하락  75,2740.0,2805.0,2660.0,1923796.0,PKC,001340
2020-04-27,2815.0,상승  130,2705.0,2875.0,2700.0,3329133.0,PKC,001340
2020-04-28,2750.0,하락  65,2825.0,2830.0,2695.0,3494528.0,PKC,001340
2020-04-29,2775.0,상승  25,2750.0,2910.0,2710.0,7873920.0,PKC,001340
2020-05-04,2800.0,상승  25,2730.0,2815.0,2715.0,1973470.0,PKC,001340
2020-05-06,2850.0,상승  50,2875.0,2885.0,2800.0,2514250.0,PKC,001340
2020-05-07,2840.0,하락  10,2830.0,2870.0,2810.0,1812161.0,PKC,001340
2020-05-08,2855.0,상승  15,2860.0,2880.0,2835.0,1505784.0,PKC,001340
2020-05-11,2920.0,상승  65,2900.0,2980.0,2865.0,4647248.0,PKC,001340
2020-05-12,2845.0,하락  75,2940.0,2945.0,2785.0,2119368.0,PKC,001340
2020-05-13,2845.0,보합0,2795.0,2905.0,2790.0,2313179.0,PKC,001340
2020-05-14,2905.0,상승  60,2860.0,2915.0,2820.0,2292296.0,PKC,001340
2020-05-15,2930.0,상승  25,2950.0,3045.0,2900.0,7468605.0,PKC,001340
2020-05-18,2875.0,하락  55,2900.0,2900.0,2795.0,1843653.0,PKC,001340
2020-05-19,2735.0,하락  140,2880.0,2880.0,2725.0,2964051.0,PKC,001340
2020-05-20,2760.0,상승  25,2740.0,2775.0,2730.0,985946.0,PKC,001340
2020-05-21,2770.0,상승  10,2775.0,2815.0,2755.0,1420027.0,PKC,001340
2020-05-22,2710.0,하락  60,2780.0,2805.0,2665.0,1285885.0,PKC,001340
2020-05-25,2735.0,상승  25,2725.0,2770.0,2705.0,679155.0,PKC,001340
2020-05-26,2740.0,상승  5,2745.0,2770.0,2715.0,747639.0,PKC,001340
2020-05-27,2750.0,상승  10,2750.0,2775.0,2730.0,890517.0,PKC,001340
2020-05-28,2850.0,상승  100,2765.0,2855.0,2710.0,2602126.0,PKC,001340
2020-05-29,2780.0,하락  70,2855.0,2885.0,2760.0,1730793.0,PKC,001340
2020-06-01,2830.0,상승  50,2810.0,2840.0,2785.0,1184425.0,PKC,001340
2020-06-02,2790.0,하락  40,2830.0,2845.0,2780.0,858364.0,PKC,001340
2020-06-03,2765.0,하락  25,2810.0,2815.0,2760.0,735487.0,PKC,001340
2020-06-04,2780.0,상승  15,2785.0,2805.0,2760.0,709180.0,PKC,001340
2020-06-05,2865.0,상승  85,2785.0,2885.0,2780.0,2754394.0,PKC,001340
2020-06-08,2825.0,하락  40,2885.0,2905.0,2810.0,1421971.0,PKC,001340
2020-06-09,2920.0,상승  95,2830.0,2945.0,2765.0,3476661.0,PKC,001340
2020-06-10,2835.0,하락  85,2930.0,3150.0,2820.0,10113064.0,PKC,001340
2020-06-11,2785.0,하락  50,2850.0,2875.0,2765.0,2017709.0,PKC,001340
2020-06-12,2710.0,하락  75,2625.0,2740.0,2620.0,1396574.0,PKC,001340
2020-06-15,2460.0,하락  250,2715.0,2750.0,2455.0,2048544.0,PKC,001340
2020-06-16,2560.0,상승  100,2520.0,2565.0,2495.0,1018732.0,PKC,001340
2020-06-17,2525.0,하락  35,2500.0,2580.0,2480.0,927616.0,PKC,001340
2020-06-18,2525.0,보합0,2510.0,2545.0,2485.0,525101.0,PKC,001340
2020-06-19,2610.0,상승  85,2550.0,2635.0,2520.0,754258.0,PKC,001340
2020-06-22,2595.0,하락  15,2610.0,2630.0,2585.0,438060.0,PKC,001340
2020-06-23,2550.0,하락  45,2610.0,2620.0,2505.0,520020.0,PKC,001340
2020-06-24,2585.0,상승  35,2590.0,2605.0,2545.0,382611.0,PKC,001340
2020-06-25,2545.0,하락  40,2545.0,2595.0,2525.0,418177.0,PKC,001340
2020-06-26,2525.0,하락  20,2555.0,2565.0,2505.0,380308.0,PKC,001340
2020-06-29,2485.0,하락  40,2475.0,2515.0,2465.0,411917.0,PKC,001340
2020-06-30,2600.0,상승  115,2500.0,2715.0,2500.0,1814313.0,PKC,001340
2020-07-01,2560.0,하락  40,2650.0,2690.0,2555.0,911040.0,PKC,001340
2020-07-02,2630.0,상승  70,2560.0,2650.0,2560.0,400396.0,PKC,001340
2020-07-03,2655.0,상승  25,2645.0,2665.0,2575.0,498203.0,PKC,001340
2020-07-06,2670.0,상승  15,2670.0,2675.0,2620.0,358221.0,PKC,001340
2020-07-07,2640.0,하락  30,2685.0,2780.0,2635.0,1490801.0,PKC,001340
2020-07-08,2765.0,상승  125,2630.0,2915.0,2630.0,4170776.0,PKC,001340
2020-07-09,2730.0,하락  35,2755.0,2790.0,2720.0,753381.0,PKC,001340
2020-07-10,3325.0,상승  595,2850.0,3545.0,2780.0,55948417.0,PKC,001340
2020-07-13,3910.0,상승  585,3300.0,4140.0,3225.0,45566024.0,PKC,001340
2020-07-14,3705.0,하락  205,3860.0,3890.0,3575.0,8743415.0,PKC,001340
2020-07-15,3835.0,상승  130,3835.0,4320.0,3595.0,50434134.0,PKC,001340
2020-07-16,3710.0,하락  125,4000.0,4155.0,3710.0,17140563.0,PKC,001340
2020-07-17,3900.0,상승  190,3700.0,3955.0,3580.0,14802525.0,PKC,001340
2020-07-20,3185.0,하락  715,3740.0,3825.0,3165.0,20079233.0,PKC,001340
2020-07-21,3380.0,상승  195,3165.0,3545.0,3125.0,19821103.0,PKC,001340
2020-07-22,3370.0,하락  10,3420.0,3450.0,3280.0,3400236.0,PKC,001340
2020-07-23,3565.0,상승  195,3370.0,3620.0,3230.0,8316446.0,PKC,001340
2020-07-24,3455.0,하락  110,3490.0,3575.0,3385.0,2925549.0,PKC,001340
2020-07-27,3515.0,상승  60,3500.0,3770.0,3440.0,7720160.0,PKC,001340
2020-07-28,3710.0,상승  195,3535.0,3720.0,3465.0,6674660.0,PKC,001340
2020-07-29,3845.0,상승  135,3830.0,4120.0,3740.0,23450643.0,PKC,001340
2020-07-30,3715.0,하락  130,3800.0,3865.0,3650.0,4551513.0,PKC,001340
2020-07-31,3710.0,하락  5,3750.0,3885.0,3710.0,4415104.0,PKC,001340
2020-08-03,3880.0,상승  170,3810.0,3975.0,3755.0,7719032.0,PKC,001340
2020-08-04,3760.0,하락  120,3890.0,3920.0,3760.0,3016675.0,PKC,001340
2020-08-05,3760.0,보합0,3750.0,3825.0,3700.0,2202996.0,PKC,001340
2020-08-06,3785.0,상승  25,3760.0,3825.0,3720.0,2501518.0,PKC,001340
2020-08-07,3755.0,하락  30,3785.0,3820.0,3720.0,1467293.0,PKC,001340
2020-08-10,4080.0,상승  325,3880.0,4345.0,3790.0,42570419.0,PKC,001340
2020-08-11,3790.0,하락  290,4010.0,4140.0,3765.0,7302514.0,PKC,001340
2020-08-12,3535.0,하락  255,3785.0,3790.0,3490.0,3537468.0,PKC,001340
2020-08-13,3670.0,상승  135,3550.0,3755.0,3535.0,2402174.0,PKC,001340
2020-08-14,3700.0,상승  30,3645.0,3760.0,3640.0,1750234.0,PKC,001340
2020-08-18,3480.0,하락  220,3725.0,3760.0,3370.0,2291162.0,PKC,001340
2020-08-19,3520.0,상승  40,3480.0,3560.0,3445.0,1255749.0,PKC,001340
2020-08-20,3640.0,상승  120,3490.0,3850.0,3490.0,7551055.0,PKC,001340
2020-08-21,3525.0,하락  115,3625.0,3640.0,3480.0,1738752.0,PKC,001340
2020-08-24,3485.0,하락  40,3565.0,3595.0,3480.0,1331461.0,PKC,001340
2020-08-25,3600.0,상승  115,3490.0,3600.0,3490.0,1738479.0,PKC,001340
2020-08-26,3495.0,하락  105,3610.0,3700.0,3495.0,2071624.0,PKC,001340
2020-08-27,3415.0,하락  80,3515.0,3545.0,3370.0,1877089.0,PKC,001340
2020-08-28,3420.0,상승  5,3450.0,3505.0,3385.0,1480874.0,PKC,001340
2020-08-31,3405.0,하락  15,3425.0,3455.0,3380.0,1332961.0,PKC,001340
2020-09-01,3445.0,상승  40,3410.0,3445.0,3325.0,1660764.0,PKC,001340
2020-09-02,3410.0,하락  35,3460.0,3480.0,3380.0,1109030.0,PKC,001340
2020-09-03,3415.0,상승  5,3410.0,3460.0,3390.0,998129.0,PKC,001340
2020-09-04,3340.0,하락  75,3330.0,3380.0,3305.0,1111087.0,PKC,001340
2020-09-07,3405.0,상승  65,3340.0,3465.0,3330.0,1956722.0,PKC,001340
2020-09-08,3360.0,하락  45,3440.0,3470.0,3325.0,1071938.0,PKC,001340
2020-09-09,3290.0,하락  70,3300.0,3340.0,3265.0,782756.0,PKC,001340
2020-09-10,3365.0,상승  75,3320.0,3365.0,3290.0,673791.0,PKC,001340
2020-09-11,3315.0,하락  50,3345.0,3370.0,3285.0,619694.0,PKC,001340
2020-09-14,3450.0,상승  135,3305.0,3620.0,3305.0,3260830.0,PKC,001340
2020-09-15,3825.0,상승  375,3560.0,4225.0,3540.0,64403822.0,PKC,001340
2020-09-16,3865.0,상승  40,3915.0,4175.0,3775.0,16654320.0,PKC,001340
2020-09-17,3730.0,하락  135,3790.0,3815.0,3650.0,3379543.0,PKC,001340
2020-09-18,3610.0,하락  120,3670.0,3790.0,3570.0,2146946.0,PKC,001340
2020-09-21,3505.0,하락  105,3830.0,3905.0,3460.0,4100235.0,PKC,001340
2020-09-22,3315.0,하락  190,3450.0,3520.0,3265.0,2239558.0,PKC,001340
2020-09-23,3400.0,상승  85,3365.0,3405.0,3155.0,1362799.0,PKC,001340
2020-09-24,3320.0,하락  80,3260.0,3570.0,3260.0,1606139.0,PKC,001340
2020-09-25,3220.0,하락  100,3340.0,3385.0,3200.0,1102162.0,PKC,001340
2020-09-28,3265.0,상승  45,3235.0,3315.0,3225.0,733100.0,PKC,001340
2020-09-29,3405.0,상승  140,3290.0,3415.0,3290.0,1136124.0,PKC,001340
2020-10-05,3445.0,상승  40,3410.0,3485.0,3375.0,897894.0,PKC,001340
2020-10-06,3465.0,상승  20,3460.0,3550.0,3390.0,822669.0,PKC,001340
2020-10-07,3565.0,상승  100,3430.0,3655.0,3405.0,1317814.0,PKC,001340
2020-10-08,3520.0,하락  45,3565.0,3580.0,3475.0,1319941.0,PKC,001340
2020-10-12,3575.0,상승  55,3700.0,3730.0,3535.0,4544078.0,PKC,001340
2020-10-13,3520.0,하락  55,3565.0,3575.0,3460.0,1138133.0,PKC,001340
2020-10-14,3465.0,하락  55,3525.0,3530.0,3455.0,734060.0,PKC,001340
2020-10-15,3450.0,하락  15,3440.0,3575.0,3390.0,1468828.0,PKC,001340
2020-10-16,3335.0,하락  115,3440.0,3465.0,3295.0,952038.0,PKC,001340
2020-10-19,3305.0,하락  30,3365.0,3390.0,3290.0,584526.0,PKC,001340
2020-10-20,3280.0,하락  25,3300.0,3320.0,3195.0,674723.0,PKC,001340
2020-10-21,3345.0,상승  65,3300.0,3360.0,3270.0,350917.0,PKC,001340
2020-10-22,3370.0,상승  25,3315.0,3415.0,3310.0,515265.0,PKC,001340
2020-10-23,3370.0,보합0,3395.0,3405.0,3325.0,367183.0,PKC,001340
2020-10-26,3195.0,하락  175,3380.0,3395.0,3180.0,664797.0,PKC,001340
2020-10-27,3135.0,하락  60,3155.0,3225.0,3085.0,462206.0,PKC,001340
2020-10-28,3180.0,상승  45,3090.0,3200.0,3090.0,248015.0,PKC,001340
2020-10-29,3140.0,하락  40,3115.0,3180.0,3035.0,280036.0,PKC,001340
2020-10-30,3075.0,하락  65,3175.0,3175.0,3060.0,348210.0,PKC,001340
2020-11-02,3105.0,상승  30,3080.0,3125.0,3055.0,189222.0,PKC,001340
2020-11-03,3170.0,상승  65,3115.0,3190.0,3115.0,236328.0,PKC,001340
2020-11-04,3140.0,하락  30,3200.0,3220.0,3090.0,364753.0,PKC,001340
2020-11-05,3225.0,상승  85,3150.0,3245.0,3140.0,426495.0,PKC,001340
2020-11-06,3180.0,하락  45,3250.0,3250.0,3160.0,324787.0,PKC,001340
2020-11-09,3260.0,상승  80,3230.0,3260.0,3195.0,492549.0,PKC,001340
2020-11-10,3310.0,상승  50,3290.0,3340.0,3240.0,529667.0,PKC,001340
2020-11-11,3280.0,하락  30,3315.0,3320.0,3250.0,350104.0,PKC,001340
