날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,25000.0,하락  800,26200.0,26500.0,24750.0,11680.0,SGC에너지,005090
2020-03-17,24800.0,하락  200,21650.0,24950.0,21650.0,16177.0,SGC에너지,005090
2020-03-18,24750.0,하락  50,24950.0,25400.0,24200.0,10969.0,SGC에너지,005090
2020-03-19,27900.0,"상승  3,150",26950.0,32150.0,26650.0,292700.0,SGC에너지,005090
2020-03-20,26550.0,"하락  1,350",29500.0,29500.0,25200.0,106322.0,SGC에너지,005090
2020-03-23,24800.0,"하락  1,750",25750.0,25750.0,24300.0,37354.0,SGC에너지,005090
2020-03-24,23900.0,하락  900,24500.0,24550.0,23150.0,43769.0,SGC에너지,005090
2020-03-25,24000.0,상승  100,23650.0,25300.0,23650.0,38773.0,SGC에너지,005090
2020-03-26,24600.0,상승  600,24000.0,25050.0,23900.0,41327.0,SGC에너지,005090
2020-03-27,26700.0,"상승  2,100",24650.0,28500.0,24650.0,45403.0,SGC에너지,005090
2020-03-30,26600.0,하락  100,26000.0,26850.0,25800.0,22318.0,SGC에너지,005090
2020-03-31,26250.0,하락  350,27300.0,27300.0,25650.0,29807.0,SGC에너지,005090
2020-04-01,26150.0,하락  100,26550.0,26550.0,25850.0,13617.0,SGC에너지,005090
2020-04-02,26150.0,보합0,25900.0,26500.0,25850.0,9543.0,SGC에너지,005090
2020-04-03,25800.0,하락  350,26550.0,26550.0,25650.0,8387.0,SGC에너지,005090
2020-04-06,25500.0,하락  300,25800.0,25800.0,24950.0,20349.0,SGC에너지,005090
2020-04-07,25700.0,상승  200,25700.0,25950.0,25300.0,16525.0,SGC에너지,005090
2020-04-08,26500.0,상승  800,25600.0,26850.0,25600.0,11883.0,SGC에너지,005090
2020-04-09,26100.0,하락  400,26750.0,27500.0,25850.0,26415.0,SGC에너지,005090
2020-04-10,26950.0,상승  850,26100.0,27300.0,25850.0,39216.0,SGC에너지,005090
2020-04-13,26300.0,하락  650,27300.0,27400.0,26200.0,12353.0,SGC에너지,005090
2020-04-14,26450.0,상승  150,26050.0,26900.0,26050.0,18519.0,SGC에너지,005090
2020-04-16,26550.0,상승  100,26450.0,26600.0,26250.0,5614.0,SGC에너지,005090
2020-04-17,26950.0,상승  400,26850.0,27050.0,26500.0,18622.0,SGC에너지,005090
2020-04-20,26850.0,하락  100,26900.0,27100.0,26550.0,12233.0,SGC에너지,005090
2020-04-21,26300.0,하락  550,26850.0,26850.0,25500.0,17973.0,SGC에너지,005090
2020-04-22,27250.0,상승  950,26250.0,27550.0,25800.0,20007.0,SGC에너지,005090
2020-04-23,27700.0,상승  450,27550.0,28400.0,26950.0,23153.0,SGC에너지,005090
2020-04-24,27800.0,상승  100,27950.0,28050.0,27300.0,18587.0,SGC에너지,005090
2020-04-27,27500.0,하락  300,27800.0,27850.0,27400.0,10468.0,SGC에너지,005090
2020-04-28,28450.0,상승  950,27950.0,28750.0,27300.0,25642.0,SGC에너지,005090
2020-04-29,29400.0,상승  950,28450.0,29450.0,28300.0,34846.0,SGC에너지,005090
2020-05-04,28650.0,하락  750,29150.0,29950.0,28450.0,17062.0,SGC에너지,005090
2020-05-06,28600.0,하락  50,28950.0,28950.0,28400.0,15804.0,SGC에너지,005090
2020-05-07,28200.0,하락  400,28450.0,28450.0,27700.0,12469.0,SGC에너지,005090
2020-05-08,28000.0,하락  200,28000.0,28200.0,27850.0,7286.0,SGC에너지,005090
2020-05-11,28800.0,상승  800,28350.0,30100.0,28000.0,27060.0,SGC에너지,005090
2020-05-12,28300.0,하락  500,28950.0,28950.0,28000.0,11232.0,SGC에너지,005090
2020-05-13,28750.0,상승  450,28300.0,28800.0,27850.0,30271.0,SGC에너지,005090
2020-05-14,28850.0,상승  100,28400.0,29400.0,28400.0,7940.0,SGC에너지,005090
