날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,333.0,하락  5,339.0,340.0,333.0,408004.0,SG세계물산,004060
2025-05-16,328.0,하락  5,336.0,339.0,326.0,469304.0,SG세계물산,004060
2025-05-19,322.0,하락  6,325.0,330.0,321.0,492168.0,SG세계물산,004060
2025-05-20,326.0,상승  4,323.0,327.0,322.0,290211.0,SG세계물산,004060
2025-05-21,329.0,상승  3,327.0,329.0,326.0,200358.0,SG세계물산,004060
2025-05-22,329.0,보합0,326.0,329.0,325.0,215457.0,SG세계물산,004060
2025-05-23,326.0,하락  3,329.0,329.0,325.0,204145.0,SG세계물산,004060
2025-05-26,326.0,보합0,326.0,329.0,324.0,125303.0,SG세계물산,004060
2025-05-27,327.0,상승  1,328.0,331.0,326.0,174846.0,SG세계물산,004060
2025-05-28,331.0,상승  4,326.0,331.0,326.0,213210.0,SG세계물산,004060
