날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,4635.0,하락  275,4580.0,4730.0,4330.0,4142245.0,SK네트웍스,001740
2020-03-16,4630.0,하락  5,4660.0,4760.0,4565.0,1937701.0,SK네트웍스,001740
2020-03-17,4620.0,하락  10,4310.0,4700.0,4310.0,2210473.0,SK네트웍스,001740
2020-03-18,4595.0,하락  25,4620.0,4765.0,4595.0,1806671.0,SK네트웍스,001740
2020-03-19,4015.0,하락  580,4610.0,4700.0,3820.0,3164024.0,SK네트웍스,001740
2020-03-20,4645.0,상승  630,4055.0,4645.0,4055.0,3015413.0,SK네트웍스,001740
2020-03-23,4625.0,하락  20,4390.0,4750.0,4205.0,2561428.0,SK네트웍스,001740
2020-03-24,4885.0,상승  260,4715.0,4950.0,4715.0,2459028.0,SK네트웍스,001740
2020-03-25,4860.0,하락  25,4965.0,4965.0,4670.0,2224335.0,SK네트웍스,001740
2020-03-26,4680.0,하락  180,4810.0,4845.0,4680.0,1516150.0,SK네트웍스,001740
2020-03-27,4655.0,하락  25,4790.0,4845.0,4615.0,1318974.0,SK네트웍스,001740
2020-03-30,4600.0,하락  55,4550.0,4655.0,4470.0,675384.0,SK네트웍스,001740
2020-03-31,4550.0,하락  50,4650.0,4675.0,4475.0,1136190.0,SK네트웍스,001740
2020-04-01,4550.0,보합0,4520.0,4670.0,4480.0,1133444.0,SK네트웍스,001740
2020-04-02,4580.0,상승  30,4540.0,4615.0,4420.0,671403.0,SK네트웍스,001740
2020-04-03,4580.0,보합0,4550.0,4610.0,4520.0,658519.0,SK네트웍스,001740
2020-04-06,4705.0,상승  125,4580.0,4720.0,4580.0,1111920.0,SK네트웍스,001740
2020-04-07,4940.0,상승  235,4750.0,4950.0,4700.0,1909468.0,SK네트웍스,001740
2020-04-08,4950.0,상승  10,4940.0,5060.0,4825.0,1748158.0,SK네트웍스,001740
2020-04-09,4975.0,상승  25,5030.0,5030.0,4905.0,1242040.0,SK네트웍스,001740
2020-04-10,4940.0,하락  35,4975.0,4985.0,4850.0,1035259.0,SK네트웍스,001740
2020-04-13,4835.0,하락  105,4905.0,4955.0,4835.0,729531.0,SK네트웍스,001740
2020-04-14,4915.0,상승  80,4855.0,4945.0,4855.0,667829.0,SK네트웍스,001740
2020-04-16,4900.0,하락  15,4865.0,4935.0,4800.0,875368.0,SK네트웍스,001740
2020-04-17,5000.0,상승  100,4925.0,5060.0,4925.0,1710315.0,SK네트웍스,001740
2020-04-20,5060.0,상승  60,5060.0,5210.0,5000.0,1970913.0,SK네트웍스,001740
2020-04-21,5120.0,상승  60,5060.0,5150.0,4905.0,1641821.0,SK네트웍스,001740
2020-04-22,5340.0,상승  220,5080.0,5360.0,5040.0,2466892.0,SK네트웍스,001740
2020-04-23,5590.0,상승  250,5350.0,5690.0,5300.0,3769298.0,SK네트웍스,001740
2020-04-24,5540.0,하락  50,5590.0,5680.0,5540.0,2153707.0,SK네트웍스,001740
2020-04-27,5680.0,상승  140,5540.0,5690.0,5520.0,1777830.0,SK네트웍스,001740
2020-04-28,5520.0,하락  160,5700.0,5790.0,5490.0,2475698.0,SK네트웍스,001740
2020-04-29,5400.0,하락  120,5550.0,5600.0,5340.0,2353048.0,SK네트웍스,001740
2020-05-04,5260.0,하락  140,5290.0,5340.0,5190.0,1587208.0,SK네트웍스,001740
2020-05-06,5320.0,상승  60,5390.0,5390.0,5300.0,1266123.0,SK네트웍스,001740
2020-05-07,5170.0,하락  150,5300.0,5330.0,5150.0,1533079.0,SK네트웍스,001740
2020-05-08,5170.0,보합0,5210.0,5270.0,5120.0,1360560.0,SK네트웍스,001740
2020-05-11,5180.0,상승  10,5210.0,5250.0,5170.0,1105384.0,SK네트웍스,001740
2020-05-12,5010.0,하락  170,5180.0,5190.0,5010.0,1124673.0,SK네트웍스,001740
2020-05-13,5060.0,상승  50,5000.0,5060.0,4950.0,810406.0,SK네트웍스,001740
2020-05-14,4875.0,하락  185,5030.0,5030.0,4875.0,1061470.0,SK네트웍스,001740
2020-05-15,4880.0,상승  5,4930.0,4950.0,4865.0,482267.0,SK네트웍스,001740
2020-05-18,4985.0,상승  105,4930.0,5000.0,4900.0,543945.0,SK네트웍스,001740
2020-05-19,5120.0,상승  135,5050.0,5120.0,5020.0,674379.0,SK네트웍스,001740
2020-05-20,5080.0,하락  40,5120.0,5190.0,5040.0,553828.0,SK네트웍스,001740
2020-05-21,5150.0,상승  70,5120.0,5170.0,5060.0,846496.0,SK네트웍스,001740
2020-05-22,5030.0,하락  120,5190.0,5190.0,5020.0,547414.0,SK네트웍스,001740
2020-05-25,5110.0,상승  80,5090.0,5110.0,4990.0,661854.0,SK네트웍스,001740
