날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,18000.0,"하락  1,500",17700.0,18650.0,16700.0,253552.0,SK디스커버리,006120
2020-03-16,17900.0,하락  100,18000.0,18800.0,17800.0,114433.0,SK디스커버리,006120
2020-03-17,18300.0,상승  400,16350.0,18300.0,16350.0,124741.0,SK디스커버리,006120
2020-03-18,18100.0,하락  200,18250.0,19100.0,18000.0,106032.0,SK디스커버리,006120
2020-03-19,15650.0,"하락  2,450",18200.0,18650.0,15550.0,257679.0,SK디스커버리,006120
2020-03-20,17000.0,"상승  1,350",15800.0,17000.0,15400.0,140548.0,SK디스커버리,006120
2020-03-23,15700.0,"하락  1,300",15400.0,16300.0,15400.0,133998.0,SK디스커버리,006120
2020-03-24,16500.0,상승  800,16050.0,16500.0,15850.0,156027.0,SK디스커버리,006120
2020-03-25,17250.0,상승  750,17050.0,17500.0,16650.0,213272.0,SK디스커버리,006120
2020-03-26,17450.0,상승  200,17350.0,18400.0,17100.0,223794.0,SK디스커버리,006120
2020-03-27,17550.0,상승  100,18300.0,18650.0,17000.0,223852.0,SK디스커버리,006120
2020-03-30,18600.0,"상승  1,050",17650.0,18600.0,17400.0,198072.0,SK디스커버리,006120
2020-03-31,21200.0,"상승  2,600",21200.0,22150.0,19950.0,492788.0,SK디스커버리,006120
2020-04-01,20200.0,"하락  1,000",21600.0,21750.0,19850.0,267334.0,SK디스커버리,006120
2020-04-02,22900.0,"상승  2,700",21100.0,23650.0,20500.0,956973.0,SK디스커버리,006120
2020-04-03,22400.0,하락  500,23000.0,23550.0,21850.0,290281.0,SK디스커버리,006120
2020-04-06,22700.0,상승  300,22400.0,22850.0,22300.0,181880.0,SK디스커버리,006120
2020-04-07,24400.0,"상승  1,700",23050.0,25350.0,22100.0,913199.0,SK디스커버리,006120
2020-04-08,27100.0,"상승  2,700",26000.0,31000.0,25800.0,2254802.0,SK디스커버리,006120
2020-04-09,28250.0,"상승  1,150",28200.0,29500.0,27300.0,783355.0,SK디스커버리,006120
2020-04-10,26800.0,"하락  1,450",28700.0,29400.0,25900.0,975978.0,SK디스커버리,006120
2020-04-13,27250.0,상승  450,27500.0,28400.0,27000.0,513868.0,SK디스커버리,006120
2020-04-14,26250.0,"하락  1,000",27000.0,27550.0,25750.0,442051.0,SK디스커버리,006120
2020-04-16,26000.0,하락  250,26050.0,26500.0,25250.0,261015.0,SK디스커버리,006120
2020-04-17,26050.0,상승  50,25900.0,26850.0,25850.0,265208.0,SK디스커버리,006120
2020-04-20,25350.0,하락  700,26050.0,26300.0,25250.0,203975.0,SK디스커버리,006120
2020-04-21,24800.0,하락  550,25350.0,25450.0,23300.0,278347.0,SK디스커버리,006120
2020-04-22,24400.0,하락  400,24450.0,24450.0,23800.0,144884.0,SK디스커버리,006120
2020-04-23,25650.0,"상승  1,250",24400.0,25700.0,24300.0,192845.0,SK디스커버리,006120
2020-04-24,24750.0,하락  900,25250.0,25650.0,24550.0,181553.0,SK디스커버리,006120
2020-04-27,25000.0,상승  250,24850.0,25450.0,24050.0,123122.0,SK디스커버리,006120
2020-04-28,24650.0,하락  350,25100.0,25150.0,24400.0,137034.0,SK디스커버리,006120
2020-04-29,25200.0,상승  550,24650.0,25350.0,24500.0,156364.0,SK디스커버리,006120
2020-05-04,24450.0,하락  750,25050.0,25150.0,24450.0,101250.0,SK디스커버리,006120
2020-05-06,25700.0,"상승  1,250",24600.0,26350.0,24600.0,358821.0,SK디스커버리,006120
2020-05-07,25700.0,보합0,25550.0,25900.0,25300.0,70202.0,SK디스커버리,006120
2020-05-08,25900.0,상승  200,25700.0,26050.0,25600.0,111569.0,SK디스커버리,006120
2020-05-11,26750.0,상승  850,26200.0,27200.0,25850.0,293803.0,SK디스커버리,006120
2020-05-12,27000.0,상승  250,27100.0,27200.0,26200.0,232443.0,SK디스커버리,006120
2020-05-13,27050.0,상승  50,26850.0,27350.0,26500.0,176164.0,SK디스커버리,006120
2020-05-14,27900.0,상승  850,26900.0,28650.0,26800.0,374878.0,SK디스커버리,006120
2020-05-15,27700.0,하락  200,28650.0,29450.0,27450.0,604295.0,SK디스커버리,006120
2020-05-18,29100.0,"상승  1,400",28300.0,29800.0,27600.0,581299.0,SK디스커버리,006120
2020-05-19,28900.0,하락  200,29750.0,31950.0,28400.0,1338918.0,SK디스커버리,006120
2020-05-20,28750.0,하락  150,29200.0,29650.0,28700.0,247550.0,SK디스커버리,006120
2020-05-21,29050.0,상승  300,28900.0,29150.0,27900.0,320698.0,SK디스커버리,006120
2020-05-22,28150.0,하락  900,28900.0,29250.0,27900.0,195414.0,SK디스커버리,006120
2020-05-25,27900.0,하락  250,28200.0,28300.0,27650.0,118025.0,SK디스커버리,006120
2020-05-26,29800.0,"상승  1,900",28050.0,29800.0,28000.0,640985.0,SK디스커버리,006120
2020-05-27,30500.0,상승  700,31000.0,32200.0,30300.0,983642.0,SK디스커버리,006120
2020-05-28,29300.0,"하락  1,200",30350.0,30350.0,28700.0,377340.0,SK디스커버리,006120
2020-05-29,28350.0,하락  950,29450.0,29450.0,28350.0,173250.0,SK디스커버리,006120
2020-06-01,28850.0,상승  500,28850.0,29500.0,28600.0,128589.0,SK디스커버리,006120
2020-06-02,28800.0,하락  50,28700.0,29050.0,28500.0,117852.0,SK디스커버리,006120
2020-06-03,29400.0,상승  600,29200.0,29750.0,29050.0,198199.0,SK디스커버리,006120
2020-06-04,29300.0,하락  100,29450.0,29800.0,29150.0,113166.0,SK디스커버리,006120
2020-06-05,29700.0,상승  400,29300.0,30200.0,29050.0,161919.0,SK디스커버리,006120
2020-06-08,29800.0,상승  100,30200.0,30200.0,29600.0,134490.0,SK디스커버리,006120
2020-06-09,30000.0,상승  200,29850.0,30200.0,29650.0,164004.0,SK디스커버리,006120
2020-06-10,30050.0,상승  50,30200.0,32050.0,29700.0,772814.0,SK디스커버리,006120
2020-06-11,29750.0,하락  300,30100.0,31100.0,29650.0,305382.0,SK디스커버리,006120
2020-06-12,29100.0,하락  650,28350.0,29750.0,28000.0,226030.0,SK디스커버리,006120
2020-06-15,31300.0,"상승  2,200",29400.0,34500.0,29400.0,3036964.0,SK디스커버리,006120
2020-06-16,32350.0,"상승  1,050",32900.0,34400.0,31600.0,1087920.0,SK디스커버리,006120
2020-06-17,31650.0,하락  700,32100.0,32650.0,30750.0,358317.0,SK디스커버리,006120
2020-06-18,31800.0,상승  150,31850.0,32200.0,31300.0,262428.0,SK디스커버리,006120
2020-06-19,31200.0,하락  600,32200.0,32300.0,30800.0,310289.0,SK디스커버리,006120
2020-06-22,32350.0,"상승  1,150",31600.0,32500.0,31550.0,338339.0,SK디스커버리,006120
2020-06-23,32300.0,하락  50,32550.0,33300.0,31850.0,356630.0,SK디스커버리,006120
2020-06-24,32000.0,하락  300,32700.0,32700.0,31600.0,205435.0,SK디스커버리,006120
2020-06-25,33300.0,"상승  1,300",31550.0,34150.0,31300.0,831132.0,SK디스커버리,006120
2020-06-26,33300.0,보합0,34250.0,34700.0,32750.0,473654.0,SK디스커버리,006120
2020-06-29,37000.0,"상승  3,700",32700.0,39300.0,32350.0,2706714.0,SK디스커버리,006120
2020-06-30,39050.0,"상승  2,050",36800.0,40800.0,36200.0,2661393.0,SK디스커버리,006120
2020-07-01,48550.0,"상승  9,500",39250.0,50400.0,37500.0,10530109.0,SK디스커버리,006120
2020-07-02,39950.0,"하락  8,600",51300.0,53500.0,39450.0,5929696.0,SK디스커버리,006120
2020-07-03,37700.0,"하락  2,250",40300.0,41300.0,37150.0,1955276.0,SK디스커버리,006120
2020-07-06,37250.0,하락  450,37200.0,38800.0,35850.0,1473016.0,SK디스커버리,006120
2020-07-07,35600.0,"하락  1,650",37300.0,37550.0,35450.0,713729.0,SK디스커버리,006120
2020-07-08,36950.0,"상승  1,350",35350.0,39050.0,35200.0,1918090.0,SK디스커버리,006120
2020-07-09,37100.0,상승  150,36900.0,38250.0,36700.0,449574.0,SK디스커버리,006120
2020-07-10,35700.0,"하락  1,400",36950.0,37050.0,35500.0,420404.0,SK디스커버리,006120
2020-07-13,35850.0,상승  150,36850.0,36950.0,35700.0,260320.0,SK디스커버리,006120
2020-07-14,37050.0,"상승  1,200",35650.0,37150.0,35400.0,364047.0,SK디스커버리,006120
2020-07-15,36400.0,하락  650,37250.0,37700.0,36100.0,245115.0,SK디스커버리,006120
2020-07-16,36700.0,상승  300,36400.0,37500.0,36250.0,318332.0,SK디스커버리,006120
2020-07-17,35250.0,"하락  1,450",36800.0,37000.0,34600.0,462752.0,SK디스커버리,006120
2020-07-20,35450.0,상승  200,35350.0,35900.0,34850.0,253561.0,SK디스커버리,006120
2020-07-21,35600.0,상승  150,35800.0,36250.0,35350.0,307260.0,SK디스커버리,006120
2020-07-22,46250.0,"상한가  10,650",42450.0,46250.0,41850.0,3077113.0,SK디스커버리,006120
2020-07-23,45600.0,하락  650,50900.0,55700.0,45600.0,6541557.0,SK디스커버리,006120
2020-07-24,46950.0,"상승  1,350",42900.0,56700.0,41400.0,9100746.0,SK디스커버리,006120
2020-07-27,52100.0,"상승  5,150",52700.0,56500.0,50700.0,3853863.0,SK디스커버리,006120
2020-07-28,52000.0,하락  100,53500.0,55700.0,49950.0,1634073.0,SK디스커버리,006120
2020-07-29,49850.0,"하락  2,150",50900.0,52000.0,49150.0,791103.0,SK디스커버리,006120
2020-07-30,49700.0,하락  150,49350.0,52900.0,49300.0,691540.0,SK디스커버리,006120
2020-07-31,48400.0,"하락  1,300",49700.0,50200.0,48400.0,366148.0,SK디스커버리,006120
2020-08-03,48750.0,상승  350,49250.0,49400.0,45900.0,634459.0,SK디스커버리,006120
2020-08-04,50700.0,"상승  1,950",49000.0,51400.0,48900.0,915598.0,SK디스커버리,006120
2020-08-05,50100.0,하락  600,51500.0,52000.0,49900.0,595809.0,SK디스커버리,006120
2020-08-06,51000.0,상승  900,50600.0,51200.0,49500.0,464774.0,SK디스커버리,006120
