날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,40300.0,상승  100,39800.0,40450.0,39700.0,53749.0,SK바이오사이언스,302440
2025-05-16,40100.0,하락  200,40500.0,40500.0,39800.0,64186.0,SK바이오사이언스,302440
2025-05-19,41600.0,"상승  1,500",40950.0,43000.0,40900.0,281414.0,SK바이오사이언스,302440
2025-05-20,40650.0,하락  950,41750.0,41750.0,40000.0,149414.0,SK바이오사이언스,302440
2025-05-21,43000.0,"상승  2,350",42450.0,45100.0,42150.0,511809.0,SK바이오사이언스,302440
2025-05-22,44100.0,"상승  1,100",44200.0,44900.0,43600.0,392182.0,SK바이오사이언스,302440
2025-05-23,42850.0,"하락  1,250",43600.0,43900.0,42450.0,163279.0,SK바이오사이언스,302440
2025-05-26,42750.0,하락  100,43000.0,43100.0,41900.0,100484.0,SK바이오사이언스,302440
2025-05-27,43000.0,상승  250,42800.0,43100.0,42050.0,81328.0,SK바이오사이언스,302440
2025-05-28,42750.0,하락  250,42600.0,42950.0,42200.0,69207.0,SK바이오사이언스,302440
