날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,80200.0,"하락  6,300",86000.0,86900.0,80200.0,1113686.0,SK이노베이션,096770
2020-03-17,77900.0,"하락  2,300",75100.0,79400.0,75100.0,1006085.0,SK이노베이션,096770
2020-03-18,70900.0,"하락  7,000",77300.0,77800.0,70900.0,919817.0,SK이노베이션,096770
2020-03-19,57300.0,"하락  13,600",70900.0,72300.0,55100.0,2188651.0,SK이노베이션,096770
2020-03-20,64800.0,"상승  7,500",61000.0,65100.0,59100.0,1719407.0,SK이노베이션,096770
2020-03-23,60300.0,"하락  4,500",58500.0,62900.0,57800.0,1162459.0,SK이노베이션,096770
2020-03-24,72000.0,"상승  11,700",63100.0,73200.0,61500.0,1571585.0,SK이노베이션,096770
2020-03-25,90000.0,"상승  18,000",79000.0,91300.0,75700.0,2877009.0,SK이노베이션,096770
2020-03-26,85000.0,"하락  5,000",91000.0,100500.0,84900.0,3277516.0,SK이노베이션,096770
2020-03-27,87700.0,"상승  2,700",89600.0,90500.0,85200.0,1746990.0,SK이노베이션,096770
2020-03-30,86100.0,"하락  1,600",83400.0,87700.0,81700.0,1151182.0,SK이노베이션,096770
2020-03-31,87000.0,상승  900,88000.0,88200.0,84500.0,1027447.0,SK이노베이션,096770
2020-04-01,82500.0,"하락  4,500",85100.0,87000.0,82500.0,835614.0,SK이노베이션,096770
2020-04-02,90400.0,"상승  7,900",83100.0,93500.0,81400.0,2074973.0,SK이노베이션,096770
2020-04-03,89700.0,하락  700,95800.0,98500.0,87800.0,1788505.0,SK이노베이션,096770
2020-04-06,94400.0,"상승  4,700",91100.0,95500.0,90000.0,1393130.0,SK이노베이션,096770
2020-04-07,94300.0,하락  100,96500.0,96900.0,91900.0,1161168.0,SK이노베이션,096770
2020-04-08,93600.0,하락  700,92600.0,95900.0,92200.0,828451.0,SK이노베이션,096770
2020-04-09,98000.0,"상승  4,400",96800.0,98000.0,95000.0,1180802.0,SK이노베이션,096770
2020-04-10,100500.0,"상승  2,500",95300.0,101500.0,95300.0,1300475.0,SK이노베이션,096770
2020-04-13,96300.0,"하락  4,200",99800.0,100500.0,95800.0,778610.0,SK이노베이션,096770
2020-04-14,97200.0,상승  900,97100.0,99300.0,96500.0,682589.0,SK이노베이션,096770
2020-04-16,96700.0,하락  500,95300.0,98000.0,94300.0,733830.0,SK이노베이션,096770
