날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,488.0,하락  45,500.0,511.0,461.0,6547181.0,SK증권,001510
2020-03-16,492.0,상승  4,491.0,515.0,491.0,4061275.0,SK증권,001510
2020-03-17,503.0,상승  11,457.0,503.0,457.0,4610323.0,SK증권,001510
2020-03-18,496.0,하락  7,516.0,528.0,496.0,4017109.0,SK증권,001510
2020-03-19,448.0,하락  48,501.0,516.0,447.0,6163770.0,SK증권,001510
2020-03-20,456.0,상승  8,454.0,485.0,448.0,4038541.0,SK증권,001510
2020-03-23,421.0,하락  35,445.0,449.0,421.0,4760144.0,SK증권,001510
2020-03-24,455.0,상승  34,433.0,457.0,429.0,5749118.0,SK증권,001510
2020-03-25,492.0,상승  37,474.0,495.0,466.0,5990890.0,SK증권,001510
2020-03-26,500.0,상승  8,503.0,514.0,487.0,4540330.0,SK증권,001510
2020-03-27,504.0,상승  4,526.0,526.0,484.0,4515863.0,SK증권,001510
2020-03-30,502.0,하락  2,490.0,505.0,487.0,2376379.0,SK증권,001510
2020-03-31,512.0,상승  10,510.0,520.0,503.0,3916377.0,SK증권,001510
2020-04-01,499.0,하락  13,504.0,521.0,499.0,2588259.0,SK증권,001510
2020-04-02,502.0,상승  3,499.0,504.0,480.0,1968920.0,SK증권,001510
2020-04-03,498.0,하락  4,506.0,506.0,494.0,1701249.0,SK증권,001510
2020-04-06,512.0,상승  14,502.0,512.0,498.0,3575294.0,SK증권,001510
2020-04-07,537.0,상승  25,541.0,553.0,519.0,8311519.0,SK증권,001510
2020-04-08,544.0,상승  7,540.0,550.0,529.0,3278500.0,SK증권,001510
2020-04-09,546.0,상승  2,549.0,552.0,541.0,2628285.0,SK증권,001510
2020-04-10,587.0,상승  41,546.0,599.0,540.0,9489142.0,SK증권,001510
2020-04-13,574.0,하락  13,591.0,594.0,574.0,4598397.0,SK증권,001510
2020-04-14,590.0,상승  16,582.0,597.0,576.0,3993975.0,SK증권,001510
2020-04-16,593.0,상승  3,585.0,594.0,578.0,2541495.0,SK증권,001510
2020-04-17,619.0,상승  26,596.0,624.0,595.0,6714425.0,SK증권,001510
2020-04-20,622.0,상승  3,620.0,631.0,612.0,4734719.0,SK증권,001510
2020-04-21,608.0,하락  14,616.0,617.0,588.0,4913623.0,SK증권,001510
2020-04-22,610.0,상승  2,594.0,610.0,587.0,2797291.0,SK증권,001510
2020-04-23,605.0,하락  5,614.0,614.0,602.0,2165150.0,SK증권,001510
2020-04-24,589.0,하락  16,601.0,601.0,583.0,3082974.0,SK증권,001510
2020-04-27,604.0,상승  15,595.0,605.0,590.0,2710855.0,SK증권,001510
2020-04-28,600.0,하락  4,604.0,612.0,595.0,2938912.0,SK증권,001510
2020-04-29,647.0,상승  47,605.0,700.0,603.0,40573160.0,SK증권,001510
2020-05-04,652.0,상승  5,640.0,666.0,623.0,9525679.0,SK증권,001510
2020-05-06,689.0,상승  37,670.0,707.0,665.0,16058095.0,SK증권,001510
2020-05-07,694.0,상승  5,686.0,702.0,671.0,7076485.0,SK증권,001510
2020-05-08,686.0,하락  8,699.0,699.0,685.0,4521426.0,SK증권,001510
2020-05-11,674.0,하락  12,686.0,692.0,672.0,4056703.0,SK증권,001510
2020-05-12,672.0,하락  2,673.0,682.0,653.0,4313951.0,SK증권,001510
2020-05-13,673.0,상승  1,667.0,675.0,655.0,2874782.0,SK증권,001510
2020-05-14,659.0,하락  14,663.0,668.0,655.0,2668137.0,SK증권,001510
