날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,11650.0,하락  400,11900.0,12350.0,11600.0,26613.0,SNT홀딩스,036530
2020-03-17,11700.0,상승  50,11450.0,11900.0,11100.0,29599.0,SNT홀딩스,036530
2020-03-18,11750.0,상승  50,11700.0,12250.0,11450.0,36668.0,SNT홀딩스,036530
2020-03-19,10350.0,"하락  1,400",11700.0,11850.0,10050.0,26107.0,SNT홀딩스,036530
2020-03-20,11400.0,"상승  1,050",10450.0,11400.0,10450.0,62174.0,SNT홀딩스,036530
2020-03-23,11150.0,하락  250,11200.0,11400.0,10700.0,44594.0,SNT홀딩스,036530
2020-03-24,11700.0,상승  550,11150.0,11750.0,11150.0,43664.0,SNT홀딩스,036530
2020-03-25,12350.0,상승  650,12100.0,12950.0,11750.0,20857.0,SNT홀딩스,036530
2020-03-26,12500.0,상승  150,12900.0,12900.0,12400.0,10142.0,SNT홀딩스,036530
2020-03-27,12300.0,하락  200,12650.0,12800.0,12200.0,24419.0,SNT홀딩스,036530
2020-03-30,12350.0,상승  50,12300.0,12550.0,11800.0,12717.0,SNT홀딩스,036530
2020-03-31,13000.0,상승  650,12500.0,13050.0,12450.0,14217.0,SNT홀딩스,036530
2020-04-01,12450.0,하락  550,13000.0,13050.0,12450.0,16673.0,SNT홀딩스,036530
2020-04-02,12700.0,상승  250,12450.0,12700.0,12250.0,16994.0,SNT홀딩스,036530
2020-04-03,12700.0,보합0,12800.0,12950.0,12500.0,6938.0,SNT홀딩스,036530
2020-04-06,13000.0,상승  300,12700.0,13100.0,12650.0,20122.0,SNT홀딩스,036530
2020-04-07,13000.0,보합0,13100.0,13100.0,12700.0,10821.0,SNT홀딩스,036530
2020-04-08,13300.0,상승  300,13000.0,13550.0,12900.0,19950.0,SNT홀딩스,036530
2020-04-09,13600.0,상승  300,13600.0,13750.0,13300.0,10878.0,SNT홀딩스,036530
2020-04-10,13500.0,하락  100,13650.0,13700.0,13300.0,6406.0,SNT홀딩스,036530
2020-04-13,13250.0,하락  250,13500.0,13600.0,13000.0,21689.0,SNT홀딩스,036530
2020-04-14,13250.0,보합0,13250.0,13400.0,13150.0,8183.0,SNT홀딩스,036530
2020-04-16,13200.0,하락  50,13400.0,13400.0,12900.0,6023.0,SNT홀딩스,036530
2020-04-17,13550.0,상승  350,13400.0,13600.0,13350.0,9784.0,SNT홀딩스,036530
2020-04-20,14150.0,상승  600,13650.0,14350.0,13650.0,17290.0,SNT홀딩스,036530
2020-04-21,13800.0,하락  350,14450.0,14450.0,13600.0,36756.0,SNT홀딩스,036530
2020-04-22,13600.0,하락  200,13800.0,13900.0,13450.0,12473.0,SNT홀딩스,036530
2020-04-23,13700.0,상승  100,13650.0,13850.0,13450.0,7351.0,SNT홀딩스,036530
2020-04-24,13700.0,보합0,13850.0,13850.0,13500.0,17153.0,SNT홀딩스,036530
2020-04-27,14100.0,상승  400,13700.0,14100.0,13700.0,11258.0,SNT홀딩스,036530
2020-04-28,14450.0,상승  350,15050.0,15050.0,13950.0,22486.0,SNT홀딩스,036530
2020-04-29,14250.0,하락  200,14450.0,14500.0,14100.0,6928.0,SNT홀딩스,036530
2020-05-04,15200.0,상승  950,14400.0,15250.0,14150.0,24145.0,SNT홀딩스,036530
2020-05-06,15200.0,보합0,15200.0,15350.0,15000.0,6704.0,SNT홀딩스,036530
2020-05-07,15250.0,상승  50,15200.0,15500.0,15000.0,3556.0,SNT홀딩스,036530
2020-05-08,15000.0,하락  250,15050.0,15350.0,14950.0,9928.0,SNT홀딩스,036530
2020-05-11,15000.0,보합0,14900.0,15200.0,14900.0,3981.0,SNT홀딩스,036530
2020-05-12,14600.0,하락  400,15100.0,15100.0,14600.0,5389.0,SNT홀딩스,036530
2020-05-13,14750.0,상승  150,14400.0,14900.0,14400.0,4497.0,SNT홀딩스,036530
2020-05-14,14650.0,하락  100,14750.0,14850.0,14150.0,9849.0,SNT홀딩스,036530
2020-05-15,14650.0,보합0,14650.0,14800.0,14550.0,6662.0,SNT홀딩스,036530
2020-05-18,14900.0,상승  250,14650.0,15000.0,14600.0,11087.0,SNT홀딩스,036530
2020-05-19,15100.0,상승  200,15050.0,15250.0,14800.0,12369.0,SNT홀딩스,036530
2020-05-20,15250.0,상승  150,15100.0,15250.0,15000.0,4048.0,SNT홀딩스,036530
2020-05-21,15250.0,보합0,15250.0,15250.0,15050.0,8374.0,SNT홀딩스,036530
2020-05-22,15050.0,하락  200,15000.0,15350.0,15000.0,20543.0,SNT홀딩스,036530
2020-05-25,15000.0,하락  50,15200.0,15200.0,14900.0,3423.0,SNT홀딩스,036530
2020-05-26,15050.0,상승  50,15000.0,15150.0,14900.0,3937.0,SNT홀딩스,036530
2020-05-27,15100.0,상승  50,15250.0,15250.0,14800.0,7158.0,SNT홀딩스,036530
2020-05-28,14900.0,하락  200,15100.0,15150.0,14700.0,5635.0,SNT홀딩스,036530
2020-05-29,14800.0,하락  100,15000.0,15050.0,14750.0,3379.0,SNT홀딩스,036530
2020-06-01,15150.0,상승  350,14800.0,15150.0,14700.0,12322.0,SNT홀딩스,036530
2020-06-02,15950.0,상승  800,15150.0,16000.0,14900.0,23654.0,SNT홀딩스,036530
2020-06-03,15650.0,하락  300,16200.0,16200.0,15600.0,11087.0,SNT홀딩스,036530
2020-06-04,15400.0,하락  250,15650.0,16100.0,15400.0,6078.0,SNT홀딩스,036530
2020-06-05,15300.0,하락  100,15400.0,16100.0,15250.0,4842.0,SNT홀딩스,036530
2020-06-08,15450.0,상승  150,15550.0,15700.0,15250.0,8460.0,SNT홀딩스,036530
2020-06-09,16400.0,상승  950,15450.0,16450.0,15450.0,31585.0,SNT홀딩스,036530
2020-06-10,16500.0,상승  100,16400.0,16800.0,16200.0,17516.0,SNT홀딩스,036530
2020-06-11,16100.0,하락  400,16800.0,16800.0,16050.0,8207.0,SNT홀딩스,036530
2020-06-12,16450.0,상승  350,15700.0,16800.0,15400.0,17857.0,SNT홀딩스,036530
2020-06-15,15150.0,"하락  1,300",16300.0,16300.0,15100.0,17114.0,SNT홀딩스,036530
2020-06-16,15650.0,상승  500,15350.0,15900.0,15350.0,7528.0,SNT홀딩스,036530
2020-06-17,15900.0,상승  250,16400.0,16400.0,15450.0,4712.0,SNT홀딩스,036530
2020-06-18,15900.0,보합0,16300.0,16300.0,15800.0,2457.0,SNT홀딩스,036530
2020-06-19,15800.0,하락  100,16050.0,16200.0,15600.0,5741.0,SNT홀딩스,036530
