날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,54500.0,"하락  3,100",58300.0,60000.0,53700.0,27525.0,SPC삼립,005610
2020-03-17,51600.0,"하락  2,900",50300.0,53700.0,50300.0,23259.0,SPC삼립,005610
2020-03-18,49800.0,"하락  1,800",51800.0,53100.0,49800.0,27466.0,SPC삼립,005610
2020-03-19,42950.0,"하락  6,850",49800.0,51800.0,42500.0,36503.0,SPC삼립,005610
2020-03-20,43700.0,상승  750,42050.0,45500.0,42050.0,33392.0,SPC삼립,005610
2020-03-23,40650.0,"하락  3,050",40550.0,42000.0,39950.0,30407.0,SPC삼립,005610
2020-03-24,43650.0,"상승  3,000",41100.0,43800.0,40850.0,28669.0,SPC삼립,005610
2020-03-25,51100.0,"상승  7,450",44800.0,51400.0,44350.0,34992.0,SPC삼립,005610
2020-03-26,54000.0,"상승  2,900",54800.0,57600.0,52700.0,38872.0,SPC삼립,005610
2020-03-27,58800.0,"상승  4,800",56000.0,64900.0,55000.0,54229.0,SPC삼립,005610
2020-03-30,59000.0,상승  200,58800.0,60000.0,55500.0,19470.0,SPC삼립,005610
2020-03-31,60500.0,"상승  1,500",60000.0,62000.0,59300.0,25781.0,SPC삼립,005610
2020-04-01,61700.0,"상승  1,200",59500.0,63300.0,59400.0,31694.0,SPC삼립,005610
2020-04-02,61800.0,상승  100,61700.0,64000.0,58100.0,20118.0,SPC삼립,005610
2020-04-03,62000.0,상승  200,61900.0,62500.0,60600.0,12949.0,SPC삼립,005610
2020-04-06,63900.0,"상승  1,900",62000.0,64400.0,62000.0,18766.0,SPC삼립,005610
2020-04-07,66300.0,"상승  2,400",65600.0,66400.0,64100.0,26258.0,SPC삼립,005610
2020-04-08,66300.0,보합0,66600.0,68400.0,64600.0,21168.0,SPC삼립,005610
2020-04-09,67800.0,"상승  1,500",68000.0,68000.0,66400.0,16426.0,SPC삼립,005610
2020-04-10,67700.0,하락  100,67900.0,68000.0,66500.0,14143.0,SPC삼립,005610
2020-04-13,70000.0,"상승  2,300",68000.0,70600.0,66800.0,21623.0,SPC삼립,005610
2020-04-14,73000.0,"상승  3,000",70500.0,74200.0,70100.0,26927.0,SPC삼립,005610
2020-04-16,72700.0,하락  300,72900.0,72900.0,70000.0,15551.0,SPC삼립,005610
2020-04-17,72700.0,보합0,72600.0,73800.0,72400.0,16226.0,SPC삼립,005610
2020-04-20,72100.0,하락  600,72700.0,73000.0,72000.0,11665.0,SPC삼립,005610
2020-04-21,69900.0,"하락  2,200",72100.0,72100.0,68400.0,25671.0,SPC삼립,005610
2020-04-22,70100.0,상승  200,69900.0,70500.0,67500.0,14002.0,SPC삼립,005610
2020-04-23,71200.0,"상승  1,100",69500.0,71900.0,68600.0,14847.0,SPC삼립,005610
2020-04-24,70100.0,"하락  1,100",70600.0,71300.0,69600.0,11234.0,SPC삼립,005610
2020-04-27,71400.0,"상승  1,300",70200.0,73600.0,70200.0,23033.0,SPC삼립,005610
2020-04-28,71200.0,하락  200,73000.0,73500.0,70500.0,16635.0,SPC삼립,005610
2020-04-29,71100.0,하락  100,71000.0,71600.0,70800.0,10632.0,SPC삼립,005610
2020-05-04,70800.0,하락  300,71000.0,71500.0,68500.0,16073.0,SPC삼립,005610
2020-05-06,73700.0,"상승  2,900",72100.0,73800.0,71300.0,24775.0,SPC삼립,005610
2020-05-07,76400.0,"상승  2,700",73900.0,79100.0,73700.0,45328.0,SPC삼립,005610
2020-05-08,74000.0,"하락  2,400",76200.0,77000.0,73400.0,41041.0,SPC삼립,005610
2020-05-11,74700.0,상승  700,73500.0,75000.0,73000.0,27329.0,SPC삼립,005610
2020-05-12,73300.0,"하락  1,400",74500.0,74600.0,71800.0,13941.0,SPC삼립,005610
2020-05-13,73300.0,보합0,72900.0,73300.0,71000.0,8536.0,SPC삼립,005610
2020-05-14,72100.0,"하락  1,200",73100.0,73400.0,71900.0,8902.0,SPC삼립,005610
2020-05-15,73400.0,"상승  1,300",72200.0,73800.0,71600.0,13055.0,SPC삼립,005610
2020-05-18,72900.0,하락  500,74000.0,74000.0,72300.0,10906.0,SPC삼립,005610
2020-05-19,73100.0,상승  200,73200.0,75100.0,72900.0,13244.0,SPC삼립,005610
2020-05-20,74200.0,"상승  1,100",73500.0,74300.0,72800.0,9444.0,SPC삼립,005610
2020-05-21,73500.0,하락  700,73800.0,74000.0,73200.0,10142.0,SPC삼립,005610
2020-05-22,72100.0,"하락  1,400",73500.0,73800.0,72100.0,8982.0,SPC삼립,005610
2020-05-25,71700.0,하락  400,72800.0,72800.0,70800.0,9139.0,SPC삼립,005610
2020-05-26,72100.0,상승  400,72400.0,73100.0,71600.0,10794.0,SPC삼립,005610
2020-05-27,72200.0,상승  100,72100.0,72600.0,71400.0,6851.0,SPC삼립,005610
2020-05-28,70900.0,"하락  1,300",71700.0,72500.0,70900.0,13293.0,SPC삼립,005610
