날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1490.0,하락  255,1740.0,1790.0,1490.0,187886.0,TCC스틸,002710
2020-03-17,1420.0,하락  70,1485.0,1490.0,1365.0,194411.0,TCC스틸,002710
2020-03-18,1390.0,하락  30,1415.0,1485.0,1370.0,99833.0,TCC스틸,002710
2020-03-19,1215.0,하락  175,1445.0,1445.0,1160.0,115869.0,TCC스틸,002710
2020-03-20,1330.0,상승  115,1205.0,1330.0,1205.0,78812.0,TCC스틸,002710
2020-03-23,1085.0,하락  245,1285.0,1310.0,1035.0,202297.0,TCC스틸,002710
2020-03-24,1140.0,상승  55,1110.0,1170.0,1095.0,140578.0,TCC스틸,002710
2020-03-25,1245.0,상승  105,1180.0,1245.0,1165.0,110991.0,TCC스틸,002710
2020-03-26,1270.0,상승  25,1285.0,1320.0,1245.0,109857.0,TCC스틸,002710
2020-03-27,1325.0,상승  55,1370.0,1395.0,1300.0,67504.0,TCC스틸,002710
2020-03-30,1410.0,상승  85,1340.0,1470.0,1265.0,35476.0,TCC스틸,002710
2020-03-31,1430.0,상승  20,1435.0,1480.0,1400.0,38488.0,TCC스틸,002710
2020-04-01,1420.0,하락  10,1430.0,1555.0,1400.0,73428.0,TCC스틸,002710
2020-04-02,1490.0,상승  70,1500.0,1500.0,1400.0,13039.0,TCC스틸,002710
2020-04-03,1595.0,상승  105,1500.0,1620.0,1500.0,73638.0,TCC스틸,002710
2020-04-06,1595.0,보합0,1685.0,1685.0,1575.0,28565.0,TCC스틸,002710
2020-04-07,1665.0,상승  70,1620.0,1680.0,1620.0,43662.0,TCC스틸,002710
2020-04-08,1675.0,상승  10,1645.0,1740.0,1620.0,60350.0,TCC스틸,002710
2020-04-09,1745.0,상승  70,1675.0,1755.0,1675.0,23592.0,TCC스틸,002710
2020-04-10,1745.0,보합0,1745.0,1780.0,1640.0,82687.0,TCC스틸,002710
2020-04-13,1610.0,하락  135,1690.0,1700.0,1610.0,93301.0,TCC스틸,002710
2020-04-14,1645.0,상승  35,1620.0,1650.0,1610.0,16803.0,TCC스틸,002710
2020-04-16,1650.0,상승  5,1645.0,1670.0,1605.0,22459.0,TCC스틸,002710
2020-04-17,1700.0,상승  50,1655.0,1770.0,1655.0,79837.0,TCC스틸,002710
2020-04-20,1770.0,상승  70,1690.0,1795.0,1690.0,75913.0,TCC스틸,002710
2020-04-21,1715.0,하락  55,1755.0,1760.0,1675.0,28887.0,TCC스틸,002710
2020-04-22,1725.0,상승  10,1705.0,1725.0,1630.0,29192.0,TCC스틸,002710
2020-04-23,1720.0,하락  5,1725.0,1755.0,1705.0,18848.0,TCC스틸,002710
2020-04-24,1710.0,하락  10,1720.0,1765.0,1660.0,31451.0,TCC스틸,002710
2020-04-27,1720.0,상승  10,1740.0,1740.0,1690.0,21135.0,TCC스틸,002710
2020-04-28,1730.0,상승  10,1730.0,1735.0,1710.0,16335.0,TCC스틸,002710
2020-04-29,1760.0,상승  30,1730.0,1765.0,1715.0,36851.0,TCC스틸,002710
2020-05-04,1760.0,보합0,1740.0,1785.0,1710.0,22106.0,TCC스틸,002710
2020-05-06,1810.0,상승  50,1760.0,1830.0,1760.0,34297.0,TCC스틸,002710
2020-05-07,1830.0,상승  20,1810.0,1865.0,1810.0,16116.0,TCC스틸,002710
2020-05-08,1840.0,상승  10,1830.0,1885.0,1830.0,30840.0,TCC스틸,002710
2020-05-11,1870.0,상승  30,1915.0,1915.0,1845.0,34726.0,TCC스틸,002710
2020-05-12,1850.0,하락  20,1870.0,1920.0,1830.0,14474.0,TCC스틸,002710
2020-05-13,1890.0,상승  40,1820.0,1890.0,1820.0,25181.0,TCC스틸,002710
2020-05-14,1850.0,하락  40,1900.0,1900.0,1805.0,21177.0,TCC스틸,002710
2020-05-15,1885.0,상승  35,1850.0,1910.0,1850.0,41524.0,TCC스틸,002710
2020-05-18,1840.0,하락  45,1885.0,1885.0,1790.0,65734.0,TCC스틸,002710
2020-05-19,1860.0,상승  20,1840.0,1895.0,1815.0,35808.0,TCC스틸,002710
2020-05-20,1880.0,상승  20,1860.0,1890.0,1830.0,32408.0,TCC스틸,002710
2020-05-21,1905.0,상승  25,1880.0,1905.0,1870.0,24018.0,TCC스틸,002710
2020-05-22,1855.0,하락  50,1885.0,1910.0,1845.0,28329.0,TCC스틸,002710
2020-05-25,1850.0,하락  5,1835.0,1855.0,1825.0,8556.0,TCC스틸,002710
2020-05-26,2405.0,상한가  555,1835.0,2405.0,1835.0,5050138.0,TCC스틸,002710
2020-05-27,2305.0,하락  100,2475.0,2575.0,2260.0,2948965.0,TCC스틸,002710
2020-05-28,2205.0,하락  100,2310.0,2345.0,2165.0,472148.0,TCC스틸,002710
2020-05-29,2075.0,하락  130,2210.0,2265.0,2050.0,601673.0,TCC스틸,002710
2020-06-01,2175.0,상승  100,2110.0,2175.0,2080.0,396717.0,TCC스틸,002710
2020-06-02,2115.0,하락  60,2170.0,2200.0,2105.0,240409.0,TCC스틸,002710
2020-06-03,2125.0,상승  10,2130.0,2370.0,2090.0,3236839.0,TCC스틸,002710
2020-06-04,2040.0,하락  85,2125.0,2145.0,2030.0,249150.0,TCC스틸,002710
2020-06-05,2100.0,상승  60,2055.0,2105.0,2050.0,124316.0,TCC스틸,002710
2020-06-08,2145.0,상승  45,2135.0,2185.0,2105.0,414265.0,TCC스틸,002710
2020-06-09,2135.0,하락  10,2155.0,2175.0,2100.0,159646.0,TCC스틸,002710
2020-06-10,2065.0,하락  70,2130.0,2135.0,1985.0,139471.0,TCC스틸,002710
2020-06-11,2045.0,하락  20,2100.0,2100.0,2045.0,58224.0,TCC스틸,002710
2020-06-12,1965.0,하락  80,1965.0,1985.0,1915.0,147440.0,TCC스틸,002710
2020-06-15,1870.0,하락  95,2005.0,2005.0,1865.0,122791.0,TCC스틸,002710
2020-06-16,1955.0,상승  85,1880.0,2155.0,1880.0,285017.0,TCC스틸,002710
2020-06-17,2030.0,상승  75,2000.0,2095.0,1970.0,301485.0,TCC스틸,002710
2020-06-18,2030.0,보합0,2075.0,2095.0,2000.0,117814.0,TCC스틸,002710
2020-06-19,2015.0,하락  15,2030.0,2040.0,1995.0,53133.0,TCC스틸,002710
2020-06-22,2000.0,하락  15,1995.0,2000.0,1945.0,49924.0,TCC스틸,002710
2020-06-23,1920.0,하락  80,2010.0,2045.0,1885.0,188188.0,TCC스틸,002710
2020-06-24,1935.0,상승  15,1920.0,1935.0,1905.0,49293.0,TCC스틸,002710
2020-06-25,1875.0,하락  60,1900.0,1925.0,1870.0,60501.0,TCC스틸,002710
2020-06-26,1875.0,보합0,1865.0,1905.0,1860.0,30361.0,TCC스틸,002710
2020-06-29,1810.0,하락  65,1875.0,1895.0,1810.0,40412.0,TCC스틸,002710
2020-06-30,1830.0,상승  20,1935.0,1935.0,1820.0,38368.0,TCC스틸,002710
2020-07-01,1800.0,하락  30,1870.0,1870.0,1800.0,28180.0,TCC스틸,002710
2020-07-02,1815.0,상승  15,1805.0,1830.0,1800.0,40868.0,TCC스틸,002710
2020-07-03,1835.0,상승  20,1855.0,1900.0,1825.0,16198.0,TCC스틸,002710
2020-07-06,1870.0,상승  35,1900.0,1970.0,1835.0,101574.0,TCC스틸,002710
2020-07-07,1890.0,상승  20,1910.0,1910.0,1850.0,31056.0,TCC스틸,002710
2020-07-08,1860.0,하락  30,1890.0,1910.0,1855.0,16409.0,TCC스틸,002710
2020-07-09,1840.0,하락  20,1845.0,1875.0,1835.0,31780.0,TCC스틸,002710
2020-07-10,1830.0,하락  10,1840.0,1850.0,1800.0,32533.0,TCC스틸,002710
2020-07-13,1810.0,하락  20,1830.0,1870.0,1795.0,37837.0,TCC스틸,002710
2020-07-14,1815.0,상승  5,1830.0,1830.0,1800.0,27258.0,TCC스틸,002710
2020-07-15,1835.0,상승  20,1855.0,1855.0,1810.0,20145.0,TCC스틸,002710
