날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1735.0,하락  205,1750.0,1845.0,1540.0,613764.0,TP,007980
2020-03-16,1545.0,하락  190,1700.0,1770.0,1540.0,539928.0,TP,007980
2020-03-17,1440.0,하락  105,1355.0,1460.0,1340.0,917668.0,TP,007980
2020-03-18,1405.0,하락  35,1450.0,1495.0,1400.0,730442.0,TP,007980
2020-03-19,1135.0,하락  270,1405.0,1415.0,1050.0,798014.0,TP,007980
2020-03-20,1210.0,상승  75,1135.0,1250.0,1135.0,401221.0,TP,007980
2020-03-23,1090.0,하락  120,1110.0,1175.0,1050.0,383125.0,TP,007980
2020-03-24,1210.0,상승  120,1120.0,1230.0,1120.0,223696.0,TP,007980
2020-03-25,1280.0,상승  70,1235.0,1310.0,1230.0,256654.0,TP,007980
2020-03-26,1300.0,상승  20,1295.0,1350.0,1255.0,387116.0,TP,007980
2020-03-27,1285.0,하락  15,1345.0,1350.0,1250.0,475119.0,TP,007980
2020-03-30,1280.0,하락  5,1245.0,1290.0,1220.0,186206.0,TP,007980
2020-03-31,1390.0,상승  110,1315.0,1410.0,1310.0,604635.0,TP,007980
2020-04-01,1370.0,하락  20,1360.0,1480.0,1310.0,620805.0,TP,007980
2020-04-02,1390.0,상승  20,1355.0,1390.0,1320.0,293619.0,TP,007980
2020-04-03,1805.0,상한가  415,1415.0,1805.0,1395.0,5301113.0,TP,007980
2020-04-06,1905.0,상승  100,1910.0,1995.0,1780.0,15168735.0,TP,007980
2020-04-07,1870.0,하락  35,1970.0,1975.0,1760.0,3564006.0,TP,007980
2020-04-08,1870.0,보합0,1890.0,2135.0,1770.0,10895372.0,TP,007980
2020-04-09,1970.0,상승  100,1915.0,2100.0,1895.0,7767598.0,TP,007980
2020-04-10,1825.0,하락  145,1955.0,1965.0,1745.0,2229224.0,TP,007980
2020-04-13,1735.0,하락  90,1815.0,1860.0,1715.0,873596.0,TP,007980
2020-04-14,1745.0,상승  10,1745.0,1785.0,1720.0,822486.0,TP,007980
2020-04-16,1730.0,하락  15,1720.0,1780.0,1680.0,438184.0,TP,007980
2020-04-17,1780.0,상승  50,1740.0,1830.0,1715.0,1146508.0,TP,007980
2020-04-20,1800.0,상승  20,1785.0,1810.0,1750.0,673300.0,TP,007980
2020-04-21,1685.0,하락  115,1780.0,1795.0,1635.0,1111853.0,TP,007980
2020-04-22,1800.0,상승  115,1685.0,1825.0,1600.0,2818970.0,TP,007980
2020-04-23,2000.0,상승  200,2185.0,2235.0,1985.0,12749155.0,TP,007980
2020-04-24,1995.0,하락  5,2000.0,2085.0,1925.0,3731451.0,TP,007980
2020-04-27,2185.0,상승  190,1995.0,2260.0,1995.0,8335225.0,TP,007980
2020-04-28,2285.0,상승  100,2175.0,2290.0,2085.0,3602004.0,TP,007980
2020-04-29,2200.0,하락  85,2245.0,2400.0,2150.0,7456713.0,TP,007980
2020-05-04,2060.0,하락  140,2120.0,2170.0,2060.0,1858930.0,TP,007980
2020-05-06,2115.0,상승  55,2090.0,2195.0,2030.0,3101927.0,TP,007980
2020-05-07,2260.0,상승  145,2225.0,2275.0,2110.0,6148637.0,TP,007980
2020-05-08,2255.0,하락  5,2215.0,2330.0,2170.0,4853699.0,TP,007980
