날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1980.0,하락  185,1850.0,2145.0,1790.0,85342.0,WISCOM,024070
2020-03-16,1925.0,하락  55,2030.0,2030.0,1915.0,29486.0,WISCOM,024070
2020-03-17,1895.0,하락  30,1935.0,1935.0,1850.0,29183.0,WISCOM,024070
2020-03-18,1900.0,상승  5,1900.0,1975.0,1900.0,20232.0,WISCOM,024070
2020-03-19,1745.0,하락  155,1910.0,1910.0,1725.0,54414.0,WISCOM,024070
2020-03-20,1730.0,하락  15,1725.0,1800.0,1655.0,40117.0,WISCOM,024070
2020-03-23,1630.0,하락  100,1700.0,1720.0,1565.0,14212.0,WISCOM,024070
2020-03-24,1695.0,상승  65,1775.0,1775.0,1615.0,6427.0,WISCOM,024070
2020-03-25,1690.0,하락  5,1730.0,1765.0,1670.0,53229.0,WISCOM,024070
2020-03-26,1700.0,상승  10,1750.0,1880.0,1700.0,21365.0,WISCOM,024070
2020-03-27,1780.0,상승  80,1760.0,1860.0,1725.0,19090.0,WISCOM,024070
2020-03-30,1860.0,상승  80,1790.0,1870.0,1715.0,18802.0,WISCOM,024070
2020-03-31,1945.0,상승  85,1895.0,1960.0,1860.0,12267.0,WISCOM,024070
2020-04-01,1960.0,상승  15,1945.0,1985.0,1905.0,16216.0,WISCOM,024070
2020-04-02,1890.0,하락  70,1915.0,1955.0,1885.0,16903.0,WISCOM,024070
2020-04-03,1875.0,하락  15,1890.0,1920.0,1875.0,175926.0,WISCOM,024070
2020-04-06,1930.0,상승  55,1900.0,1960.0,1880.0,33393.0,WISCOM,024070
2020-04-07,1985.0,상승  55,1950.0,1990.0,1910.0,43870.0,WISCOM,024070
2020-04-08,1985.0,보합0,1970.0,1995.0,1935.0,21980.0,WISCOM,024070
2020-04-09,2010.0,상승  25,1990.0,2030.0,1965.0,38244.0,WISCOM,024070
2020-04-10,2020.0,상승  10,2010.0,2050.0,1970.0,23622.0,WISCOM,024070
2020-04-13,1985.0,하락  35,2015.0,2030.0,1980.0,48473.0,WISCOM,024070
2020-04-14,2030.0,상승  45,1990.0,2045.0,1980.0,35938.0,WISCOM,024070
2020-04-16,2020.0,하락  10,2035.0,2035.0,2000.0,72133.0,WISCOM,024070
2020-04-17,2075.0,상승  55,2020.0,2095.0,2020.0,45943.0,WISCOM,024070
2020-04-20,2070.0,하락  5,2065.0,2105.0,2065.0,29540.0,WISCOM,024070
2020-04-21,2030.0,하락  40,2095.0,2095.0,1980.0,35204.0,WISCOM,024070
2020-04-22,2025.0,하락  5,2030.0,2035.0,1990.0,17826.0,WISCOM,024070
2020-04-23,2075.0,상승  50,2035.0,2125.0,2020.0,13139.0,WISCOM,024070
2020-04-24,2060.0,하락  15,2120.0,2120.0,2040.0,5698.0,WISCOM,024070
2020-04-27,2060.0,보합0,2045.0,2090.0,2045.0,2992.0,WISCOM,024070
2020-04-28,2130.0,상승  70,2065.0,2140.0,2065.0,6638.0,WISCOM,024070
2020-04-29,2115.0,하락  15,2090.0,2160.0,2090.0,17840.0,WISCOM,024070
2020-05-04,2125.0,상승  10,2115.0,2155.0,2085.0,18542.0,WISCOM,024070
2020-05-06,2230.0,상승  105,2130.0,2230.0,2130.0,16445.0,WISCOM,024070
2020-05-07,2220.0,하락  10,2230.0,2240.0,2195.0,4359.0,WISCOM,024070
2020-05-08,2220.0,보합0,2220.0,2255.0,2215.0,7181.0,WISCOM,024070
