날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1140.0,하락  25,1165.0,1230.0,1090.0,75834.0,갤럭시아에스엠,011420
2020-03-17,1065.0,하락  75,1000.0,1120.0,1000.0,133276.0,갤럭시아에스엠,011420
2020-03-18,990.0,하락  75,1055.0,1110.0,982.0,84787.0,갤럭시아에스엠,011420
2020-03-19,751.0,하락  239,990.0,1035.0,693.0,476436.0,갤럭시아에스엠,011420
2020-03-20,828.0,상승  77,751.0,850.0,730.0,203260.0,갤럭시아에스엠,011420
2020-03-23,743.0,하락  85,815.0,815.0,726.0,162053.0,갤럭시아에스엠,011420
2020-03-24,828.0,상승  85,744.0,828.0,744.0,247214.0,갤럭시아에스엠,011420
2020-03-25,1020.0,상승  192,880.0,1075.0,880.0,492135.0,갤럭시아에스엠,011420
2020-03-26,1020.0,보합0,1020.0,1050.0,991.0,224209.0,갤럭시아에스엠,011420
2020-03-27,1010.0,하락  10,1035.0,1150.0,1000.0,254559.0,갤럭시아에스엠,011420
2020-03-30,1000.0,하락  10,990.0,1000.0,959.0,106740.0,갤럭시아에스엠,011420
2020-03-31,1060.0,상승  60,1070.0,1075.0,1015.0,139362.0,갤럭시아에스엠,011420
2020-04-01,1020.0,하락  40,1050.0,1070.0,998.0,121305.0,갤럭시아에스엠,011420
2020-04-02,1010.0,하락  10,1000.0,1020.0,976.0,118669.0,갤럭시아에스엠,011420
2020-04-03,999.0,하락  11,1010.0,1030.0,993.0,100073.0,갤럭시아에스엠,011420
2020-04-06,1100.0,상승  101,1020.0,1105.0,1000.0,188952.0,갤럭시아에스엠,011420
2020-04-07,1225.0,상승  125,1105.0,1340.0,1105.0,343513.0,갤럭시아에스엠,011420
2020-04-08,1230.0,상승  5,1225.0,1235.0,1160.0,108094.0,갤럭시아에스엠,011420
2020-04-09,1260.0,상승  30,1240.0,1270.0,1215.0,119727.0,갤럭시아에스엠,011420
2020-04-10,1350.0,상승  90,1270.0,1545.0,1245.0,1547098.0,갤럭시아에스엠,011420
2020-04-13,1250.0,하락  100,1350.0,1370.0,1235.0,213526.0,갤럭시아에스엠,011420
