날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2025-05-15,9270.0,하락  80,9360.0,9390.0,9240.0,16237.0,경농,002100
2025-05-16,9280.0,상승  10,9280.0,9300.0,9220.0,19970.0,경농,002100
2025-05-19,9240.0,하락  40,9300.0,9300.0,9210.0,13840.0,경농,002100
2025-05-20,9370.0,상승  130,9280.0,9400.0,9260.0,32152.0,경농,002100
2025-05-21,9400.0,상승  30,9370.0,9420.0,9320.0,18706.0,경농,002100
2025-05-22,9260.0,하락  140,9400.0,9400.0,9260.0,17859.0,경농,002100
2025-05-23,9330.0,상승  70,9270.0,9340.0,9240.0,18173.0,경농,002100
2025-05-26,9340.0,상승  10,9350.0,9400.0,9290.0,22577.0,경농,002100
2025-05-27,9290.0,하락  50,9370.0,9370.0,9250.0,25531.0,경농,002100
2025-05-28,9310.0,상승  20,9290.0,9360.0,9250.0,20672.0,경농,002100
