날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,27100.0,"하락  2,500",25450.0,27650.0,24050.0,28249.0,경동인베스트,012320
2020-03-16,24550.0,"하락  2,550",25500.0,26750.0,24550.0,21529.0,경동인베스트,012320
2020-03-17,23950.0,하락  600,22100.0,24500.0,22100.0,19529.0,경동인베스트,012320
2020-03-18,22100.0,"하락  1,850",23750.0,24050.0,22050.0,11007.0,경동인베스트,012320
2020-03-19,18000.0,"하락  4,100",21600.0,23000.0,17950.0,23057.0,경동인베스트,012320
2020-03-20,19150.0,"상승  1,150",18050.0,19800.0,18050.0,11941.0,경동인베스트,012320
2020-03-23,18400.0,하락  750,17300.0,18950.0,16600.0,21954.0,경동인베스트,012320
2020-03-24,19350.0,상승  950,18950.0,19350.0,18450.0,9948.0,경동인베스트,012320
2020-03-25,20900.0,"상승  1,550",19600.0,20950.0,19600.0,11285.0,경동인베스트,012320
2020-03-26,20900.0,보합0,21300.0,21700.0,20650.0,12175.0,경동인베스트,012320
2020-03-27,21050.0,상승  150,21000.0,21900.0,20350.0,9204.0,경동인베스트,012320
2020-03-30,22300.0,"상승  1,250",20900.0,22500.0,20200.0,8092.0,경동인베스트,012320
2020-03-31,23650.0,"상승  1,350",22800.0,24350.0,21500.0,14485.0,경동인베스트,012320
2020-04-01,22850.0,하락  800,23650.0,23650.0,22350.0,6785.0,경동인베스트,012320
2020-04-02,23150.0,상승  300,22850.0,23200.0,22200.0,3298.0,경동인베스트,012320
2020-04-03,22450.0,하락  700,23350.0,24500.0,22250.0,10250.0,경동인베스트,012320
2020-04-06,23350.0,상승  900,22250.0,23350.0,22250.0,5954.0,경동인베스트,012320
2020-04-07,23850.0,상승  500,24200.0,24350.0,23300.0,10458.0,경동인베스트,012320
2020-04-08,24000.0,상승  150,23850.0,24350.0,23500.0,3414.0,경동인베스트,012320
2020-04-09,24500.0,상승  500,24350.0,24850.0,24000.0,5171.0,경동인베스트,012320
2020-04-10,25000.0,상승  500,24950.0,25350.0,24100.0,6252.0,경동인베스트,012320
2020-04-13,24300.0,하락  700,25000.0,25150.0,24250.0,3793.0,경동인베스트,012320
2020-04-14,24950.0,상승  650,24300.0,25250.0,24150.0,3962.0,경동인베스트,012320
2020-04-16,25850.0,상승  900,24900.0,26750.0,24400.0,6316.0,경동인베스트,012320
2020-04-17,27000.0,"상승  1,150",26800.0,27600.0,26050.0,6818.0,경동인베스트,012320
2020-04-20,27900.0,상승  900,27850.0,28450.0,27150.0,6558.0,경동인베스트,012320
2020-04-21,27500.0,하락  400,27950.0,28200.0,26500.0,6592.0,경동인베스트,012320
2020-04-22,27350.0,하락  150,27050.0,27350.0,26300.0,6745.0,경동인베스트,012320
2020-04-23,27350.0,보합0,28400.0,28400.0,27150.0,3560.0,경동인베스트,012320
2020-04-24,27550.0,상승  200,28050.0,28050.0,27050.0,1896.0,경동인베스트,012320
2020-04-27,27600.0,상승  50,27600.0,27700.0,27200.0,1580.0,경동인베스트,012320
2020-04-28,27500.0,하락  100,27400.0,28400.0,27000.0,3212.0,경동인베스트,012320
2020-04-29,28150.0,상승  650,27200.0,28300.0,27200.0,1615.0,경동인베스트,012320
2020-05-04,29250.0,"상승  1,100",28100.0,29850.0,27650.0,6516.0,경동인베스트,012320
2020-05-06,29050.0,하락  200,28950.0,29450.0,28950.0,2549.0,경동인베스트,012320
