날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2200.0,하락  250,2115.0,2300.0,2065.0,729246.0,계양전기,012200
2020-03-16,2105.0,하락  95,2250.0,2270.0,2100.0,386858.0,계양전기,012200
2020-03-17,2075.0,하락  30,1895.0,2140.0,1890.0,292409.0,계양전기,012200
2020-03-18,2000.0,하락  75,2095.0,2145.0,2000.0,297453.0,계양전기,012200
2020-03-19,1695.0,하락  305,2045.0,2055.0,1645.0,485915.0,계양전기,012200
2020-03-20,1805.0,상승  110,1690.0,1835.0,1690.0,284370.0,계양전기,012200
2020-03-23,1690.0,하락  115,1690.0,1740.0,1640.0,219103.0,계양전기,012200
2020-03-24,1860.0,상승  170,1725.0,1980.0,1705.0,792144.0,계양전기,012200
2020-03-25,1985.0,상승  125,1950.0,2010.0,1900.0,480250.0,계양전기,012200
2020-03-26,2020.0,상승  35,2000.0,2105.0,1955.0,333166.0,계양전기,012200
2020-03-27,2070.0,상승  50,2120.0,2140.0,1955.0,335105.0,계양전기,012200
2020-03-30,2060.0,하락  10,1975.0,2085.0,1945.0,425589.0,계양전기,012200
2020-03-31,2175.0,상승  115,2100.0,2260.0,2075.0,676430.0,계양전기,012200
2020-04-01,2180.0,상승  5,2175.0,2260.0,2115.0,439750.0,계양전기,012200
2020-04-02,2215.0,상승  35,2170.0,2220.0,2120.0,259465.0,계양전기,012200
2020-04-03,2220.0,상승  5,2380.0,2380.0,2170.0,436542.0,계양전기,012200
2020-04-06,2310.0,상승  90,2235.0,2320.0,2215.0,365564.0,계양전기,012200
2020-04-07,2380.0,상승  70,2405.0,2405.0,2315.0,381371.0,계양전기,012200
2020-04-08,2395.0,상승  15,2385.0,2435.0,2330.0,340731.0,계양전기,012200
2020-04-09,2435.0,상승  40,2430.0,2450.0,2390.0,339113.0,계양전기,012200
2020-04-10,2420.0,하락  15,2480.0,2500.0,2235.0,308324.0,계양전기,012200
2020-04-13,2340.0,하락  80,2420.0,2445.0,2295.0,220385.0,계양전기,012200
2020-04-14,2395.0,상승  55,2365.0,2460.0,2355.0,437888.0,계양전기,012200
2020-04-16,2515.0,상승  120,2410.0,2615.0,2360.0,615137.0,계양전기,012200
2020-04-17,2570.0,상승  55,2560.0,2640.0,2515.0,460529.0,계양전기,012200
2020-04-20,2615.0,상승  45,2600.0,2645.0,2555.0,264596.0,계양전기,012200
2020-04-21,2565.0,하락  50,2570.0,2690.0,2420.0,470418.0,계양전기,012200
2020-04-22,2535.0,하락  30,2555.0,2555.0,2430.0,191890.0,계양전기,012200
2020-04-23,2655.0,상승  120,2535.0,2890.0,2535.0,2266637.0,계양전기,012200
2020-04-24,2600.0,하락  55,2630.0,2655.0,2560.0,342032.0,계양전기,012200
2020-04-27,2660.0,상승  60,2620.0,2695.0,2600.0,263836.0,계양전기,012200
2020-04-28,2765.0,상승  105,2695.0,2825.0,2670.0,1756681.0,계양전기,012200
2020-04-29,2740.0,하락  25,2785.0,2800.0,2715.0,320084.0,계양전기,012200
2020-05-04,2745.0,상승  5,2745.0,2780.0,2715.0,245178.0,계양전기,012200
2020-05-06,2780.0,상승  35,2800.0,2800.0,2735.0,190447.0,계양전기,012200
2020-05-07,2915.0,상승  135,2785.0,3085.0,2755.0,4928378.0,계양전기,012200
2020-05-08,2890.0,하락  25,2910.0,2925.0,2860.0,600477.0,계양전기,012200
2020-05-11,2855.0,하락  35,2910.0,2915.0,2845.0,218040.0,계양전기,012200
2020-05-12,2855.0,보합0,2845.0,2870.0,2765.0,247460.0,계양전기,012200
2020-05-13,2850.0,하락  5,2855.0,2875.0,2770.0,186431.0,계양전기,012200
2020-05-14,2770.0,하락  80,2800.0,2850.0,2760.0,157106.0,계양전기,012200
2020-05-15,2740.0,하락  30,2770.0,2795.0,2725.0,126802.0,계양전기,012200
2020-05-18,2790.0,상승  50,2800.0,2805.0,2730.0,87531.0,계양전기,012200
2020-05-19,2835.0,상승  45,2800.0,2910.0,2800.0,311222.0,계양전기,012200
2020-05-20,2840.0,상승  5,2845.0,2880.0,2820.0,152503.0,계양전기,012200
2020-05-21,2900.0,상승  60,2890.0,3050.0,2850.0,1236055.0,계양전기,012200
2020-05-22,2870.0,하락  30,2920.0,3000.0,2845.0,623978.0,계양전기,012200
2020-05-25,2920.0,상승  50,2880.0,2940.0,2865.0,187750.0,계양전기,012200
2020-05-26,2935.0,상승  15,2920.0,2985.0,2905.0,340800.0,계양전기,012200
2020-05-27,2930.0,하락  5,2935.0,2955.0,2890.0,370469.0,계양전기,012200
