날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,1520.0,하락  180,1515.0,1580.0,1370.0,929502.0,광명전기,017040
2020-03-16,1490.0,하락  30,1565.0,1585.0,1410.0,743745.0,광명전기,017040
2020-03-17,1500.0,상승  10,1360.0,1520.0,1360.0,459731.0,광명전기,017040
2020-03-18,1525.0,상승  25,1500.0,1550.0,1445.0,599408.0,광명전기,017040
2020-03-19,1130.0,하락  395,1510.0,1525.0,1085.0,1037370.0,광명전기,017040
2020-03-20,1200.0,상승  70,1130.0,1240.0,1100.0,2838260.0,광명전기,017040
2020-03-23,1080.0,하락  120,1075.0,1145.0,1050.0,1108179.0,광명전기,017040
2020-03-24,1160.0,상승  80,1110.0,1170.0,1100.0,509850.0,광명전기,017040
2020-03-25,1260.0,상승  100,1220.0,1280.0,1200.0,547419.0,광명전기,017040
2020-03-26,1325.0,상승  65,1280.0,1365.0,1245.0,766191.0,광명전기,017040
2020-03-27,1340.0,상승  15,1400.0,1405.0,1295.0,477130.0,광명전기,017040
2020-03-30,1355.0,상승  15,1275.0,1355.0,1265.0,307797.0,광명전기,017040
2020-03-31,1495.0,상승  140,1395.0,1600.0,1380.0,1602236.0,광명전기,017040
2020-04-01,1435.0,하락  60,1495.0,1560.0,1430.0,938061.0,광명전기,017040
2020-04-02,1460.0,상승  25,1465.0,1470.0,1405.0,312208.0,광명전기,017040
2020-04-03,1475.0,상승  15,1475.0,1505.0,1460.0,298638.0,광명전기,017040
2020-04-06,1565.0,상승  90,1480.0,1565.0,1480.0,699314.0,광명전기,017040
2020-04-07,1650.0,상승  85,1615.0,1690.0,1555.0,960169.0,광명전기,017040
2020-04-08,1675.0,상승  25,1680.0,1710.0,1600.0,594405.0,광명전기,017040
2020-04-09,1685.0,상승  10,1710.0,1730.0,1665.0,514362.0,광명전기,017040
2020-04-10,1750.0,상승  65,1700.0,1755.0,1640.0,607657.0,광명전기,017040
2020-04-13,1735.0,하락  15,1755.0,1770.0,1700.0,363693.0,광명전기,017040
2020-04-14,1920.0,상승  185,1745.0,2140.0,1745.0,7274004.0,광명전기,017040
2020-04-16,2050.0,상승  130,1960.0,2065.0,1865.0,1961205.0,광명전기,017040
2020-04-17,2020.0,하락  30,2050.0,2060.0,1990.0,788996.0,광명전기,017040
2020-04-20,2085.0,상승  65,2060.0,2185.0,2035.0,1603718.0,광명전기,017040
2020-04-21,2020.0,하락  65,2100.0,2160.0,1885.0,1652139.0,광명전기,017040
2020-04-22,2060.0,상승  40,1940.0,2060.0,1930.0,721532.0,광명전기,017040
2020-04-23,2090.0,상승  30,2070.0,2160.0,2035.0,1169461.0,광명전기,017040
2020-04-24,2045.0,하락  45,2090.0,2145.0,2030.0,473875.0,광명전기,017040
2020-04-27,2065.0,상승  20,2055.0,2120.0,2040.0,291318.0,광명전기,017040
2020-04-28,2055.0,하락  10,2090.0,2105.0,2015.0,272573.0,광명전기,017040
2020-04-29,2060.0,상승  5,2045.0,2100.0,2045.0,238679.0,광명전기,017040
2020-05-04,2055.0,하락  5,2100.0,2100.0,2050.0,281542.0,광명전기,017040
2020-05-06,2085.0,상승  30,2090.0,2115.0,2070.0,366451.0,광명전기,017040
2020-05-07,2125.0,상승  40,2100.0,2160.0,2085.0,396281.0,광명전기,017040
2020-05-08,2165.0,상승  40,2155.0,2190.0,2135.0,574922.0,광명전기,017040
2020-05-11,2075.0,하락  90,2170.0,2170.0,2055.0,512989.0,광명전기,017040
2020-05-12,2035.0,하락  40,2090.0,2095.0,2005.0,492013.0,광명전기,017040
2020-05-13,2045.0,상승  10,2015.0,2045.0,2005.0,166873.0,광명전기,017040
2020-05-14,1980.0,하락  65,2035.0,2045.0,1955.0,536412.0,광명전기,017040
2020-05-15,2015.0,상승  35,2000.0,2015.0,1975.0,237993.0,광명전기,017040
2020-05-18,2005.0,하락  10,2010.0,2035.0,1980.0,143179.0,광명전기,017040
2020-05-19,2040.0,상승  35,2040.0,2050.0,2010.0,237060.0,광명전기,017040
2020-05-20,2045.0,상승  5,2020.0,2045.0,2020.0,115905.0,광명전기,017040
2020-05-21,2060.0,상승  15,2050.0,2080.0,2025.0,369742.0,광명전기,017040
2020-05-22,2050.0,하락  10,2110.0,2130.0,2045.0,536057.0,광명전기,017040
2020-05-25,2045.0,하락  5,2050.0,2055.0,2025.0,212511.0,광명전기,017040
2020-05-26,2105.0,상승  60,2075.0,2140.0,2045.0,576549.0,광명전기,017040
2020-05-27,2110.0,상승  5,2115.0,2140.0,2075.0,414928.0,광명전기,017040
2020-05-28,2230.0,상승  120,2140.0,2480.0,2110.0,5641528.0,광명전기,017040
2020-05-29,2190.0,하락  40,2175.0,2205.0,2140.0,663849.0,광명전기,017040
2020-06-01,2180.0,하락  10,2210.0,2235.0,2180.0,417411.0,광명전기,017040
2020-06-02,2195.0,상승  15,2180.0,2235.0,2160.0,385079.0,광명전기,017040
