날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6070.0,하락  570,6230.0,6240.0,5400.0,325916.0,교보증권,030610
2020-03-16,5840.0,하락  230,6100.0,6240.0,5810.0,151203.0,교보증권,030610
2020-03-17,5600.0,하락  240,5760.0,5890.0,5520.0,140477.0,교보증권,030610
2020-03-18,5250.0,하락  350,5710.0,5740.0,5240.0,103029.0,교보증권,030610
2020-03-19,4550.0,하락  700,5260.0,5280.0,4420.0,214460.0,교보증권,030610
2020-03-20,4950.0,상승  400,4700.0,4960.0,4490.0,199405.0,교보증권,030610
2020-03-23,4440.0,하락  510,4590.0,4640.0,4400.0,362994.0,교보증권,030610
2020-03-24,4850.0,상승  410,4580.0,4870.0,4440.0,226896.0,교보증권,030610
2020-03-25,5370.0,상승  520,5120.0,5510.0,5000.0,263406.0,교보증권,030610
2020-03-26,5550.0,상승  180,5450.0,5790.0,5260.0,208175.0,교보증권,030610
2020-03-27,5650.0,상승  100,5830.0,5880.0,5500.0,269220.0,교보증권,030610
2020-03-30,5690.0,상승  40,5510.0,5730.0,5350.0,186350.0,교보증권,030610
2020-03-31,5920.0,상승  230,5750.0,6650.0,5750.0,190678.0,교보증권,030610
2020-04-01,5740.0,하락  180,5920.0,6130.0,5680.0,146950.0,교보증권,030610
2020-04-02,5830.0,상승  90,5720.0,5850.0,5600.0,152726.0,교보증권,030610
2020-04-03,5780.0,하락  50,5930.0,5940.0,5580.0,128889.0,교보증권,030610
2020-04-06,6000.0,상승  220,5790.0,6000.0,5760.0,173715.0,교보증권,030610
2020-04-07,6030.0,상승  30,6160.0,6240.0,5880.0,243711.0,교보증권,030610
2020-04-08,6070.0,상승  40,5970.0,6200.0,5920.0,162796.0,교보증권,030610
2020-04-09,6230.0,상승  160,6150.0,6290.0,6140.0,145439.0,교보증권,030610
2020-04-10,6500.0,상승  270,6310.0,6540.0,6190.0,176431.0,교보증권,030610
2020-04-13,6270.0,하락  230,6520.0,6650.0,6250.0,245035.0,교보증권,030610
2020-04-14,6410.0,상승  140,6330.0,6470.0,6250.0,141546.0,교보증권,030610
2020-04-16,6430.0,상승  20,6310.0,6480.0,6230.0,108435.0,교보증권,030610
2020-04-17,6700.0,상승  270,6610.0,6970.0,6500.0,231933.0,교보증권,030610
2020-04-20,6590.0,하락  110,6700.0,6770.0,6570.0,197221.0,교보증권,030610
2020-04-21,6460.0,하락  130,6520.0,6590.0,6300.0,181779.0,교보증권,030610
2020-04-22,6400.0,하락  60,6280.0,6420.0,6180.0,165444.0,교보증권,030610
2020-04-23,6470.0,상승  70,6420.0,6470.0,6300.0,143768.0,교보증권,030610
2020-04-24,6440.0,하락  30,6400.0,6500.0,6320.0,92680.0,교보증권,030610
2020-04-27,6670.0,상승  230,6440.0,6730.0,6400.0,143846.0,교보증권,030610
2020-04-28,6860.0,상승  190,6760.0,6900.0,6670.0,176110.0,교보증권,030610
2020-04-29,7250.0,상승  390,6940.0,7370.0,6900.0,325701.0,교보증권,030610
2020-05-04,7270.0,상승  20,7230.0,7400.0,7000.0,207895.0,교보증권,030610
