날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,36400.0,하락  550,36950.0,37950.0,35550.0,15045.0,국도화학,007690
2020-03-17,35200.0,"하락  1,200",34900.0,36250.0,33000.0,17333.0,국도화학,007690
2020-03-18,35300.0,상승  100,35900.0,36200.0,33550.0,19418.0,국도화학,007690
2020-03-19,33400.0,"하락  1,900",34500.0,35300.0,32550.0,19697.0,국도화학,007690
2020-03-20,36500.0,"상승  3,100",33350.0,36850.0,33350.0,11732.0,국도화학,007690
2020-03-23,36000.0,하락  500,36100.0,37100.0,34000.0,8771.0,국도화학,007690
2020-03-24,36150.0,상승  150,36000.0,36600.0,35650.0,10879.0,국도화학,007690
2020-03-25,36750.0,상승  600,37500.0,37500.0,36050.0,12644.0,국도화학,007690
2020-03-26,36700.0,하락  50,37200.0,37800.0,36200.0,12999.0,국도화학,007690
2020-03-27,37150.0,상승  450,37400.0,38750.0,37000.0,14730.0,국도화학,007690
2020-03-30,37900.0,상승  750,36500.0,38100.0,36500.0,5797.0,국도화학,007690
2020-03-31,38700.0,상승  800,38400.0,38800.0,38050.0,4945.0,국도화학,007690
2020-04-01,38450.0,하락  250,39250.0,39250.0,38250.0,8544.0,국도화학,007690
2020-04-02,39250.0,상승  800,39000.0,39450.0,38000.0,5993.0,국도화학,007690
2020-04-03,39850.0,상승  600,39050.0,40000.0,39050.0,5126.0,국도화학,007690
2020-04-06,40550.0,상승  700,39850.0,40750.0,39350.0,4628.0,국도화학,007690
2020-04-07,41200.0,상승  650,40550.0,41300.0,40200.0,7781.0,국도화학,007690
2020-04-08,41150.0,하락  50,41200.0,41400.0,40350.0,5414.0,국도화학,007690
2020-04-09,41700.0,상승  550,41150.0,42200.0,40850.0,6997.0,국도화학,007690
2020-04-10,41450.0,하락  250,42000.0,42100.0,40300.0,10212.0,국도화학,007690
2020-04-13,41450.0,보합0,41900.0,42000.0,41100.0,1944.0,국도화학,007690
2020-04-14,40950.0,하락  500,41800.0,41800.0,40550.0,5262.0,국도화학,007690
2020-04-16,42850.0,"상승  1,900",40700.0,42950.0,40700.0,14999.0,국도화학,007690
2020-04-17,43200.0,상승  350,42400.0,43400.0,42400.0,7065.0,국도화학,007690
2020-04-20,41750.0,"하락  1,450",43200.0,43250.0,41500.0,8837.0,국도화학,007690
2020-04-21,39950.0,"하락  1,800",41750.0,41750.0,39800.0,9355.0,국도화학,007690
2020-04-22,40000.0,상승  50,39950.0,40250.0,39350.0,2760.0,국도화학,007690
