날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,4400.0,상승  95,4310.0,4605.0,4250.0,995563.0,국제약품,002720
2020-03-17,4450.0,상승  50,4000.0,4510.0,3905.0,650437.0,국제약품,002720
2020-03-18,4370.0,하락  80,4510.0,4835.0,4370.0,1139211.0,국제약품,002720
2020-03-19,3900.0,하락  470,4560.0,4710.0,3900.0,962380.0,국제약품,002720
2020-03-20,4410.0,상승  510,3905.0,4905.0,3905.0,3487163.0,국제약품,002720
2020-03-23,5200.0,상승  790,4410.0,5200.0,4410.0,6291866.0,국제약품,002720
2020-03-24,5150.0,하락  50,5050.0,5740.0,4950.0,6202747.0,국제약품,002720
2020-03-25,5190.0,상승  40,5200.0,5390.0,5070.0,2283417.0,국제약품,002720
2020-03-26,5360.0,상승  170,5250.0,5570.0,5160.0,4616644.0,국제약품,002720
2020-03-27,5400.0,상승  40,5560.0,6150.0,4860.0,11447627.0,국제약품,002720
2020-03-30,5840.0,상승  440,5580.0,5880.0,5460.0,3662879.0,국제약품,002720
2020-03-31,5880.0,상승  40,6200.0,6210.0,5610.0,4206334.0,국제약품,002720
2020-04-01,5730.0,하락  150,5930.0,6100.0,5640.0,2082800.0,국제약품,002720
2020-04-02,5870.0,상승  140,5990.0,6100.0,5720.0,2508348.0,국제약품,002720
2020-04-03,6000.0,상승  130,5970.0,6430.0,5810.0,7429880.0,국제약품,002720
2020-04-06,6170.0,상승  170,6070.0,6340.0,6050.0,3291281.0,국제약품,002720
2020-04-07,6190.0,상승  20,6230.0,6330.0,5850.0,3243651.0,국제약품,002720
2020-04-08,8040.0,"상한가  1,850",6260.0,8040.0,6120.0,13567106.0,국제약품,002720
2020-04-09,8770.0,상승  730,7750.0,10150.0,7510.0,57508466.0,국제약품,002720
2020-04-10,7800.0,하락  970,8740.0,9480.0,7700.0,11735573.0,국제약품,002720
2020-04-13,7270.0,하락  530,7940.0,8250.0,7150.0,4562412.0,국제약품,002720
2020-04-14,7470.0,상승  200,7370.0,7760.0,7090.0,5854130.0,국제약품,002720
2020-04-16,7090.0,하락  380,7320.0,7350.0,6940.0,1877828.0,국제약품,002720
2020-04-17,7050.0,하락  40,7240.0,7240.0,6990.0,1094402.0,국제약품,002720
2020-04-20,7380.0,상승  330,7090.0,7460.0,6900.0,3351006.0,국제약품,002720
2020-04-21,7180.0,하락  200,7760.0,7790.0,6550.0,4197276.0,국제약품,002720
2020-04-22,7160.0,하락  20,6960.0,7410.0,6960.0,1872328.0,국제약품,002720
2020-04-23,7310.0,상승  150,7250.0,7450.0,7200.0,1362290.0,국제약품,002720
2020-04-24,7130.0,하락  180,7230.0,7540.0,7050.0,1733622.0,국제약품,002720
2020-04-27,7380.0,상승  250,7240.0,7410.0,7170.0,929996.0,국제약품,002720
2020-04-28,7230.0,하락  150,7400.0,7430.0,7080.0,689480.0,국제약품,002720
2020-04-29,7150.0,하락  80,7260.0,7270.0,7070.0,599791.0,국제약품,002720
2020-05-04,7090.0,하락  60,7090.0,7270.0,7030.0,469094.0,국제약품,002720
2020-05-06,7080.0,하락  10,7160.0,7190.0,7020.0,512898.0,국제약품,002720
2020-05-07,7100.0,상승  20,7150.0,7310.0,7090.0,753705.0,국제약품,002720
2020-05-08,7270.0,상승  170,7120.0,7280.0,7110.0,638456.0,국제약품,002720
2020-05-11,7350.0,상승  80,7430.0,7500.0,7210.0,1371396.0,국제약품,002720
2020-05-12,7390.0,상승  40,7400.0,7420.0,7150.0,705359.0,국제약품,002720
2020-05-13,7370.0,하락  20,7500.0,7620.0,7350.0,1746574.0,국제약품,002720
2020-05-14,7830.0,상승  460,7420.0,7980.0,7380.0,5196883.0,국제약품,002720
2020-05-15,7610.0,하락  220,8060.0,8250.0,7570.0,4189769.0,국제약품,002720
2020-05-18,7450.0,하락  160,7570.0,7890.0,7400.0,1394846.0,국제약품,002720
2020-05-19,7200.0,하락  250,7470.0,7530.0,7030.0,1798788.0,국제약품,002720
2020-05-20,7250.0,상승  50,7250.0,7340.0,7200.0,506556.0,국제약품,002720
2020-05-21,7140.0,하락  110,7250.0,7330.0,7080.0,651799.0,국제약품,002720
2020-05-22,7090.0,하락  50,7070.0,7220.0,7010.0,566872.0,국제약품,002720
2020-05-25,7210.0,상승  120,7180.0,7430.0,7150.0,1039861.0,국제약품,002720
2020-05-26,7760.0,상승  550,7350.0,7830.0,7330.0,4693009.0,국제약품,002720
2020-05-27,7460.0,하락  300,7590.0,7770.0,7420.0,1737885.0,국제약품,002720
2020-05-28,7270.0,하락  190,7550.0,7750.0,7050.0,2623410.0,국제약품,002720
2020-05-29,7130.0,하락  140,7210.0,7340.0,7100.0,447876.0,국제약품,002720
2020-06-01,7190.0,상승  60,7140.0,7250.0,7110.0,371807.0,국제약품,002720
2020-06-02,7110.0,하락  80,7190.0,7240.0,7050.0,500130.0,국제약품,002720
2020-06-03,6850.0,하락  260,7130.0,7190.0,6850.0,716147.0,국제약품,002720
2020-06-04,6900.0,상승  50,6860.0,7020.0,6710.0,509333.0,국제약품,002720
2020-06-05,7070.0,상승  170,6980.0,7100.0,6870.0,539738.0,국제약품,002720
2020-06-08,7170.0,상승  100,7170.0,7180.0,7050.0,421192.0,국제약품,002720
2020-06-09,7430.0,상승  260,7220.0,7440.0,7080.0,1153132.0,국제약품,002720
2020-06-10,7590.0,상승  160,7500.0,7730.0,7350.0,2174487.0,국제약품,002720
2020-06-11,7660.0,상승  70,7680.0,7890.0,7520.0,2795719.0,국제약품,002720
2020-06-12,7500.0,하락  160,7280.0,7690.0,7210.0,1164088.0,국제약품,002720
2020-06-15,7010.0,하락  490,7360.0,7780.0,6920.0,1787763.0,국제약품,002720
2020-06-16,7580.0,상승  570,7170.0,7630.0,7090.0,1092567.0,국제약품,002720
2020-06-17,7660.0,상승  80,8490.0,8500.0,7330.0,5216803.0,국제약품,002720
2020-06-18,7770.0,상승  110,7780.0,7850.0,7450.0,2186782.0,국제약품,002720
2020-06-19,7550.0,하락  220,7780.0,7840.0,7480.0,1087154.0,국제약품,002720
2020-06-22,7700.0,상승  150,7600.0,7800.0,7550.0,852004.0,국제약품,002720
2020-06-23,7400.0,하락  300,7710.0,7760.0,7360.0,694103.0,국제약품,002720
2020-06-24,7500.0,상승  100,7500.0,7750.0,7370.0,776885.0,국제약품,002720
2020-06-25,7620.0,상승  120,7450.0,7700.0,7400.0,491494.0,국제약품,002720
2020-06-26,7950.0,상승  330,7680.0,7960.0,7540.0,1734943.0,국제약품,002720
2020-06-29,7640.0,하락  310,7980.0,8080.0,7610.0,1405401.0,국제약품,002720
2020-06-30,7540.0,하락  100,7700.0,7800.0,7460.0,561191.0,국제약품,002720
2020-07-01,7180.0,하락  360,7610.0,7640.0,7130.0,610178.0,국제약품,002720
2020-07-02,7320.0,상승  140,7190.0,7380.0,7190.0,284825.0,국제약품,002720
2020-07-03,7430.0,상승  110,7310.0,7430.0,7200.0,239263.0,국제약품,002720
2020-07-06,7730.0,상승  300,7700.0,7930.0,7520.0,3162510.0,국제약품,002720
2020-07-07,7730.0,보합0,7730.0,7920.0,7550.0,1983757.0,국제약품,002720
2020-07-08,7660.0,하락  70,7780.0,7930.0,7630.0,872978.0,국제약품,002720
2020-07-09,7490.0,하락  170,7710.0,7710.0,7480.0,560192.0,국제약품,002720
2020-07-10,7950.0,상승  460,7520.0,7950.0,7430.0,1729963.0,국제약품,002720
2020-07-13,7770.0,하락  180,7990.0,8000.0,7730.0,1119129.0,국제약품,002720
2020-07-14,7800.0,상승  30,7710.0,8590.0,7690.0,8909526.0,국제약품,002720
2020-07-15,7670.0,하락  130,7870.0,7890.0,7610.0,886543.0,국제약품,002720
2020-07-16,7720.0,상승  50,7700.0,8000.0,7640.0,1051483.0,국제약품,002720
2020-07-17,8130.0,상승  410,7720.0,8140.0,7710.0,1388845.0,국제약품,002720
2020-07-20,8600.0,상승  470,8100.0,8600.0,7900.0,3689748.0,국제약품,002720
2020-07-21,11150.0,"상한가  2,550",9030.0,11150.0,8790.0,17992478.0,국제약품,002720
2020-07-22,13450.0,"상승  2,300",11950.0,14250.0,10700.0,27908161.0,국제약품,002720
2020-07-23,13500.0,상승  50,13050.0,16000.0,12350.0,19471528.0,국제약품,002720
2020-07-24,12350.0,"하락  1,150",12950.0,12950.0,12350.0,1772059.0,국제약품,002720
2020-07-27,10550.0,"하락  1,800",11750.0,11750.0,10300.0,1241782.0,국제약품,002720
2020-07-28,10800.0,상승  250,10850.0,10850.0,10000.0,817660.0,국제약품,002720
2020-07-29,10400.0,하락  400,10650.0,10900.0,10300.0,1168604.0,국제약품,002720
2020-07-30,10150.0,하락  250,10550.0,10650.0,9800.0,1606817.0,국제약품,002720
2020-07-31,10000.0,하락  150,10000.0,10500.0,9960.0,1227927.0,국제약품,002720
2020-08-03,10050.0,상승  50,10150.0,10200.0,9800.0,755284.0,국제약품,002720
2020-08-04,10600.0,상승  550,10050.0,10750.0,10000.0,1344498.0,국제약품,002720
2020-08-05,10900.0,상승  300,10650.0,10900.0,10350.0,931699.0,국제약품,002720
2020-08-06,10500.0,하락  400,10900.0,10950.0,10300.0,711554.0,국제약품,002720
2020-08-07,10800.0,상승  300,10600.0,11500.0,10500.0,2057719.0,국제약품,002720
2020-08-10,11800.0,"상승  1,000",11000.0,12000.0,10800.0,2837069.0,국제약품,002720
2020-08-11,11400.0,하락  400,11700.0,11700.0,11300.0,756923.0,국제약품,002720
2020-08-12,10550.0,하락  850,11400.0,11650.0,10400.0,1068138.0,국제약품,002720
2020-08-13,11250.0,상승  700,10500.0,11250.0,10200.0,1254412.0,국제약품,002720
2020-08-14,11600.0,상승  350,11400.0,13800.0,11350.0,14105924.0,국제약품,002720
2020-08-18,10500.0,"하락  1,100",11600.0,12700.0,10300.0,3018793.0,국제약품,002720
2020-08-19,13650.0,"상한가  3,150",10950.0,13650.0,10600.0,10814629.0,국제약품,002720
2020-08-20,14600.0,상승  950,15150.0,17350.0,14100.0,31743265.0,국제약품,002720
2020-08-21,12150.0,"하락  2,450",14100.0,14150.0,11800.0,6160458.0,국제약품,002720
2020-08-24,12350.0,상승  200,12300.0,12650.0,11800.0,2837309.0,국제약품,002720
2020-08-25,12750.0,상승  400,12200.0,13650.0,12000.0,6588521.0,국제약품,002720
2020-08-26,13600.0,상승  850,12800.0,14700.0,12750.0,6968467.0,국제약품,002720
2020-08-27,12950.0,하락  650,14100.0,14150.0,12700.0,2000104.0,국제약품,002720
2020-08-28,13450.0,상승  500,13200.0,14350.0,13200.0,3487642.0,국제약품,002720
2020-08-31,13500.0,상승  50,13650.0,14000.0,13300.0,1410810.0,국제약품,002720
2020-09-01,13200.0,하락  300,13650.0,14000.0,13000.0,1146288.0,국제약품,002720
2020-09-02,13150.0,하락  50,13050.0,13450.0,12600.0,1081531.0,국제약품,002720
2020-09-03,13300.0,상승  150,13250.0,13850.0,13150.0,1538955.0,국제약품,002720
2020-09-04,13050.0,하락  250,12700.0,13100.0,12450.0,724110.0,국제약품,002720
2020-09-07,13800.0,상승  750,13200.0,13850.0,12900.0,1879660.0,국제약품,002720
2020-09-08,13250.0,하락  550,14100.0,14150.0,13150.0,1498071.0,국제약품,002720
2020-09-09,13100.0,하락  150,12850.0,13250.0,12750.0,548163.0,국제약품,002720
2020-09-10,13250.0,상승  150,13400.0,13700.0,13050.0,728230.0,국제약품,002720
2020-09-11,13350.0,상승  100,13300.0,14200.0,13050.0,2936666.0,국제약품,002720
2020-09-14,13050.0,하락  300,13450.0,13650.0,12700.0,713258.0,국제약품,002720
2020-09-15,12950.0,하락  100,13250.0,13350.0,12850.0,427261.0,국제약품,002720
