날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2420.0,하락  160,2390.0,2440.0,2245.0,316064.0,금강공업,014280
2020-03-16,2295.0,하락  125,2400.0,2540.0,2295.0,76430.0,금강공업,014280
2020-03-17,2250.0,하락  45,2055.0,2290.0,2055.0,98599.0,금강공업,014280
2020-03-18,2185.0,하락  65,2220.0,2315.0,2180.0,108776.0,금강공업,014280
2020-03-19,1925.0,하락  260,2170.0,2235.0,1905.0,212057.0,금강공업,014280
2020-03-20,1965.0,상승  40,2330.0,2330.0,1920.0,234345.0,금강공업,014280
2020-03-23,2005.0,상승  40,1900.0,2150.0,1860.0,137693.0,금강공업,014280
2020-03-24,2140.0,상승  135,2005.0,2245.0,2005.0,82046.0,금강공업,014280
2020-03-25,2260.0,상승  120,2200.0,2290.0,2180.0,462692.0,금강공업,014280
2020-03-26,2310.0,상승  50,2300.0,2355.0,2280.0,60574.0,금강공업,014280
2020-03-27,2310.0,보합0,2340.0,2420.0,2280.0,100072.0,금강공업,014280
2020-03-30,2425.0,상승  115,2290.0,2450.0,2220.0,62847.0,금강공업,014280
2020-03-31,2550.0,상승  125,2425.0,2580.0,2425.0,59853.0,금강공업,014280
2020-04-01,2540.0,하락  10,2550.0,2715.0,2510.0,75133.0,금강공업,014280
2020-04-02,2555.0,상승  15,2545.0,2700.0,2500.0,42533.0,금강공업,014280
2020-04-03,2540.0,하락  15,2555.0,2630.0,2525.0,47075.0,금강공업,014280
2020-04-06,2640.0,상승  100,2500.0,2740.0,2500.0,72506.0,금강공업,014280
2020-04-07,2715.0,상승  75,2720.0,2790.0,2620.0,117901.0,금강공업,014280
2020-04-08,2765.0,상승  50,2715.0,2825.0,2670.0,79324.0,금강공업,014280
2020-04-09,2800.0,상승  35,2855.0,2950.0,2760.0,60981.0,금강공업,014280
2020-04-10,2820.0,상승  20,2920.0,2920.0,2745.0,61857.0,금강공업,014280
2020-04-13,2775.0,하락  45,2820.0,2875.0,2755.0,34032.0,금강공업,014280
