날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6130.0,하락  570,6030.0,6210.0,5590.0,455224.0,금호건설,002990
2020-03-16,6160.0,상승  30,6110.0,6450.0,6080.0,244864.0,금호건설,002990
2020-03-17,6100.0,하락  60,5910.0,6280.0,5850.0,206555.0,금호건설,002990
2020-03-18,5300.0,하락  800,6100.0,6190.0,5300.0,307340.0,금호건설,002990
2020-03-19,4360.0,하락  940,5350.0,5500.0,4110.0,511796.0,금호건설,002990
2020-03-20,4505.0,상승  145,4320.0,4690.0,4295.0,431472.0,금호건설,002990
2020-03-23,4450.0,하락  55,4230.0,4670.0,4190.0,383163.0,금호건설,002990
2020-03-24,4895.0,상승  445,4570.0,4895.0,4430.0,337370.0,금호건설,002990
2020-03-25,5330.0,상승  435,5000.0,5370.0,5000.0,335940.0,금호건설,002990
2020-03-26,5680.0,상승  350,5500.0,6040.0,5350.0,391468.0,금호건설,002990
2020-03-27,5930.0,상승  250,6000.0,6270.0,5650.0,335187.0,금호건설,002990
2020-03-30,6100.0,상승  170,5810.0,6250.0,5590.0,198983.0,금호건설,002990
2020-03-31,6270.0,상승  170,6300.0,6340.0,6100.0,258970.0,금호건설,002990
2020-04-01,6390.0,상승  120,6150.0,6480.0,6050.0,255609.0,금호건설,002990
2020-04-02,6330.0,하락  60,6280.0,6390.0,6060.0,194492.0,금호건설,002990
2020-04-03,6340.0,상승  10,6340.0,6430.0,6230.0,104389.0,금호건설,002990
2020-04-06,6450.0,상승  110,6200.0,6490.0,6180.0,169389.0,금호건설,002990
2020-04-07,6630.0,상승  180,6520.0,6660.0,6440.0,266449.0,금호건설,002990
2020-04-08,7000.0,상승  370,6630.0,7120.0,6480.0,245698.0,금호건설,002990
2020-04-09,7260.0,상승  260,7110.0,7390.0,7090.0,195279.0,금호건설,002990
2020-04-10,7390.0,상승  130,7200.0,7400.0,7080.0,201057.0,금호건설,002990
2020-04-13,7370.0,하락  20,7580.0,7590.0,7350.0,152211.0,금호건설,002990
2020-04-14,7440.0,상승  70,7480.0,7520.0,7370.0,105320.0,금호건설,002990
2020-04-16,7450.0,상승  10,7540.0,7560.0,7350.0,107948.0,금호건설,002990
2020-04-17,7430.0,하락  20,7550.0,7620.0,7430.0,152130.0,금호건설,002990
2020-04-20,7450.0,상승  20,7490.0,7740.0,7400.0,224575.0,금호건설,002990
2020-04-21,7340.0,하락  110,7450.0,7620.0,7120.0,260650.0,금호건설,002990
