날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,53600.0,"하락  4,000",55600.0,56300.0,51200.0,196782.0,금호석유화학,011780
2020-03-16,52500.0,"하락  1,100",52700.0,56100.0,52300.0,173873.0,금호석유화학,011780
2020-03-17,50400.0,"하락  2,100",50100.0,52500.0,50000.0,153508.0,금호석유화학,011780
2020-03-18,50900.0,상승  500,51000.0,52500.0,50000.0,139137.0,금호석유화학,011780
2020-03-19,43950.0,"하락  6,950",50900.0,52000.0,43800.0,198103.0,금호석유화학,011780
2020-03-20,57100.0,"상한가  13,150",45050.0,57100.0,45050.0,222820.0,금호석유화학,011780
2020-03-23,54900.0,"하락  2,200",53200.0,59300.0,49600.0,334200.0,금호석유화학,011780
2020-03-24,54600.0,하락  300,57000.0,57400.0,53500.0,250219.0,금호석유화학,011780
2020-03-25,57000.0,"상승  2,400",57000.0,57700.0,54700.0,233039.0,금호석유화학,011780
2020-03-26,55700.0,"하락  1,300",56900.0,58200.0,54900.0,254322.0,금호석유화학,011780
2020-03-27,58600.0,"상승  2,900",58400.0,64200.0,56300.0,368634.0,금호석유화학,011780
2020-03-30,61600.0,"상승  3,000",58000.0,63900.0,56100.0,359271.0,금호석유화학,011780
2020-03-31,64800.0,"상승  3,200",64000.0,65800.0,62200.0,267827.0,금호석유화학,011780
2020-04-01,61500.0,"하락  3,300",64800.0,66500.0,61500.0,183538.0,금호석유화학,011780
2020-04-02,63000.0,"상승  1,500",61800.0,64500.0,59300.0,206807.0,금호석유화학,011780
2020-04-03,63800.0,상승  800,69100.0,69100.0,63600.0,217176.0,금호석유화학,011780
2020-04-06,66200.0,"상승  2,400",65100.0,67400.0,65000.0,163117.0,금호석유화학,011780
2020-04-07,64200.0,"하락  2,000",66600.0,67000.0,63800.0,222664.0,금호석유화학,011780
2020-04-08,64100.0,하락  100,63500.0,64700.0,62800.0,195468.0,금호석유화학,011780
2020-04-09,63900.0,하락  200,65000.0,65100.0,63000.0,210458.0,금호석유화학,011780
2020-04-10,64500.0,상승  600,64100.0,64900.0,63000.0,126511.0,금호석유화학,011780
2020-04-13,66400.0,"상승  1,900",64500.0,68000.0,63700.0,266073.0,금호석유화학,011780
