날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2930.0,하락  295,2700.0,3060.0,2695.0,259839.0,금호에이치티,214330
2020-03-16,2840.0,하락  90,3005.0,3070.0,2750.0,134248.0,금호에이치티,214330
2020-03-17,2725.0,하락  115,2500.0,2850.0,2500.0,185813.0,금호에이치티,214330
2020-03-18,2450.0,하락  275,2710.0,2845.0,2450.0,240994.0,금호에이치티,214330
2020-03-19,1850.0,하락  600,2510.0,2680.0,1730.0,387369.0,금호에이치티,214330
2020-03-20,2045.0,상승  195,1805.0,2180.0,1805.0,330542.0,금호에이치티,214330
2020-03-23,1905.0,하락  140,2000.0,2020.0,1880.0,147014.0,금호에이치티,214330
2020-03-24,1980.0,상승  75,1930.0,2030.0,1905.0,218305.0,금호에이치티,214330
2020-03-25,2570.0,상한가  590,2020.0,2570.0,2020.0,1688165.0,금호에이치티,214330
2020-03-26,2825.0,상승  255,2750.0,2850.0,2590.0,315474.0,금호에이치티,214330
2020-03-27,2800.0,하락  25,2890.0,3100.0,2655.0,239412.0,금호에이치티,214330
2020-03-30,2860.0,상승  60,2690.0,2935.0,2685.0,115601.0,금호에이치티,214330
2020-03-31,3445.0,상승  585,2985.0,3615.0,2885.0,597665.0,금호에이치티,214330
2020-04-01,3185.0,하락  260,3765.0,3770.0,3185.0,265710.0,금호에이치티,214330
2020-04-02,3260.0,상승  75,3185.0,3300.0,3070.0,136682.0,금호에이치티,214330
2020-04-03,3265.0,상승  5,3275.0,3285.0,3170.0,62891.0,금호에이치티,214330
2020-04-06,3265.0,보합0,3290.0,3345.0,3165.0,94850.0,금호에이치티,214330
2020-04-07,3705.0,상승  440,3265.0,3705.0,3255.0,177839.0,금호에이치티,214330
2020-04-08,3600.0,하락  105,3780.0,3810.0,3530.0,270479.0,금호에이치티,214330
2020-04-09,3640.0,상승  40,3615.0,3690.0,3400.0,87135.0,금호에이치티,214330
2020-04-10,3450.0,하락  190,3640.0,3640.0,3280.0,89662.0,금호에이치티,214330
2020-04-13,3300.0,하락  150,3450.0,3600.0,3300.0,62544.0,금호에이치티,214330
