날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-16,1985.0,하락  105,2200.0,2200.0,1955.0,109366.0,금호전기,001210
2020-03-17,1930.0,하락  55,1710.0,1980.0,1710.0,50674.0,금호전기,001210
2020-03-18,1835.0,하락  95,2020.0,2030.0,1795.0,53441.0,금호전기,001210
2020-03-19,1500.0,하락  335,1875.0,1945.0,1500.0,109529.0,금호전기,001210
2020-03-20,1600.0,상승  100,1510.0,1680.0,1475.0,145129.0,금호전기,001210
2020-03-23,1790.0,상승  190,1580.0,2040.0,1495.0,303505.0,금호전기,001210
2020-03-24,1940.0,상승  150,1920.0,1940.0,1805.0,175392.0,금호전기,001210
2020-03-25,2120.0,상승  180,1950.0,2140.0,1905.0,218947.0,금호전기,001210
2020-03-26,2350.0,상승  230,2120.0,2410.0,2090.0,267472.0,금호전기,001210
2020-03-27,2300.0,하락  50,2505.0,2640.0,2185.0,343128.0,금호전기,001210
2020-03-30,2230.0,하락  70,2205.0,2260.0,2110.0,150785.0,금호전기,001210
2020-03-31,2385.0,상승  155,2250.0,2450.0,2230.0,201245.0,금호전기,001210
2020-04-01,2310.0,하락  75,2440.0,2440.0,2270.0,88470.0,금호전기,001210
2020-04-02,2315.0,상승  5,2280.0,2400.0,2210.0,63547.0,금호전기,001210
2020-04-03,2390.0,상승  75,2430.0,2450.0,2300.0,92445.0,금호전기,001210
2020-04-06,2810.0,상승  420,2450.0,3050.0,2430.0,544783.0,금호전기,001210
2020-04-07,3015.0,상승  205,2940.0,3070.0,2920.0,319264.0,금호전기,001210
2020-04-08,3310.0,상승  295,3050.0,3350.0,2995.0,360971.0,금호전기,001210
2020-04-09,3190.0,하락  120,3310.0,3400.0,3095.0,189785.0,금호전기,001210
2020-04-10,3300.0,상승  110,3150.0,3300.0,3000.0,139726.0,금호전기,001210
2020-04-13,3200.0,하락  100,3130.0,3295.0,3050.0,136401.0,금호전기,001210
2020-04-14,3370.0,상승  170,3195.0,3405.0,3055.0,267571.0,금호전기,001210
2020-04-16,3470.0,상승  100,3400.0,3560.0,3270.0,164038.0,금호전기,001210
2020-04-17,3460.0,하락  10,3485.0,3540.0,3370.0,139536.0,금호전기,001210
2020-04-20,3460.0,보합0,3460.0,3700.0,3435.0,128520.0,금호전기,001210
2020-04-21,3365.0,하락  95,3460.0,3490.0,3255.0,86701.0,금호전기,001210
2020-04-22,3300.0,하락  65,3365.0,3390.0,3030.0,99887.0,금호전기,001210
2020-04-23,3330.0,상승  30,3310.0,3340.0,3205.0,58163.0,금호전기,001210
2020-04-24,3250.0,하락  80,3335.0,3340.0,3175.0,91510.0,금호전기,001210
2020-04-27,3330.0,상승  80,3230.0,3345.0,3205.0,58662.0,금호전기,001210
2020-04-28,3350.0,상승  20,3315.0,3415.0,3285.0,57313.0,금호전기,001210
2020-04-29,3495.0,상승  145,3350.0,3670.0,3350.0,290900.0,금호전기,001210
2020-05-04,3420.0,하락  75,3495.0,3495.0,3300.0,90606.0,금호전기,001210
2020-05-06,3380.0,하락  40,3400.0,3455.0,3300.0,73304.0,금호전기,001210
2020-05-07,3430.0,상승  50,3370.0,3435.0,3310.0,72430.0,금호전기,001210
2020-05-08,3590.0,상승  160,3500.0,3650.0,3450.0,125498.0,금호전기,001210
2020-05-11,3610.0,상승  20,3590.0,3675.0,3545.0,71930.0,금호전기,001210
2020-05-12,3620.0,상승  10,3690.0,3760.0,3575.0,84404.0,금호전기,001210
2020-05-13,3575.0,하락  45,3620.0,3630.0,3500.0,70873.0,금호전기,001210
2020-05-14,3500.0,하락  75,3570.0,3585.0,3450.0,70528.0,금호전기,001210
2020-05-15,3420.0,하락  80,3460.0,3515.0,3215.0,103732.0,금호전기,001210
2020-05-18,3280.0,하락  140,3420.0,3420.0,3260.0,70929.0,금호전기,001210
2020-05-19,3460.0,상승  180,3280.0,3460.0,3280.0,54955.0,금호전기,001210
2020-05-20,3485.0,상승  25,3500.0,3515.0,3395.0,34128.0,금호전기,001210
2020-05-21,3405.0,하락  80,3520.0,3520.0,3330.0,43575.0,금호전기,001210
2020-05-22,3350.0,하락  55,3460.0,3460.0,3260.0,28753.0,금호전기,001210
2020-05-25,3380.0,상승  30,3355.0,3410.0,3310.0,20297.0,금호전기,001210
2020-05-26,3445.0,상승  65,3390.0,3460.0,3270.0,84377.0,금호전기,001210
2020-05-27,3400.0,하락  45,3445.0,3445.0,3345.0,34880.0,금호전기,001210
2020-05-28,3400.0,보합0,3400.0,3405.0,3285.0,86380.0,금호전기,001210
2020-05-29,3330.0,하락  70,3400.0,3400.0,3300.0,57335.0,금호전기,001210
2020-06-01,3310.0,하락  20,3290.0,3360.0,3255.0,64727.0,금호전기,001210
2020-06-02,3355.0,상승  45,3315.0,3360.0,3265.0,48856.0,금호전기,001210
2020-06-03,3770.0,상승  415,3350.0,3930.0,3350.0,1219136.0,금호전기,001210
2020-06-04,4100.0,상승  330,3850.0,4130.0,3695.0,813052.0,금호전기,001210
2020-06-05,4210.0,상승  110,4185.0,4290.0,3930.0,628434.0,금호전기,001210
2020-06-08,3785.0,하락  425,4200.0,4200.0,3705.0,701725.0,금호전기,001210
2020-06-09,3695.0,하락  90,3890.0,3890.0,3595.0,227110.0,금호전기,001210
2020-06-10,3690.0,하락  5,3695.0,3745.0,3595.0,130284.0,금호전기,001210
2020-06-11,3585.0,하락  105,3650.0,3680.0,3555.0,98505.0,금호전기,001210
2020-06-12,3600.0,상승  15,3305.0,3625.0,3300.0,155221.0,금호전기,001210
2020-06-15,3280.0,하락  320,3540.0,3545.0,3265.0,205218.0,금호전기,001210
2020-06-16,3380.0,상승  100,3305.0,3450.0,3305.0,62488.0,금호전기,001210
2020-06-17,3225.0,하락  155,3390.0,3390.0,3060.0,71739.0,금호전기,001210
2020-06-18,3305.0,상승  80,3270.0,3460.0,3100.0,61044.0,금호전기,001210
2020-06-19,3420.0,상승  115,3310.0,3430.0,3240.0,51442.0,금호전기,001210
2020-06-22,3325.0,하락  95,3460.0,3460.0,3325.0,47500.0,금호전기,001210
2020-06-23,3290.0,하락  35,3350.0,3390.0,3265.0,37370.0,금호전기,001210
2020-06-24,3300.0,상승  10,3270.0,3360.0,3270.0,47547.0,금호전기,001210
2020-06-25,3280.0,하락  20,3300.0,3300.0,3155.0,67190.0,금호전기,001210
2020-06-26,3200.0,하락  80,3300.0,3360.0,3185.0,43621.0,금호전기,001210
