날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,3295.0,하락  125,3160.0,3295.0,2585.0,1020172.0,금호타이어,073240
2020-03-16,3335.0,상승  40,3295.0,3480.0,3250.0,730559.0,금호타이어,073240
2020-03-17,3350.0,상승  15,3200.0,3350.0,3070.0,668961.0,금호타이어,073240
2020-03-18,3235.0,하락  115,3300.0,3340.0,3170.0,689816.0,금호타이어,073240
2020-03-19,2970.0,하락  265,3240.0,3250.0,2895.0,1292563.0,금호타이어,073240
2020-03-20,3030.0,상승  60,2880.0,3035.0,2590.0,3340229.0,금호타이어,073240
2020-03-23,2730.0,하락  300,2800.0,2865.0,2660.0,870369.0,금호타이어,073240
2020-03-24,2875.0,상승  145,2735.0,2875.0,2650.0,1030655.0,금호타이어,073240
2020-03-25,2985.0,상승  110,2910.0,3000.0,2840.0,1131899.0,금호타이어,073240
2020-03-26,2955.0,하락  30,2970.0,3015.0,2895.0,1051559.0,금호타이어,073240
2020-03-27,2990.0,상승  35,3035.0,3060.0,2925.0,896635.0,금호타이어,073240
2020-03-30,2990.0,보합0,2965.0,3010.0,2870.0,568577.0,금호타이어,073240
2020-03-31,3060.0,상승  70,3030.0,3175.0,2995.0,855096.0,금호타이어,073240
2020-04-01,3060.0,보합0,3045.0,3140.0,2970.0,772673.0,금호타이어,073240
2020-04-02,3085.0,상승  25,3000.0,3105.0,3000.0,554420.0,금호타이어,073240
2020-04-03,3070.0,하락  15,3025.0,3075.0,2985.0,712544.0,금호타이어,073240
2020-04-06,3145.0,상승  75,3075.0,3170.0,3060.0,559156.0,금호타이어,073240
2020-04-07,3185.0,상승  40,3190.0,3200.0,3130.0,705808.0,금호타이어,073240
2020-04-08,3135.0,하락  50,3185.0,3205.0,3115.0,577285.0,금호타이어,073240
2020-04-09,3195.0,상승  60,3170.0,3195.0,3135.0,594870.0,금호타이어,073240
2020-04-10,3205.0,상승  10,3200.0,3220.0,3130.0,614864.0,금호타이어,073240
2020-04-13,3160.0,하락  45,3205.0,3205.0,3135.0,462942.0,금호타이어,073240
2020-04-14,3160.0,보합0,3105.0,3165.0,3100.0,490773.0,금호타이어,073240
2020-04-16,3180.0,상승  20,3090.0,3180.0,3055.0,578086.0,금호타이어,073240
2020-04-17,3295.0,상승  115,3095.0,3310.0,3095.0,828148.0,금호타이어,073240
2020-04-20,3225.0,하락  70,3255.0,3310.0,3190.0,619765.0,금호타이어,073240
2020-04-21,3125.0,하락  100,3220.0,3225.0,3050.0,643684.0,금호타이어,073240
2020-04-22,3040.0,하락  85,3115.0,3115.0,2980.0,638019.0,금호타이어,073240
2020-04-23,3075.0,상승  35,3010.0,3110.0,2980.0,475347.0,금호타이어,073240
2020-04-24,3025.0,하락  50,3035.0,3060.0,2985.0,501378.0,금호타이어,073240
2020-04-27,3075.0,상승  50,3035.0,3085.0,3000.0,354437.0,금호타이어,073240
2020-04-28,3080.0,상승  5,3050.0,3115.0,3035.0,310016.0,금호타이어,073240
2020-04-29,3060.0,하락  20,3110.0,3140.0,3060.0,473839.0,금호타이어,073240
2020-05-04,2975.0,하락  85,3000.0,3005.0,2920.0,732320.0,금호타이어,073240
2020-05-06,2995.0,상승  20,3000.0,3005.0,2965.0,373130.0,금호타이어,073240
2020-05-07,2990.0,하락  5,3010.0,3010.0,2960.0,284726.0,금호타이어,073240
2020-05-08,3025.0,상승  35,3015.0,3040.0,3000.0,488435.0,금호타이어,073240
2020-05-11,3165.0,상승  140,3050.0,3190.0,3025.0,1038627.0,금호타이어,073240
2020-05-12,3025.0,하락  140,3170.0,3170.0,3000.0,770726.0,금호타이어,073240
2020-05-13,3030.0,상승  5,2975.0,3035.0,2970.0,399964.0,금호타이어,073240
2020-05-14,2975.0,하락  55,3035.0,3045.0,2960.0,515826.0,금호타이어,073240
2020-05-15,2990.0,상승  15,2980.0,3000.0,2955.0,395613.0,금호타이어,073240
2020-05-18,2940.0,하락  50,3000.0,3000.0,2890.0,354470.0,금호타이어,073240
2020-05-19,3015.0,상승  75,2985.0,3035.0,2970.0,497408.0,금호타이어,073240
2020-05-20,3005.0,하락  10,3010.0,3020.0,2990.0,260346.0,금호타이어,073240
2020-05-21,3000.0,하락  5,3005.0,3040.0,2990.0,559983.0,금호타이어,073240
2020-05-22,3000.0,보합0,3030.0,3030.0,2940.0,610329.0,금호타이어,073240
2020-05-25,2975.0,하락  25,3030.0,3030.0,2945.0,310706.0,금호타이어,073240
2020-05-26,3030.0,상승  55,2985.0,3030.0,2975.0,529345.0,금호타이어,073240
2020-05-27,3130.0,상승  100,3015.0,3160.0,3015.0,944447.0,금호타이어,073240
2020-05-28,3070.0,하락  60,3125.0,3140.0,3045.0,607587.0,금호타이어,073240
2020-05-29,2945.0,하락  125,3070.0,3095.0,2945.0,884606.0,금호타이어,073240
2020-06-01,3010.0,상승  65,2960.0,3015.0,2960.0,379947.0,금호타이어,073240
2020-06-02,3090.0,상승  80,2975.0,3095.0,2970.0,586357.0,금호타이어,073240
2020-06-03,3290.0,상승  200,3110.0,3300.0,3110.0,1686508.0,금호타이어,073240
2020-06-04,3215.0,하락  75,3320.0,3400.0,3195.0,907373.0,금호타이어,073240
2020-06-05,3310.0,상승  95,3200.0,3325.0,3185.0,644097.0,금호타이어,073240
2020-06-08,3330.0,상승  20,3370.0,3370.0,3275.0,538431.0,금호타이어,073240
2020-06-09,3340.0,상승  10,3380.0,3395.0,3315.0,693160.0,금호타이어,073240
2020-06-10,3410.0,상승  70,3370.0,3420.0,3290.0,656955.0,금호타이어,073240
2020-06-11,3500.0,상승  90,3410.0,3500.0,3305.0,1196132.0,금호타이어,073240
2020-06-12,3315.0,하락  185,3380.0,3380.0,3300.0,748631.0,금호타이어,073240
2020-06-15,3065.0,하락  250,3310.0,3315.0,3065.0,624406.0,금호타이어,073240
2020-06-16,3215.0,상승  150,3080.0,3215.0,3080.0,433056.0,금호타이어,073240
2020-06-17,3150.0,하락  65,3220.0,3225.0,3080.0,524590.0,금호타이어,073240
2020-06-18,3180.0,상승  30,3110.0,3180.0,3085.0,347555.0,금호타이어,073240
2020-06-19,3135.0,하락  45,3190.0,3190.0,3095.0,420862.0,금호타이어,073240
2020-06-22,3090.0,하락  45,3065.0,3185.0,3060.0,388722.0,금호타이어,073240
2020-06-23,3120.0,상승  30,3080.0,3135.0,3035.0,425490.0,금호타이어,073240
2020-06-24,3095.0,하락  25,3125.0,3130.0,3075.0,315018.0,금호타이어,073240
2020-06-25,3015.0,하락  80,3040.0,3070.0,3000.0,499191.0,금호타이어,073240
2020-06-26,3030.0,상승  15,3010.0,3030.0,2980.0,439913.0,금호타이어,073240
2020-06-29,2995.0,하락  35,2940.0,3010.0,2935.0,420724.0,금호타이어,073240
2020-06-30,3015.0,상승  20,2960.0,3045.0,2960.0,283960.0,금호타이어,073240
2020-07-01,3000.0,하락  15,3020.0,3040.0,2985.0,238589.0,금호타이어,073240
2020-07-02,3030.0,상승  30,3015.0,3070.0,3005.0,205591.0,금호타이어,073240
2020-07-03,3030.0,보합0,3030.0,3045.0,2995.0,199217.0,금호타이어,073240
2020-07-06,3080.0,상승  50,3050.0,3095.0,2995.0,322930.0,금호타이어,073240
2020-07-07,3015.0,하락  65,3100.0,3105.0,3010.0,354583.0,금호타이어,073240
2020-07-08,3035.0,상승  20,3000.0,3040.0,3000.0,273065.0,금호타이어,073240
2020-07-09,3000.0,하락  35,3040.0,3040.0,2985.0,354422.0,금호타이어,073240
2020-07-10,2940.0,하락  60,3000.0,3010.0,2930.0,526575.0,금호타이어,073240
2020-07-13,2960.0,상승  20,2945.0,2970.0,2930.0,259063.0,금호타이어,073240
2020-07-14,2945.0,하락  15,2940.0,2960.0,2905.0,412279.0,금호타이어,073240
2020-07-15,2995.0,상승  50,2960.0,3040.0,2955.0,507926.0,금호타이어,073240
2020-07-16,2995.0,보합0,2985.0,3020.0,2965.0,301441.0,금호타이어,073240
2020-07-17,2985.0,하락  10,3000.0,3015.0,2960.0,261519.0,금호타이어,073240
