날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,2900.0,하락  285,3000.0,3000.0,2715.0,167582.0,기신정기,092440
2020-03-16,2820.0,하락  80,2995.0,3050.0,2810.0,44249.0,기신정기,092440
2020-03-17,2775.0,하락  45,2695.0,2815.0,2685.0,54399.0,기신정기,092440
2020-03-18,2755.0,하락  20,2770.0,2840.0,2755.0,49610.0,기신정기,092440
2020-03-19,2360.0,하락  395,2895.0,2895.0,2350.0,105770.0,기신정기,092440
2020-03-20,2585.0,상승  225,2450.0,2590.0,2380.0,53771.0,기신정기,092440
2020-03-23,2475.0,하락  110,2480.0,2520.0,2395.0,63318.0,기신정기,092440
2020-03-24,2550.0,상승  75,2500.0,2670.0,2485.0,54767.0,기신정기,092440
2020-03-25,2740.0,상승  190,2620.0,2750.0,2610.0,58191.0,기신정기,092440
2020-03-26,2890.0,상승  150,2745.0,2965.0,2720.0,56718.0,기신정기,092440
2020-03-27,3010.0,상승  120,2945.0,3060.0,2930.0,149788.0,기신정기,092440
2020-03-30,2895.0,하락  115,2810.0,2900.0,2715.0,93922.0,기신정기,092440
2020-03-31,2875.0,하락  20,2900.0,2930.0,2850.0,47572.0,기신정기,092440
2020-04-01,2820.0,하락  55,2890.0,2890.0,2805.0,40114.0,기신정기,092440
2020-04-02,2780.0,하락  40,2820.0,2820.0,2730.0,20345.0,기신정기,092440
2020-04-03,2850.0,상승  70,2790.0,2890.0,2780.0,107705.0,기신정기,092440
2020-04-06,2915.0,상승  65,2850.0,2940.0,2850.0,103847.0,기신정기,092440
2020-04-07,2950.0,상승  35,2990.0,2990.0,2880.0,51146.0,기신정기,092440
2020-04-08,2955.0,상승  5,2945.0,3010.0,2910.0,22549.0,기신정기,092440
2020-04-09,3010.0,상승  55,2975.0,3050.0,2950.0,63484.0,기신정기,092440
2020-04-10,2960.0,하락  50,3010.0,3025.0,2935.0,73782.0,기신정기,092440
2020-04-13,2940.0,하락  20,2940.0,2980.0,2890.0,46479.0,기신정기,092440
2020-04-14,2975.0,상승  35,2930.0,3000.0,2925.0,35876.0,기신정기,092440
2020-04-16,2970.0,하락  5,2980.0,2990.0,2930.0,28142.0,기신정기,092440
2020-04-17,3050.0,상승  80,2980.0,3060.0,2970.0,134668.0,기신정기,092440
2020-04-20,3040.0,하락  10,3055.0,3085.0,3010.0,63667.0,기신정기,092440
2020-04-21,2990.0,하락  50,3035.0,3050.0,2900.0,86940.0,기신정기,092440
2020-04-22,2960.0,하락  30,2960.0,2960.0,2920.0,28196.0,기신정기,092440
2020-04-23,3000.0,상승  40,2960.0,3015.0,2945.0,59691.0,기신정기,092440
2020-04-24,2945.0,하락  55,3000.0,3000.0,2915.0,73558.0,기신정기,092440
2020-04-27,3040.0,상승  95,2975.0,3045.0,2955.0,57029.0,기신정기,092440
2020-04-28,3070.0,상승  30,3060.0,3120.0,3035.0,37859.0,기신정기,092440
2020-04-29,3085.0,상승  15,3075.0,3155.0,3055.0,42507.0,기신정기,092440
2020-05-04,3100.0,상승  15,3085.0,3165.0,3050.0,39423.0,기신정기,092440
2020-05-06,3190.0,상승  90,3150.0,3230.0,3150.0,35830.0,기신정기,092440
2020-05-07,3200.0,상승  10,3245.0,3245.0,3140.0,36189.0,기신정기,092440
2020-05-08,3215.0,상승  15,3190.0,3240.0,3190.0,22229.0,기신정기,092440
2020-05-11,3225.0,상승  10,3215.0,3265.0,3200.0,22363.0,기신정기,092440
2020-05-12,3180.0,하락  45,3225.0,3245.0,3155.0,13081.0,기신정기,092440
2020-05-13,3160.0,하락  20,3185.0,3185.0,3095.0,15025.0,기신정기,092440
2020-05-14,3120.0,하락  40,3190.0,3190.0,3100.0,9900.0,기신정기,092440
2020-05-15,3050.0,하락  70,3145.0,3145.0,3030.0,34685.0,기신정기,092440
2020-05-18,3040.0,하락  10,3060.0,3080.0,3030.0,18067.0,기신정기,092440
2020-05-19,3115.0,상승  75,3080.0,3140.0,3040.0,39339.0,기신정기,092440
2020-05-20,3135.0,상승  20,3180.0,3180.0,3110.0,31546.0,기신정기,092440
2020-05-21,3165.0,상승  30,3155.0,3200.0,3125.0,55792.0,기신정기,092440
2020-05-22,3255.0,상승  90,3165.0,3365.0,3165.0,151089.0,기신정기,092440
2020-05-25,3280.0,상승  25,3255.0,3300.0,3205.0,46707.0,기신정기,092440
2020-05-26,3345.0,상승  65,3280.0,3385.0,3265.0,107476.0,기신정기,092440
2020-05-27,3290.0,하락  55,3365.0,3365.0,3260.0,74317.0,기신정기,092440
2020-05-28,3235.0,하락  55,3290.0,3330.0,3210.0,36101.0,기신정기,092440
2020-05-29,3225.0,하락  10,3195.0,3270.0,3180.0,27535.0,기신정기,092440
2020-06-01,3225.0,보합0,3225.0,3300.0,3215.0,19086.0,기신정기,092440
2020-06-02,3265.0,상승  40,3275.0,3275.0,3230.0,29844.0,기신정기,092440
2020-06-03,3265.0,보합0,3310.0,3310.0,3230.0,64477.0,기신정기,092440
2020-06-04,3240.0,하락  25,3280.0,3285.0,3205.0,39461.0,기신정기,092440
2020-06-05,3250.0,상승  10,3240.0,3260.0,3220.0,23842.0,기신정기,092440
2020-06-08,3255.0,상승  5,3255.0,3260.0,3215.0,54748.0,기신정기,092440
2020-06-09,3265.0,상승  10,3275.0,3275.0,3215.0,51446.0,기신정기,092440
2020-06-10,3265.0,보합0,3230.0,3270.0,3220.0,40829.0,기신정기,092440
2020-06-11,3210.0,하락  55,3265.0,3265.0,3200.0,52364.0,기신정기,092440
2020-06-12,3150.0,하락  60,3065.0,3150.0,3065.0,31882.0,기신정기,092440
2020-06-15,3050.0,하락  100,3160.0,3190.0,3025.0,31769.0,기신정기,092440
2020-06-16,3095.0,상승  45,3095.0,3100.0,3025.0,28114.0,기신정기,092440
2020-06-17,3055.0,하락  40,3095.0,3105.0,3030.0,18460.0,기신정기,092440
2020-06-18,3070.0,상승  15,3055.0,3100.0,3010.0,17189.0,기신정기,092440
2020-06-19,3060.0,하락  10,3070.0,3150.0,3030.0,15561.0,기신정기,092440
2020-06-22,3025.0,하락  35,3060.0,3085.0,3015.0,18935.0,기신정기,092440
2020-06-23,2960.0,하락  65,3025.0,3040.0,2950.0,54037.0,기신정기,092440
2020-06-24,2980.0,상승  20,2950.0,3005.0,2945.0,17884.0,기신정기,092440
2020-06-25,2955.0,하락  25,2970.0,2970.0,2920.0,23689.0,기신정기,092440
2020-06-26,2960.0,상승  5,2975.0,2975.0,2920.0,36270.0,기신정기,092440
2020-06-29,2950.0,하락  10,2960.0,2960.0,2850.0,23891.0,기신정기,092440
2020-06-30,2935.0,하락  15,3015.0,3015.0,2900.0,28080.0,기신정기,092440
2020-07-01,2945.0,상승  10,2940.0,2970.0,2935.0,28168.0,기신정기,092440
2020-07-02,2950.0,상승  5,2990.0,2990.0,2900.0,22005.0,기신정기,092440
2020-07-03,2985.0,상승  35,2950.0,2990.0,2945.0,56116.0,기신정기,092440
2020-07-06,3010.0,상승  25,2985.0,3025.0,2980.0,18822.0,기신정기,092440
2020-07-07,3000.0,하락  10,3050.0,3050.0,2990.0,54317.0,기신정기,092440
2020-07-08,3000.0,보합0,3040.0,3040.0,2970.0,12900.0,기신정기,092440
2020-07-09,2970.0,하락  30,3040.0,3040.0,2970.0,31395.0,기신정기,092440
2020-07-10,2930.0,하락  40,3000.0,3000.0,2930.0,21224.0,기신정기,092440
2020-07-13,2960.0,상승  30,2970.0,2970.0,2930.0,7991.0,기신정기,092440
2020-07-14,2965.0,상승  5,2970.0,2970.0,2920.0,23264.0,기신정기,092440
2020-07-15,2990.0,상승  25,2970.0,3030.0,2950.0,30226.0,기신정기,092440
2020-07-16,3010.0,상승  20,3005.0,3010.0,2985.0,15867.0,기신정기,092440
2020-07-17,3055.0,상승  45,3005.0,3070.0,3000.0,18601.0,기신정기,092440
2020-07-20,3055.0,보합0,3055.0,3075.0,3010.0,26768.0,기신정기,092440
2020-07-21,3045.0,하락  10,3055.0,3065.0,3015.0,19733.0,기신정기,092440
2020-07-22,3120.0,상승  75,3045.0,3145.0,3045.0,50981.0,기신정기,092440
2020-07-23,3065.0,하락  55,3115.0,3170.0,3040.0,30791.0,기신정기,092440
2020-07-24,3035.0,하락  30,3065.0,3090.0,3010.0,9918.0,기신정기,092440
2020-07-27,3080.0,상승  45,3030.0,3100.0,3020.0,17116.0,기신정기,092440
2020-07-28,3100.0,상승  20,3085.0,3125.0,3070.0,26920.0,기신정기,092440
2020-07-29,3100.0,보합0,3100.0,3120.0,3010.0,17609.0,기신정기,092440
2020-07-30,3130.0,상승  30,3095.0,3160.0,3065.0,41401.0,기신정기,092440
2020-07-31,3105.0,하락  25,3130.0,3145.0,3090.0,13498.0,기신정기,092440
2020-08-03,3105.0,보합0,3105.0,3120.0,3050.0,33584.0,기신정기,092440
2020-08-04,3150.0,상승  45,3105.0,3155.0,3105.0,32308.0,기신정기,092440
2020-08-05,3145.0,하락  5,3155.0,3165.0,3090.0,29846.0,기신정기,092440
2020-08-06,3140.0,하락  5,3155.0,3155.0,3090.0,44756.0,기신정기,092440
2020-08-07,3120.0,하락  20,3140.0,3145.0,3080.0,34406.0,기신정기,092440
2020-08-10,3115.0,하락  5,3120.0,3145.0,3075.0,21410.0,기신정기,092440
2020-08-11,3105.0,하락  10,3115.0,3130.0,3090.0,29652.0,기신정기,092440
2020-08-12,3190.0,상승  85,3110.0,3195.0,3075.0,61782.0,기신정기,092440
2020-08-13,3165.0,하락  25,3190.0,3190.0,3160.0,31857.0,기신정기,092440
2020-08-14,3215.0,상승  50,3165.0,3240.0,3150.0,53367.0,기신정기,092440
2020-08-18,3150.0,하락  65,3215.0,3260.0,3035.0,61070.0,기신정기,092440
2020-08-19,3135.0,하락  15,3125.0,3145.0,3090.0,25041.0,기신정기,092440
2020-08-20,3000.0,하락  135,3145.0,3145.0,3000.0,63831.0,기신정기,092440
2020-08-21,3000.0,보합0,3050.0,3050.0,2985.0,29556.0,기신정기,092440
2020-08-24,3025.0,상승  25,3040.0,3070.0,2985.0,10639.0,기신정기,092440
2020-08-25,3100.0,상승  75,3085.0,3125.0,3035.0,12609.0,기신정기,092440
2020-08-26,3100.0,보합0,3130.0,3130.0,3075.0,10109.0,기신정기,092440
2020-08-27,3105.0,상승  5,3100.0,3140.0,3080.0,5344.0,기신정기,092440
2020-08-28,3105.0,보합0,3100.0,3130.0,3080.0,15187.0,기신정기,092440
2020-08-31,3105.0,보합0,3090.0,3135.0,3060.0,14720.0,기신정기,092440
2020-09-01,3195.0,상승  90,3105.0,3195.0,3080.0,48501.0,기신정기,092440
2020-09-02,3200.0,상승  5,3200.0,3280.0,3160.0,64073.0,기신정기,092440
2020-09-03,3235.0,상승  35,3205.0,3245.0,3190.0,29046.0,기신정기,092440
2020-09-04,3235.0,보합0,3180.0,3250.0,3170.0,42153.0,기신정기,092440
2020-09-07,3240.0,상승  5,3235.0,3260.0,3195.0,33833.0,기신정기,092440
2020-09-08,3260.0,상승  20,3235.0,3320.0,3220.0,156748.0,기신정기,092440
2020-09-09,3535.0,상승  275,4060.0,4230.0,3510.0,5511567.0,기신정기,092440
2020-09-10,3440.0,하락  95,3600.0,3600.0,3405.0,555005.0,기신정기,092440
2020-09-11,3515.0,상승  75,3435.0,3775.0,3370.0,770128.0,기신정기,092440
2020-09-14,3460.0,하락  55,3525.0,3650.0,3435.0,323309.0,기신정기,092440
2020-09-15,3475.0,상승  15,3500.0,3500.0,3420.0,182984.0,기신정기,092440
2020-09-16,3445.0,하락  30,3455.0,3515.0,3385.0,167059.0,기신정기,092440
2020-09-17,3620.0,상승  175,3445.0,3620.0,3400.0,614170.0,기신정기,092440
2020-09-18,3645.0,상승  25,4160.0,4160.0,3615.0,2091951.0,기신정기,092440
2020-09-21,3525.0,하락  120,3645.0,3645.0,3520.0,228129.0,기신정기,092440
2020-09-22,3400.0,하락  125,3480.0,3510.0,3395.0,162284.0,기신정기,092440
2020-09-23,3505.0,상승  105,3405.0,3565.0,3395.0,148644.0,기신정기,092440
2020-09-24,3410.0,하락  95,3405.0,3480.0,3380.0,150527.0,기신정기,092440
2020-09-25,3675.0,상승  265,3425.0,3675.0,3340.0,936189.0,기신정기,092440
2020-09-28,3640.0,하락  35,3910.0,3970.0,3640.0,1480877.0,기신정기,092440
2020-09-29,3685.0,상승  45,3640.0,3750.0,3610.0,275454.0,기신정기,092440
2020-10-05,3690.0,상승  5,3685.0,3745.0,3625.0,226927.0,기신정기,092440
2020-10-06,4035.0,상승  345,3695.0,4035.0,3695.0,992910.0,기신정기,092440
2020-10-07,4050.0,상승  15,4070.0,4075.0,3910.0,760314.0,기신정기,092440
2020-10-08,3950.0,하락  100,4020.0,4050.0,3950.0,285868.0,기신정기,092440
2020-10-12,3865.0,하락  85,4050.0,4060.0,3820.0,203089.0,기신정기,092440
2020-10-13,4150.0,상승  285,3870.0,4185.0,3825.0,959516.0,기신정기,092440
2020-10-14,4000.0,하락  150,4105.0,4125.0,3920.0,374561.0,기신정기,092440
2020-10-15,3910.0,하락  90,3965.0,3985.0,3880.0,189552.0,기신정기,092440
2020-10-16,3830.0,하락  80,3900.0,3980.0,3775.0,159927.0,기신정기,092440
2020-10-19,3730.0,하락  100,3780.0,3820.0,3700.0,157714.0,기신정기,092440
2020-10-20,3715.0,하락  15,3730.0,3970.0,3580.0,401076.0,기신정기,092440
2020-10-21,3785.0,상승  70,3710.0,3815.0,3705.0,199200.0,기신정기,092440
2020-10-22,3765.0,하락  20,3750.0,3805.0,3720.0,78101.0,기신정기,092440
2020-10-23,3795.0,상승  30,3820.0,3820.0,3730.0,133018.0,기신정기,092440
2020-10-26,3710.0,하락  85,3810.0,3810.0,3630.0,93941.0,기신정기,092440
2020-10-27,3635.0,하락  75,3715.0,3750.0,3630.0,79737.0,기신정기,092440
2020-10-28,3655.0,상승  20,3635.0,3760.0,3455.0,124438.0,기신정기,092440
2020-10-29,3630.0,하락  25,3570.0,3645.0,3560.0,50903.0,기신정기,092440
2020-10-30,3510.0,하락  120,3600.0,3620.0,3505.0,84243.0,기신정기,092440
2020-11-02,3510.0,보합0,3495.0,3535.0,3480.0,101439.0,기신정기,092440
2020-11-03,3580.0,상승  70,3515.0,3615.0,3515.0,66997.0,기신정기,092440
2020-11-04,3575.0,하락  5,3590.0,3635.0,3550.0,40550.0,기신정기,092440
2020-11-05,3580.0,상승  5,3590.0,3615.0,3530.0,64480.0,기신정기,092440
