날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,7450.0,하락  460,7150.0,7650.0,7020.0,4868340.0,기업은행,024110
2020-03-16,7100.0,하락  350,7480.0,7640.0,7100.0,3104062.0,기업은행,024110
2020-03-17,6710.0,하락  390,6600.0,6870.0,6500.0,3685283.0,기업은행,024110
2020-03-18,6510.0,하락  200,6710.0,6790.0,6510.0,2618531.0,기업은행,024110
2020-03-19,5870.0,하락  640,6510.0,6600.0,5860.0,4156109.0,기업은행,024110
2020-03-20,6620.0,상승  750,6030.0,6620.0,5900.0,3698474.0,기업은행,024110
2020-03-23,6130.0,하락  490,6150.0,6410.0,6010.0,2587895.0,기업은행,024110
2020-03-24,6680.0,상승  550,6330.0,6760.0,6160.0,2411046.0,기업은행,024110
2020-03-25,7370.0,상승  690,7070.0,7470.0,7030.0,3811848.0,기업은행,024110
2020-03-26,7270.0,하락  100,7400.0,7510.0,7160.0,3906989.0,기업은행,024110
2020-03-27,7370.0,상승  100,7600.0,7670.0,7220.0,2917213.0,기업은행,024110
2020-03-30,7270.0,하락  100,7130.0,7410.0,6980.0,2169902.0,기업은행,024110
2020-03-31,7500.0,상승  230,7400.0,7560.0,7280.0,2696258.0,기업은행,024110
2020-04-01,7160.0,하락  340,7400.0,7550.0,7160.0,2277600.0,기업은행,024110
2020-04-02,7230.0,상승  70,7160.0,7300.0,7000.0,2046811.0,기업은행,024110
2020-04-03,7230.0,보합0,7230.0,7300.0,7100.0,1880217.0,기업은행,024110
2020-04-06,7440.0,상승  210,7230.0,7450.0,7210.0,2517463.0,기업은행,024110
2020-04-07,7560.0,상승  120,7650.0,7800.0,7450.0,2976291.0,기업은행,024110
2020-04-08,7450.0,하락  110,7510.0,7590.0,7430.0,2103995.0,기업은행,024110
2020-04-09,7510.0,상승  60,7570.0,7600.0,7450.0,2155700.0,기업은행,024110
2020-04-10,7820.0,상승  310,7590.0,7840.0,7520.0,3715056.0,기업은행,024110
2020-04-13,7750.0,하락  70,7770.0,8040.0,7710.0,3243711.0,기업은행,024110
2020-04-14,7900.0,상승  150,7830.0,7900.0,7750.0,1866762.0,기업은행,024110
2020-04-16,7720.0,하락  180,7780.0,7820.0,7630.0,2611738.0,기업은행,024110
2020-04-17,7880.0,상승  160,7790.0,7930.0,7780.0,2806396.0,기업은행,024110
2020-04-20,7700.0,하락  180,7800.0,7830.0,7650.0,3925258.0,기업은행,024110
2020-04-21,7480.0,하락  220,7560.0,7620.0,7400.0,3416231.0,기업은행,024110
2020-04-22,7340.0,하락  140,7270.0,7360.0,7210.0,3578458.0,기업은행,024110
2020-04-23,7320.0,하락  20,7370.0,7410.0,7300.0,2632930.0,기업은행,024110
2020-04-24,7200.0,하락  120,7300.0,7300.0,7190.0,2462628.0,기업은행,024110
2020-04-27,7620.0,상승  420,7230.0,7710.0,7230.0,4822565.0,기업은행,024110
2020-04-28,7720.0,상승  100,7780.0,8090.0,7640.0,5874015.0,기업은행,024110
2020-04-29,7900.0,상승  180,7790.0,8020.0,7750.0,4387448.0,기업은행,024110
2020-05-04,7660.0,하락  240,7740.0,7800.0,7620.0,3212983.0,기업은행,024110
2020-05-06,7670.0,상승  10,7770.0,7790.0,7620.0,2286710.0,기업은행,024110
2020-05-07,7720.0,상승  50,7650.0,7760.0,7590.0,1809219.0,기업은행,024110
2020-05-08,7740.0,상승  20,7770.0,7820.0,7710.0,1891292.0,기업은행,024110
2020-05-11,7600.0,하락  140,7740.0,7770.0,7600.0,1831910.0,기업은행,024110
2020-05-12,7440.0,하락  160,7600.0,7600.0,7400.0,2375026.0,기업은행,024110
2020-05-13,7450.0,상승  10,7360.0,7450.0,7310.0,1711980.0,기업은행,024110
2020-05-14,7370.0,하락  80,7360.0,7410.0,7320.0,1867079.0,기업은행,024110
2020-05-15,7550.0,상승  180,7480.0,7630.0,7390.0,2522150.0,기업은행,024110
2020-05-18,7460.0,하락  90,7570.0,7600.0,7420.0,1546786.0,기업은행,024110
2020-05-19,7730.0,상승  270,7670.0,7800.0,7670.0,2869594.0,기업은행,024110
2020-05-20,7680.0,하락  50,7640.0,7720.0,7620.0,1459404.0,기업은행,024110
2020-05-21,7740.0,상승  60,7740.0,7770.0,7680.0,1907202.0,기업은행,024110
2020-05-22,7560.0,하락  180,7750.0,7750.0,7550.0,1810736.0,기업은행,024110
2020-05-25,7620.0,상승  60,7600.0,7620.0,7520.0,955351.0,기업은행,024110
2020-05-26,7770.0,상승  150,7640.0,7810.0,7580.0,2471172.0,기업은행,024110
2020-05-27,7960.0,상승  190,7860.0,7990.0,7810.0,4295846.0,기업은행,024110
2020-05-28,8240.0,상승  280,8170.0,8380.0,8060.0,7549725.0,기업은행,024110
2020-05-29,8280.0,상승  40,8110.0,8400.0,8030.0,4819669.0,기업은행,024110
2020-06-01,8480.0,상승  200,8300.0,8500.0,8300.0,2861703.0,기업은행,024110
2020-06-02,9000.0,상승  520,8470.0,9050.0,8460.0,5549703.0,기업은행,024110
2020-06-03,9730.0,상승  730,9270.0,9960.0,9140.0,8315050.0,기업은행,024110
2020-06-04,9540.0,하락  190,9900.0,10150.0,9370.0,6349119.0,기업은행,024110
2020-06-05,9730.0,상승  190,9560.0,9790.0,9450.0,3110692.0,기업은행,024110
2020-06-08,9680.0,하락  50,9990.0,10000.0,9640.0,2862958.0,기업은행,024110
2020-06-09,9480.0,하락  200,9630.0,9750.0,9350.0,3464519.0,기업은행,024110
2020-06-10,9280.0,하락  200,9480.0,9500.0,9240.0,2561458.0,기업은행,024110
2020-06-11,8840.0,하락  440,9110.0,9120.0,8780.0,6190796.0,기업은행,024110
2020-06-12,8590.0,하락  250,8290.0,8600.0,8290.0,3467501.0,기업은행,024110
2020-06-15,8310.0,하락  280,8550.0,8810.0,8310.0,3511295.0,기업은행,024110
2020-06-16,8900.0,상승  590,8450.0,8920.0,8450.0,2692428.0,기업은행,024110
2020-06-17,8820.0,하락  80,8890.0,8890.0,8620.0,2100867.0,기업은행,024110
2020-06-18,8810.0,하락  10,8740.0,8860.0,8690.0,1594860.0,기업은행,024110
2020-06-19,8640.0,하락  170,8900.0,8910.0,8640.0,3523066.0,기업은행,024110
2020-06-22,8400.0,하락  240,8560.0,8590.0,8400.0,2197121.0,기업은행,024110
2020-06-23,8270.0,하락  130,8450.0,8530.0,8190.0,2305389.0,기업은행,024110
2020-06-24,8300.0,상승  30,8300.0,8410.0,8280.0,1618551.0,기업은행,024110
2020-06-25,8110.0,하락  190,8280.0,8280.0,8100.0,1791323.0,기업은행,024110
2020-06-26,8180.0,상승  70,8240.0,8290.0,8180.0,1449752.0,기업은행,024110
2020-06-29,8020.0,하락  160,8000.0,8050.0,7950.0,1720515.0,기업은행,024110
2020-06-30,8080.0,상승  60,8080.0,8200.0,8060.0,1493595.0,기업은행,024110
2020-07-01,8120.0,상승  40,8120.0,8250.0,8110.0,1116031.0,기업은행,024110
2020-07-02,8150.0,상승  30,8110.0,8180.0,8100.0,932932.0,기업은행,024110
2020-07-03,8170.0,상승  20,8170.0,8260.0,8120.0,967410.0,기업은행,024110
2020-07-06,8210.0,상승  40,8170.0,8220.0,8070.0,1480755.0,기업은행,024110
